,LTB4R (1241)
ACH-000004,-0.005650485706100001
ACH-000007,-0.354827933647
ACH-000009,-0.219864951796
ACH-000011,-0.0823724140506
ACH-000012,-0.265718080605
ACH-000013,-0.19534289102400001
ACH-000014,-0.320827953064
ACH-000015,-0.17244623457199998
ACH-000017,-0.48568515356200004
ACH-000018,-0.500272024053
ACH-000019,-0.355950649223
ACH-000021,-0.24655021656800002
ACH-000022,-0.083447855815
ACH-000025,-0.05481085628290001
ACH-000028,-0.23356913136500002
ACH-000030,-0.317367541762
ACH-000035,-0.282691025489
ACH-000036,-0.244346771889
ACH-000037,-0.43509979840499996
ACH-000039,-0.19238798458
ACH-000040,-0.072908823082
ACH-000041,-0.381888477869
ACH-000042,-0.20272215698100002
ACH-000045,-0.121270682829
ACH-000047,-0.422339460943
ACH-000052,-0.11123513334000001
ACH-000053,-0.268073780482
ACH-000054,-0.14419810479599998
ACH-000055,-0.175671218574
ACH-000060,-0.18554624237599998
ACH-000067,-0.344104276312
ACH-000070,-0.30377813294
ACH-000075,-0.48441186943899994
ACH-000078,-0.025344990296
ACH-000082,-0.243420137679
ACH-000085,-0.202221584388
ACH-000086,-0.207415166182
ACH-000087,-0.300937468919
ACH-000092,-0.30065005753400004
ACH-000095,-0.487426510263
ACH-000097,-0.38653895780299996
ACH-000098,-0.23626805401
ACH-000099,-0.201801480999
ACH-000108,-0.22553670341999996
ACH-000113,-0.24469297748100002
ACH-000115,-0.19281943554900002
ACH-000116,-0.148001846655
ACH-000118,-0.304357903581
ACH-000120,-0.173672762054
ACH-000123,-0.297475074432
ACH-000127,-0.25608034313
ACH-000128,-0.190900643348
ACH-000132,-0.173710367379
ACH-000133,-0.251319966607
ACH-000137,-0.232891598263
ACH-000138,-0.26411600477499997
ACH-000142,-0.228009464332
ACH-000143,-0.289719142497
ACH-000146,-0.261379875274
ACH-000148,-0.476295691731
ACH-000150,0.0825250621749
ACH-000152,-0.31962099535599997
ACH-000153,-0.14291902564099998
ACH-000159,-0.283855695223
ACH-000160,-0.466075956515
ACH-000163,-0.48930284785800005
ACH-000167,0.0477906136629
ACH-000168,-0.500965385562
ACH-000169,-0.157228385335
ACH-000178,-0.174497073052
ACH-000182,-0.179671148102
ACH-000183,-0.322282598508
ACH-000188,-0.29893391262200003
ACH-000189,-0.39667150324100003
ACH-000190,0.0610439950461
ACH-000198,-0.296868791589
ACH-000204,0.105784067668
ACH-000206,-0.36328548639200003
ACH-000207,-0.409315883891
ACH-000211,-0.307122306809
ACH-000215,-0.28825022923300003
ACH-000221,-0.36107106519599996
ACH-000222,-0.19758293657
ACH-000223,-0.09726296762679999
ACH-000226,-0.427558109653
ACH-000227,-0.14479423271800002
ACH-000228,-0.369940244016
ACH-000231,-0.264966019641
ACH-000232,-0.256471028114
ACH-000233,-0.250734905512
ACH-000234,-0.154368709312
ACH-000235,-0.314971664558
ACH-000237,-0.0103603664205
ACH-000238,-0.0751568447742
ACH-000243,-0.351554184946
ACH-000244,-0.215128390259
ACH-000246,-0.290705560752
ACH-000248,-0.6342267543810001
ACH-000250,-0.404292233637
ACH-000251,0.0251399240941
ACH-000253,-0.208670673588
ACH-000255,-0.18004716477000002
ACH-000256,-0.0803940709286
ACH-000257,-0.23336290714299998
ACH-000258,-0.29433324121300003
ACH-000259,-0.332273207786
ACH-000260,-0.365372746078
ACH-000261,-0.25076121880999996
ACH-000262,-0.35673284104099995
ACH-000263,0.0626119234151
ACH-000264,-0.298888132022
ACH-000265,-0.164112473368
ACH-000266,-0.225896664097
ACH-000272,-0.24073241532900003
ACH-000273,-0.13164596511399998
ACH-000274,-0.107467568237
ACH-000277,-0.11143394279300001
ACH-000278,-0.312283294444
ACH-000279,-0.315636912935
ACH-000280,-0.374392538499
ACH-000281,-0.22636309906899998
ACH-000288,-0.371842463235
ACH-000291,-0.130968761006
