,PPIA (5478)
ACH-000004,-0.997280737568
ACH-000007,-0.633899304047
ACH-000009,-0.879370333713
ACH-000011,-0.7378213324899999
ACH-000012,-0.774150107457
ACH-000013,-0.670986826842
ACH-000014,-0.707688892343
ACH-000015,-0.741618082757
ACH-000017,-0.534348125182
ACH-000018,-0.882642538302
ACH-000019,-1.11761240561
ACH-000021,-0.761389932067
ACH-000022,-0.71388032787
ACH-000025,-0.5416173289339999
ACH-000028,-0.577791092834
ACH-000030,-0.763378736738
ACH-000035,-0.774323032297
ACH-000036,-0.5935053926870001
ACH-000037,-0.816823393898
ACH-000039,-0.8615519615620001
ACH-000040,-0.935113667783
ACH-000041,-0.911890718029
ACH-000042,-0.7933295693699999
ACH-000045,-0.797616077758
ACH-000047,-0.875691940881
ACH-000052,-0.608508216086
ACH-000053,-0.611684667865
ACH-000054,-0.699885892972
ACH-000055,-0.548678220663
ACH-000060,-0.875936265571
ACH-000067,-0.821198354235
ACH-000070,-0.827601997252
ACH-000075,-1.13627111704
ACH-000078,-0.771240049024
ACH-000082,-0.7150213571699999
ACH-000085,-0.697610239299
ACH-000086,-0.37276006769599995
ACH-000087,-0.7621480246369999
ACH-000092,-0.613118519258
ACH-000095,-0.819310578114
ACH-000097,-0.7263304228749999
ACH-000098,-0.747254509558
ACH-000099,-0.639088956969
ACH-000108,-0.665688869629
ACH-000113,-0.6610818928109999
ACH-000115,-0.8796122721999999
ACH-000116,-0.8795980280660001
ACH-000118,-0.7377012069159999
ACH-000120,-0.762290152879
ACH-000123,-0.719727227703
ACH-000127,-0.71475540507
ACH-000128,-0.61314524106
ACH-000132,-0.6117219158199999
ACH-000133,-0.558044905197
ACH-000137,-0.753725632719
ACH-000138,-0.7500996383480001
ACH-000142,-0.537785233391
ACH-000143,-0.711786604642
ACH-000146,-0.679116584042
ACH-000148,-0.560319409255
ACH-000150,-0.8370838053990001
ACH-000152,-0.582927111631
ACH-000153,-1.00998852809
ACH-000159,-0.817478632179
ACH-000160,-0.71511504889
ACH-000163,-0.841501193385
ACH-000167,-0.598955137768
ACH-000168,-0.550886195331
ACH-000169,-0.75366100841
ACH-000178,-0.753379048842
ACH-000182,-0.720653262029
ACH-000183,-0.70940813419
ACH-000188,-0.9005516420649999
ACH-000189,-1.2776077203799998
ACH-000190,-0.7723852599400001
ACH-000198,-0.823756812114
ACH-000204,-0.780193746551
ACH-000206,-0.773018459675
ACH-000207,-0.748479596055
ACH-000211,-0.602314016668
ACH-000215,-0.6768275130529999
ACH-000221,-0.946660308727
ACH-000222,-1.0127652301
ACH-000223,-0.636022874346
ACH-000226,-0.5937905880309999
ACH-000227,-0.681483365255
ACH-000228,-0.7183643401559999
ACH-000231,-0.739943605682
ACH-000232,-0.7749270513330001
ACH-000233,-0.564889202588
ACH-000234,-0.8281015462129999
ACH-000235,-0.820469421256
ACH-000237,-0.854396104209
ACH-000238,-1.00724336093
ACH-000243,-0.820211991638
ACH-000244,-1.0718967269
ACH-000246,-0.595275487287
ACH-000248,-0.7387907653300001
ACH-000250,-0.65995807386
ACH-000251,-0.338733935047
ACH-000253,-0.828577129948
ACH-000255,-0.706396372121
ACH-000256,-0.7769091746819999
ACH-000257,-0.715931269658
ACH-000258,-0.589910764235
ACH-000259,-0.830700438275
ACH-000260,-0.83753332227
ACH-000261,-0.854136737561
ACH-000262,-0.93088809776
ACH-000263,-1.14081892022
ACH-000264,-0.886990889703
ACH-000265,-0.660724077311
ACH-000266,-0.864201990181
ACH-000272,-0.800700943421
ACH-000273,-0.9050012740700001
ACH-000274,-0.8010215877019999
ACH-000277,-0.5866684299270001
ACH-000278,-0.6131385010670001
ACH-000279,-0.67024104243
ACH-000280,-0.6662416801519999
ACH-000281,-0.690006575626
ACH-000288,-0.824094247053
ACH-000291,-0.658133650832
ACH-000293,-0.671272930856
ACH-000294,-0.853503910696
ACH-000295,-1.0242369563200002
ACH-000296,-0.48049966455700005
ACH-000302,-0.786664443511
ACH-000304,-1.1074047104
ACH-000307,-0.830332660727
ACH-000308,-0.8154000583650001
ACH-000310,-0.998523117717
ACH-000311,-1.06670016425
ACH-000312,-0.788250844083
ACH-000315,-0.737496587744
ACH-000316,-0.7206004544760001
ACH-000317,-0.375635048732
ACH-000318,-0.48180723327200004
ACH-000319,-0.6473526785
ACH-000320,-0.964460262031
ACH-000322,-0.833962784446
ACH-000323,-0.466263937408
ACH-000324,-0.641019153943
ACH-000329,-0.7970119541740001
ACH-000330,-1.0170780860200002
ACH-000331,-0.632916683352
ACH-000332,-0.794941751075
ACH-000334,-0.7577449192769999
ACH-000335,-0.83789740853
ACH-000336,-0.7829342944609999
ACH-000337,-0.832285806012
ACH-000339,-0.8084450407539999
ACH-000341,-0.557513053261
ACH-000348,-0.649407971418
ACH-000350,-0.801061057915
ACH-000352,-0.5715796421580001
ACH-000356,-0.7509524105930001
ACH-000361,-0.605605291875
ACH-000362,-0.6745038691140001
ACH-000363,-0.7446562552089999
ACH-000364,-0.958891193427
ACH-000365,-0.530232043049
ACH-000366,-0.7135945589560001
ACH-000368,-0.742862855431
ACH-000374,-0.751949079521
ACH-000375,-0.919798769877
ACH-000376,-0.730402757758
ACH-000381,-0.933241724272
ACH-000383,-0.674875760485
ACH-000387,-0.698536945654
ACH-000389,-0.626033642258
ACH-000390,-0.511307849137
ACH-000393,-0.942758578981
ACH-000395,-0.884627555662
ACH-000397,-0.7209200267579999
ACH-000401,-0.891961099489
ACH-000402,-0.342494564924
ACH-000403,-0.68839456048
ACH-000404,-0.792638686746
ACH-000406,-0.747266412032
ACH-000407,-1.0242533816700001
ACH-000408,-0.702184285562
ACH-000410,-0.575611853705
ACH-000411,-0.7909807544149999
ACH-000414,-0.7774663398199999
ACH-000415,-0.8839316722030001
ACH-000416,-0.6670211153360001
ACH-000420,-0.842993546104
ACH-000421,-0.5971624361860001
ACH-000424,-0.258964126433
ACH-000425,-0.633131839341
ACH-000426,-0.49382858642399996
ACH-000427,-0.646139781824
ACH-000433,-0.6797237457780001
