,SF3B6 (51639)
ACH-000004,-0.635738299601
ACH-000007,-0.895273461236
ACH-000009,-0.859211766699
ACH-000011,-0.6127227364769999
ACH-000012,-0.748907007045
ACH-000013,-0.719102690286
ACH-000014,-0.5916652006490001
ACH-000015,-0.38718324380999997
ACH-000017,-0.854006165184
ACH-000018,-0.624922011104
ACH-000019,-1.12454194216
ACH-000021,-0.72942467948
ACH-000022,-0.8146247618800001
ACH-000025,-0.793568241376
ACH-000028,-0.6786319821269999
ACH-000030,-0.857145695037
ACH-000035,-0.638175132811
ACH-000036,-1.0818140735600001
ACH-000037,-1.3380195479700001
ACH-000039,-0.8123756062559999
ACH-000040,-0.931552088794
ACH-000041,-0.44869194342200003
ACH-000042,-0.68676883638
ACH-000045,-0.650399431491
ACH-000047,-0.858966852584
ACH-000052,-0.71272517505
ACH-000053,-0.8615557272579999
ACH-000054,-0.802703665578
ACH-000055,-0.6500389440690001
ACH-000060,-0.761859637383
ACH-000067,-0.9621886327570001
ACH-000070,-0.775892821855
ACH-000075,-0.814727631174
ACH-000078,-0.8513715580869999
ACH-000082,-1.0779369433600001
ACH-000085,-0.532467561268
ACH-000086,-1.00557864169
ACH-000087,-0.678253057825
ACH-000092,-0.948446978563
ACH-000095,-0.768325060649
ACH-000097,-0.9318640793799999
ACH-000098,-0.8294940655949999
ACH-000099,-0.953213399225
ACH-000108,-0.792112512131
ACH-000113,-0.9091325305500001
ACH-000115,-1.20355142949
ACH-000116,-0.8899646040070001
ACH-000118,-0.6430764052210001
ACH-000120,-0.7490257853550001
ACH-000123,-0.970974737691
ACH-000127,-0.9864905938770001
ACH-000128,-0.8058375364370001
ACH-000132,-1.05559499044
ACH-000133,-1.17480370642
ACH-000137,-0.684039760474
ACH-000138,-0.770662708195
ACH-000142,-0.8733091440809999
ACH-000143,-1.04819405662
ACH-000146,-0.8113462103899999
ACH-000148,-0.802505247764
ACH-000150,-0.6777132295749999
ACH-000152,-0.932445762773
ACH-000153,-0.5454937600850001
ACH-000159,-0.8983779592829999
ACH-000160,-0.906317170394
ACH-000163,-0.396858925842
ACH-000167,-1.0523238205399998
ACH-000168,-0.833880031471
ACH-000169,-0.776651183326
ACH-000178,-0.702166453452
ACH-000182,-0.784377113381
ACH-000183,-0.780977574008
ACH-000188,-0.718572396216
ACH-000189,-1.26500836537
ACH-000190,-1.08852504686
ACH-000198,-1.02242410294
ACH-000204,-0.821042792306
ACH-000206,-0.8122592278049999
ACH-000207,-1.43671232535
ACH-000211,-0.920333053414
ACH-000215,-0.931968219127
ACH-000221,-0.410483414619
ACH-000222,-0.52335131021
ACH-000223,-1.14890118229
ACH-000226,-0.8196820543340001
ACH-000227,-1.2338915638299999
ACH-000228,-0.895459469835
ACH-000231,-1.01144272002
ACH-000232,-0.801741487552
ACH-000233,-0.701719616899
ACH-000234,-0.7591460865549999
ACH-000235,-0.710917553417
ACH-000237,-0.9719085247660001
ACH-000238,-0.7724130762010001
ACH-000243,-0.693926554552
ACH-000244,-1.09188094664
ACH-000246,-0.939252355302
ACH-000248,-0.753061216918
ACH-000250,-0.7985646193539999
ACH-000251,-0.573106810538
ACH-000253,-0.9852565822299999
ACH-000255,-0.531219810414
ACH-000256,-0.7782928808220001
ACH-000257,-0.477734700084
ACH-000258,-0.8158734278249999
ACH-000259,-0.5291039983470001
ACH-000260,-0.588316207912
ACH-000261,-1.06411556521
ACH-000262,-0.856835165828
ACH-000263,-1.05991763332
ACH-000264,-1.1287452278399999
ACH-000265,-0.6036399792480001
ACH-000266,-0.789416667492
ACH-000272,-0.7782995040620001
ACH-000273,-0.76085005766
ACH-000274,-0.7292430268819999
ACH-000277,-1.03270817434
ACH-000278,-0.99005726317
ACH-000279,-0.853635131781
ACH-000280,-0.643580759122
ACH-000281,-0.653791790075
ACH-000288,-0.8550990204100001
ACH-000291,-0.982872007984
ACH-000293,-0.787292939555
ACH-000294,-0.624845694375
ACH-000295,-0.8422059605969999
ACH-000296,-0.809221301041
ACH-000302,-0.8908751148209999
ACH-000304,-0.630864081589
ACH-000307,-0.7972637338259999
ACH-000308,-1.03861628455
ACH-000310,-0.7860093794670001
ACH-000311,-0.569669059538
ACH-000312,-0.6308224069439999
ACH-000315,-1.00052418405
ACH-000316,-0.5676586602579999
ACH-000317,-0.674633148794
ACH-000318,-0.8918855979289999
ACH-000319,-0.8695863641399999
ACH-000320,-0.380096825087
ACH-000322,-0.48896176153899995
ACH-000323,-1.0749751161499999
ACH-000324,-0.775432706478
ACH-000329,-0.9266239969939999
ACH-000330,-0.92345111096
ACH-000331,-0.829150852787
ACH-000332,-0.748837456547
ACH-000334,-1.36866859097
ACH-000335,-0.374240808556
ACH-000336,-1.06467851046
ACH-000337,-0.7233519671590001
ACH-000339,-0.822834562157
ACH-000341,-0.819704558819
ACH-000348,-0.663289433869
ACH-000350,-0.8747011377770001
ACH-000352,-0.752799805792
ACH-000356,-1.03964222013
ACH-000361,-0.616330786502
ACH-000362,-0.525174849592
ACH-000363,-0.9907333050589999
ACH-000364,-0.515182672544
ACH-000365,-1.05240691975
ACH-000366,-1.08148641801
ACH-000368,-0.652516144449
ACH-000374,-1.1148993922100001
ACH-000375,-0.6920700493780001
ACH-000376,-0.943565618165
ACH-000381,-0.677096123314
ACH-000383,-0.9051875419930001
ACH-000387,-0.531364416775
ACH-000389,-0.880727177666
ACH-000390,-0.857376289043
ACH-000393,-0.669918638334
ACH-000395,-0.8653679601909999
ACH-000397,-1.00878482564
ACH-000401,-0.523243663217
ACH-000402,-0.7863209706559999
ACH-000403,-1.1788083689700002
ACH-000404,-0.5273525277350001
ACH-000406,-0.426671451961
ACH-000407,-0.627850135677
ACH-000408,-0.8402899942190001
ACH-000410,-0.641096992268
ACH-000411,-0.8593922871520001
ACH-000414,-0.596485972772
ACH-000415,-0.819369736286
ACH-000416,-0.927403745131
ACH-000420,-0.747293348204
ACH-000421,-0.794686458344
ACH-000424,-0.834701248007
ACH-000425,-0.657606977716
ACH-000426,-0.6464732762340001
ACH-000427,-1.53231797829
ACH-000433,-0.8129924809919999
ACH-000436,-0.665855668114
ACH-000444,-0.686929791082
ACH-000445,-0.7067075041390001
ACH-000448,-0.971736785469
ACH-000450,-0.8312412739030001
ACH-000452,-0.831797297129
ACH-000454,-0.596111042791
ACH-000458,-0.895470393505
ACH-000459,-0.48643020951399996
ACH-000460,-0.769538691664
ACH-000461,-0.571173675407
ACH-000463,-0.778690205412
ACH-000464,-0.756521408803
ACH-000466,-1.14527627251
ACH-000467,-0.8291866753560001
ACH-000468,-0.849284425341
ACH-000469,-0.759789183505
ACH-000470,-1.0272720751100002
ACH-000471,-0.880970867372
ACH-000472,-1.2170288248299999
ACH-000473,-0.886473647238
ACH-000475,-0.800220788342
ACH-000476,-0.6823178728839999
ACH-000477,-0.520009610124
ACH-000480,-0.727782269114
ACH-000481,-0.7438510989120001
ACH-000483,-0.600252283288
ACH-000484,-1.06799142133
ACH-000485,-1.09997927136
ACH-000486,-0.785435022247
ACH-000487,-0.90795156349
ACH-000488,-0.8744042842409999
ACH-000490,-0.934501977861
ACH-000491,-0.7405305122
ACH-000495,-0.644759636458
ACH-000496,-0.550905211375
ACH-000499,-0.574437411146
ACH-000500,-1.3113656211700002
ACH-000502,-1.01540972535
ACH-000503,-0.8846759757520001
ACH-000505,-0.92119141347
ACH-000507,-0.7803060199690001
ACH-000510,-0.7410853138410001
ACH-000511,-0.835083359046
ACH-000512,-0.698691652288
ACH-000516,-0.801857416008
ACH-000517,-0.8312670760680001
ACH-000518,-0.7924040311589999
ACH-000520,-0.72963982118
ACH-000521,-0.618169737397
ACH-000522,-0.930204929129
ACH-000524,-0.8861895117399999
ACH-000527,-0.5742583103710001
ACH-000528,-0.590277206343
ACH-000537,-0.784538830609
ACH-000541,-0.992966382443
ACH-000542,-0.726221832956
ACH-000544,-0.799103236436
ACH-000545,-0.701673169621
ACH-000547,-0.510665961969
ACH-000548,-0.781730983072
ACH-000549,-1.01153768737
ACH-000550,-0.7512581191419999
ACH-000552,-0.646429616269
ACH-000556,-1.1106469425299998
ACH-000557,-0.955238915372
ACH-000570,-0.860789635265
ACH-000571,-1.21323619923
ACH-000573,-0.6146295318389999
ACH-000576,-0.7145954992810001
ACH-000580,-0.716351957699
ACH-000584,-0.718363019002
ACH-000585,-1.0483559488299998
ACH-000588,-0.6232971078289999
ACH-000589,-0.578363671963
ACH-000591,-0.700564492103
ACH-000593,-0.998795445574
ACH-000600,-0.681407981688
ACH-000601,-0.838732958311
ACH-000604,-0.5580873454699999
ACH-000605,-0.8076107642929999
ACH-000606,-0.781115449676
ACH-000608,-1.1210319445999999
ACH-000614,-0.5643485426979999
ACH-000616,-0.547787435146
ACH-000618,-0.643846781131
ACH-000619,-0.932672910299
ACH-000620,-1.0734360619399999
ACH-000621,-0.720049810569
ACH-000622,-0.603373200322
ACH-000623,-0.739757855422
ACH-000624,-1.15845405291
ACH-000627,-1.09842999956
ACH-000630,-0.990053329665
ACH-000632,-0.694242366939
ACH-000633,-1.3177519374200002
ACH-000637,-0.582433197822
ACH-000638,-0.72227080638
ACH-000646,-0.9061661393709999
ACH-000647,-0.704642110553
ACH-000648,-0.585182421177
ACH-000649,-0.656033739299
ACH-000651,-0.871954342572
ACH-000652,-0.775874019536
ACH-000653,-0.748722154845
ACH-000657,-0.9280860989659999
ACH-000658,-0.951969738981
ACH-000661,-0.5439666191920001
ACH-000662,-1.04716103275
ACH-000663,-0.590985895934
ACH-000665,-0.934353940257
ACH-000671,-0.6982641351629999
ACH-000673,-1.0740914559
ACH-000676,-0.664134388995
ACH-000677,-0.36573777366300003
ACH-000681,-0.564481313734
ACH-000682,-0.681428282281
ACH-000683,-0.906595400897
ACH-000684,-0.553794150329
ACH-000688,-0.9281164253380001
