,SMCR8 (140775)
ACH-000004,-0.396890311673
ACH-000007,-0.365479058749
ACH-000009,-0.593139134208
ACH-000011,-0.246391506076
ACH-000012,-0.35370641301100003
ACH-000013,-0.52149647727
ACH-000014,-0.217084961519
ACH-000015,-0.375384643129
ACH-000017,-0.31356649241
ACH-000018,-0.441000321803
ACH-000019,-0.45240359062299995
ACH-000021,-0.192009243973
ACH-000022,-0.642753990514
ACH-000025,-0.286082174004
ACH-000028,-0.367003734114
ACH-000030,-0.379449825081
ACH-000035,-0.502201171649
ACH-000036,-0.418424143272
ACH-000037,-0.38308169505199996
ACH-000039,-0.18304400082000002
ACH-000040,-0.148068783958
ACH-000041,-0.294858078685
ACH-000042,-0.572823583819
ACH-000045,-0.443057009271
ACH-000047,-0.46998251351000003
ACH-000052,-0.07434278162789999
ACH-000053,-0.41881509777900006
ACH-000054,-0.262925048824
ACH-000055,-0.184642657543
ACH-000060,-0.453865898684
ACH-000067,-0.408248738662
ACH-000070,-0.133885626228
ACH-000075,-0.278335000141
ACH-000078,-0.33443998631
ACH-000082,-0.593813589055
ACH-000085,-0.542248695977
ACH-000086,-0.238469266305
ACH-000087,-0.445517391993
ACH-000092,-0.330328372378
ACH-000095,-0.227097708072
ACH-000097,-0.279703761381
ACH-000098,-0.23861618878899998
ACH-000099,-0.383314424408
ACH-000108,-0.160707991619
ACH-000113,-0.11309066871500001
ACH-000115,-0.176900628492
ACH-000116,-0.373604752085
ACH-000118,-0.28577678636799997
ACH-000120,-0.20390101392499999
ACH-000123,-0.38555606225999994
ACH-000127,-0.353224697149
ACH-000128,-0.285891919049
ACH-000132,-0.45368648809900003
ACH-000133,-0.23550499284200002
ACH-000137,-0.38531228605800005
ACH-000138,-0.299968192039
ACH-000142,-0.222654712346
ACH-000143,-0.308456545316
ACH-000146,-0.278261297454
ACH-000148,-0.25852987930599997
ACH-000150,-0.236799466109
ACH-000152,-0.523420651624
ACH-000153,-1.00531305732
ACH-000159,-0.255056650586
ACH-000160,-0.327992359575
