,CREBRF (153222)
ACH-000004,0.06713768412190001
ACH-000007,0.027516380105099998
ACH-000009,-0.18404910756499998
ACH-000011,0.159060568804
ACH-000012,0.07630258301689999
ACH-000013,-0.0140676422046
ACH-000014,-0.09379174225789999
ACH-000015,-0.0168176864455
ACH-000017,-0.0577543427589
ACH-000018,-0.0786713876998
ACH-000019,0.0657139085714
ACH-000021,-0.10326194970000001
ACH-000022,-0.11583516666799999
ACH-000025,0.04229091243080001
ACH-000028,0.012775078640299998
ACH-000030,0.021301865679299998
ACH-000035,-0.15003838632000002
ACH-000036,-0.130703632522
ACH-000037,-0.13265084290999998
ACH-000039,-0.10961427852
ACH-000040,-0.09516346056489998
ACH-000041,0.166245145571
ACH-000042,-0.09993354217980001
ACH-000045,0.0467871430905
ACH-000047,-0.0878731221298
ACH-000052,-0.0369820214737
ACH-000053,-0.229089520017
ACH-000054,-0.113836823477
ACH-000055,0.004583685107109999
ACH-000060,-0.080372584972
ACH-000067,-0.0116757648612
ACH-000070,0.0175271244705
ACH-000075,-0.230095520194
ACH-000078,-0.115512705471
ACH-000082,-0.0761834785042
ACH-000085,-0.00189623456922
ACH-000086,0.06276783407639999
ACH-000087,0.154809825963
ACH-000092,-0.163808341327
ACH-000095,-0.0845506476042
ACH-000097,-0.0330515207557
ACH-000098,-0.0489277362197
ACH-000099,-0.0360753382303
ACH-000108,-0.103815230604
ACH-000113,-0.118418117806
ACH-000115,0.040689852128400004
ACH-000116,-0.054490085065400005
ACH-000118,-0.061345070100300006
ACH-000120,0.06656278076880001
ACH-000123,-0.0231178663832
ACH-000127,-0.0561400629141
ACH-000128,-0.0269643466482
ACH-000132,0.015665388613
ACH-000133,0.0303891252856
ACH-000137,0.0156568039103
ACH-000138,-0.147354162492
ACH-000142,0.0273097751387
ACH-000143,-0.0055348230517099995
ACH-000146,-0.079266493407
ACH-000148,-0.04649647846319999
ACH-000150,-0.177631683762
ACH-000152,-0.144454922423
ACH-000153,-0.06371064200149999
ACH-000159,0.07941370622760001
ACH-000160,-0.073555489657
ACH-000163,-0.0268805980559
ACH-000167,-0.058448020758699995
ACH-000168,-0.0151591571502
ACH-000169,-0.151966009441
ACH-000178,0.00613400020975
ACH-000182,-0.09657084379889999
ACH-000183,-0.0283604081214
ACH-000188,-0.0555512074275
ACH-000189,-0.102260068977
