,VAPA (9218)
ACH-000004,-0.724671524668
ACH-000007,-0.470061809782
ACH-000009,-0.509774404752
ACH-000011,-0.205431130073
ACH-000012,-0.09153828187310001
ACH-000013,0.061901867938900006
ACH-000014,-0.312788878441
ACH-000015,0.108084353707
ACH-000017,-0.330404457608
ACH-000018,-0.293899524753
ACH-000019,0.315034390672
ACH-000021,-0.156741076998
ACH-000022,-0.42647482757399996
ACH-000025,-0.377874963349
ACH-000028,0.0016416511073299998
ACH-000030,-0.354701003936
ACH-000035,-0.007794523367380001
ACH-000036,-0.314879584827
ACH-000037,-0.547816611659
ACH-000039,-0.391891009842
ACH-000040,-0.487839745626
ACH-000041,-0.173146607186
ACH-000042,-0.233994011215
ACH-000045,0.132393440452
ACH-000047,-0.21477731497699998
ACH-000052,-0.522957175152
ACH-000053,-0.0177576384133
ACH-000054,-0.520462468604
ACH-000055,-0.246973401339
ACH-000060,-0.34372529777800004
ACH-000067,-0.050286648625
ACH-000070,-0.316388727659
ACH-000075,-0.44209789805
ACH-000078,-0.212554508095
ACH-000082,-0.07817396395830001
ACH-000085,0.028085203551599998
ACH-000086,-0.31892432655999997
ACH-000087,-0.0573419035111
ACH-000092,-0.59067001093
ACH-000095,-0.24539104446499999
ACH-000097,-0.165230563502
ACH-000098,-0.318299319146
ACH-000099,-0.0550215397836
ACH-000108,-0.147746357554
ACH-000113,-0.374775733742
ACH-000115,-0.154990720226
ACH-000116,-0.19365029650899998
ACH-000118,-0.36240956376199995
ACH-000120,-0.00237141270079
ACH-000123,-0.49106794111599994
ACH-000127,-0.06070767965149999
ACH-000128,-0.140895293793
ACH-000132,-0.0365312135329
ACH-000133,-0.287516736555
ACH-000137,-0.178961077585
ACH-000138,-0.142792679811
ACH-000142,-0.266354132451
ACH-000143,-0.17551784682500002
ACH-000146,-0.0654065151339
ACH-000148,-0.22536893674300001
ACH-000150,-0.411520239573
ACH-000152,-0.08451900097660002
ACH-000153,-0.5243243861399999
ACH-000159,-0.16942148383900002
ACH-000160,-0.263541533517
ACH-000163,-0.482970259816
ACH-000167,0.020256641110599997
ACH-000168,-0.52784153367
