,CRACR2B (283229)
ACH-000004,-0.174395639697
ACH-000007,-0.138604521848
ACH-000009,0.0622980649113
ACH-000011,-0.07088930793819999
ACH-000012,0.0163759902197
ACH-000013,-0.118212854842
ACH-000014,0.0251144010169
ACH-000015,0.0012709267034200001
ACH-000017,-0.355584652016
ACH-000018,-0.255981831979
ACH-000019,-0.39147753584399997
ACH-000021,-0.022398226912500003
ACH-000022,-0.288003055563
ACH-000025,-0.271411453107
ACH-000028,-0.168570571973
ACH-000030,-0.0625797243243
ACH-000035,0.00303466252719
ACH-000036,-0.168863211238
ACH-000037,-0.0493689812709
ACH-000039,0.067579395887
ACH-000040,-0.12462209061799999
ACH-000041,-0.11341935082900001
ACH-000042,-0.16769734424799998
ACH-000045,-0.198704912145
ACH-000047,0.0135139552358
ACH-000052,0.13167990734
ACH-000053,-0.0995366151321
ACH-000054,-0.023848273563700003
ACH-000055,0.08824246486710001
ACH-000060,-0.0356006052512
ACH-000067,-0.0759832631074
ACH-000070,-0.208845890864
ACH-000075,-0.034909194804599995
ACH-000078,-0.133582351741
ACH-000082,-0.17312470611400002
ACH-000085,-0.142778294242
ACH-000086,-0.0142770711772
ACH-000087,0.0734913237814
ACH-000092,0.0565649498912
ACH-000095,-0.134764988452
ACH-000097,-0.133206956492
ACH-000098,0.0310722536402
ACH-000099,0.0202001911189
ACH-000108,-0.0420346347121
ACH-000113,-0.0470063695149
ACH-000115,0.23198888108000001
ACH-000116,-0.0233540751757
ACH-000118,0.0199124696076
ACH-000120,-0.015198826208600002
ACH-000123,-0.156872500711
ACH-000127,-0.10859609863500001
ACH-000128,-0.18683854162
ACH-000132,-0.246039799973
ACH-000133,-0.0048785780723
ACH-000137,-0.27365041531
ACH-000138,-0.127987172047
ACH-000142,-0.028503469147099995
ACH-000143,0.0586050720789
ACH-000146,-0.040184227897600004
ACH-000148,0.243315257355
ACH-000150,-0.234167906887
ACH-000152,-0.05224370473809999
ACH-000153,-0.47560680144100004
ACH-000159,-0.08444316493739999
ACH-000160,0.050238701902400006
ACH-000163,-0.13087688705199998
ACH-000167,-0.06426199928090001
ACH-000168,-0.180363848027
ACH-000169,-0.212292266823
ACH-000178,-0.022177189682999997
ACH-000182,-0.115081406257
ACH-000183,-0.11024481811899998
ACH-000188,-0.0368975855735
ACH-000189,-0.19500448314899999
ACH-000190,0.391544084536
ACH-000198,-0.11137872505
ACH-000204,-0.0297173196068
ACH-000206,-0.0566331609938
ACH-000207,-0.0901654084254
ACH-000211,-0.110752621337
ACH-000215,-0.10480349056299999
ACH-000221,-0.0138492832125
ACH-000222,0.153886910183
ACH-000223,-0.0709776908403
ACH-000226,-0.10238799853399999
ACH-000227,-0.041439657332900004
ACH-000228,-0.0410125907601
ACH-000231,-0.0833935854791
ACH-000232,-0.17372479651
ACH-000233,-0.262265963356
ACH-000234,-0.115894201014
ACH-000235,-0.029715461884499996
ACH-000237,-0.0451932844254
ACH-000238,0.0513569463452
ACH-000243,0.0447882521476
ACH-000244,-0.08530432162030001
ACH-000246,-0.141447414654
ACH-000248,-0.120563885121
ACH-000250,-0.106239957262
ACH-000251,0.07038159728360001
ACH-000253,-0.263834064386
ACH-000255,-0.012242987884200002
ACH-000256,-0.125645070425
ACH-000257,0.05377503558680001
ACH-000258,-0.0697353399181
ACH-000259,0.014130074444799998
ACH-000260,-0.09400085790830001
ACH-000261,-0.297026358699
ACH-000262,-0.21846190948199998
ACH-000263,-0.00212992206862
ACH-000264,-0.249891112235
ACH-000265,-0.0715284939611
ACH-000266,-0.0365351467029
ACH-000272,-0.233514515435
ACH-000273,-0.180525675529
ACH-000274,-0.126942495486
ACH-000277,-0.323663137401
ACH-000278,-0.30177971723999997
ACH-000279,-0.051782075765000005
ACH-000280,-0.135056010256
ACH-000281,-0.018512351396
ACH-000288,-0.26709068841600003
ACH-000291,0.0407033936518
ACH-000293,0.0943676811036
ACH-000294,0.142419976304
ACH-000295,0.0758491159748
ACH-000296,-0.0748243291924
ACH-000302,-0.028772152918599997
ACH-000304,-0.10168000781
ACH-000307,-0.212088598861
ACH-000308,-0.0381766563614
ACH-000310,0.13850136785999997
ACH-000311,-0.0353936412495
ACH-000312,-0.052289894643900006
ACH-000315,-0.055276732248400004
ACH-000316,-0.023994090079700003
ACH-000317,-0.00703861590095
ACH-000318,0.227563956958
ACH-000319,-0.267265389841
ACH-000320,0.0275204786122
ACH-000322,-0.117306433542
ACH-000323,-0.17670609368299997
ACH-000324,-0.0675070049811
ACH-000329,-0.19852331227699999
ACH-000330,-0.025290320450900003
ACH-000331,0.0538578777624
ACH-000332,-0.0604431229454
ACH-000334,-0.204505463134
ACH-000335,-0.0380709792933
ACH-000336,-0.198195723076
ACH-000337,0.0215346760838
ACH-000339,-0.0544831303689
ACH-000341,-0.043224167292900004
ACH-000348,-0.05159950852519999
ACH-000350,0.0212770449718
ACH-000352,-0.1353138516
ACH-000356,0.00303108526938
ACH-000361,-0.25614508251999996
ACH-000362,-0.139856126139
ACH-000363,0.09320100254760001
ACH-000364,-0.0788086646925
ACH-000365,0.048440786047300004
ACH-000366,-0.29463172848
ACH-000368,-0.166079993762
ACH-000374,-0.041896082154300004
ACH-000375,0.0302810472009
ACH-000376,-0.181184506889
ACH-000381,-0.133827048951
ACH-000383,-0.129114053256
ACH-000387,-0.18390671881499998
ACH-000389,-0.17720000286600002
ACH-000390,0.045634940684900004
ACH-000393,-0.329798635914
ACH-000395,-0.054948228809199993
ACH-000397,-0.185084434465
ACH-000401,-0.176178649144
ACH-000402,-0.0498095075143
ACH-000403,-0.07468350546710001
ACH-000404,-0.0719622168325
ACH-000406,-0.0697609896417
ACH-000407,-0.155155398879
ACH-000408,0.0348332248963
ACH-000410,-0.0579880136663
ACH-000411,-0.205417374278
ACH-000414,0.063243040601
ACH-000415,0.000749173548077
ACH-000416,0.023985338954699998
ACH-000420,-0.300262514967
ACH-000421,-0.235017267137
ACH-000424,0.262623393885
ACH-000425,0.114924958933
ACH-000426,-0.09652967454330001
ACH-000427,-0.0345848452273
ACH-000433,0.029806257288199998
ACH-000436,-0.0247730668854
ACH-000444,-0.17050573467
ACH-000445,0.0491245658543
ACH-000448,-0.153279468867
ACH-000450,-0.498806029204
ACH-000452,-0.113389640694
ACH-000454,-0.269232924112
