,APOBEC3B (9582)
ACH-000004,-0.161670573406
ACH-000007,-0.23365980720899998
ACH-000009,-0.21679716312199998
ACH-000011,-0.0227133705111
ACH-000012,-0.201310868264
ACH-000013,-0.146532607436
ACH-000014,-0.210472600122
ACH-000015,-0.08776729258780001
ACH-000017,-0.260447392061
ACH-000018,-0.0223087397664
ACH-000019,-0.411847450974
ACH-000021,-0.1292228065
ACH-000022,-0.239061807361
ACH-000025,-0.061076190573599996
ACH-000028,-0.08888422569910001
ACH-000030,-0.056251835953699994
ACH-000035,-0.0492523482204
ACH-000036,-0.0446465029174
ACH-000037,-0.149156709692
ACH-000039,-0.06830756965319999
ACH-000040,0.152620069838
ACH-000041,-0.137860878904
ACH-000042,-0.25365426904399996
ACH-000045,-0.073735420621
ACH-000047,-0.143639788215
ACH-000052,-0.0560086685893
ACH-000053,-0.139390559933
ACH-000054,-0.19637176772700002
ACH-000055,-0.0483890172772
ACH-000060,-0.043005820911800004
ACH-000067,0.0043890801376200005
ACH-000070,-0.0485460433037
ACH-000075,-0.320564585109
ACH-000078,-0.168334356635
ACH-000082,0.159644999702
ACH-000085,-0.08726199446739999
ACH-000086,-0.13333067761
ACH-000087,-0.250497085919
ACH-000092,-0.11699099119
ACH-000095,-0.15391990735799999
ACH-000097,-0.0825826509745
ACH-000098,-0.12315105327999999
ACH-000099,-0.135325407807
ACH-000108,-0.242746530759
ACH-000113,-0.00043946978981
ACH-000115,-0.22265953314599998
ACH-000116,0.0278295791597
ACH-000118,-0.12368343768899999
ACH-000120,-0.195960095874
ACH-000123,-0.145092621493
ACH-000127,-0.056425753098099996
ACH-000128,-0.245103215584
ACH-000132,-0.165166627003
ACH-000133,-0.0209928455284
ACH-000137,-0.00110135497129
ACH-000138,-0.0365576903194
ACH-000142,-0.04463160734299999
ACH-000143,-0.227389850502
ACH-000146,-0.248378750042
ACH-000148,-0.0277646532438
ACH-000150,0.18030917587200002
ACH-000152,-0.038379082722900006
ACH-000153,-0.0696800793402
ACH-000159,-0.0997323046887
ACH-000160,-0.082649409117
ACH-000163,-0.277398778397
ACH-000167,-0.255613409654
ACH-000168,-0.167370684738
ACH-000169,-0.115626080435
ACH-000178,-0.18872800818799998
ACH-000182,-0.120501950355
ACH-000183,-0.23685826133699997
ACH-000188,-0.055012659695699996
ACH-000189,-0.39673477724399997
ACH-000190,0.044368232009300006
ACH-000198,0.027186151327
ACH-000204,-0.0612082143265
ACH-000206,0.228008690797
ACH-000207,-0.109658873111
ACH-000211,-0.0907125721828
ACH-000215,-0.0028562213848200005
ACH-000221,-0.181619018691
ACH-000222,-0.159490158587
ACH-000223,-0.0358477311571
ACH-000226,0.058104603784300005
ACH-000227,-0.140818793617
ACH-000228,-0.276493858641
ACH-000231,-0.060891938847000004
ACH-000232,-0.210289761201
ACH-000233,-0.259857043598
ACH-000234,0.0565004660073
ACH-000235,-0.10592218259299999
ACH-000237,-0.09552213885410002
ACH-000238,-0.179756634394
ACH-000243,-0.100217527196
ACH-000244,-0.210436948658
ACH-000246,-0.125028073436
ACH-000248,-0.142979246166
ACH-000250,-0.0054679692090299995
ACH-000251,-0.0334418535376
ACH-000253,-0.0467330164285
ACH-000255,-0.125699697186
ACH-000256,-0.151136024713
ACH-000257,0.106864532012
ACH-000258,-0.05352960611930001
ACH-000259,-0.00137722265282
ACH-000260,-0.19034559661699998
ACH-000261,-0.21410202165199999
ACH-000262,-0.106875053269
ACH-000263,-0.24629074337200002
ACH-000264,-0.25661169781300003
ACH-000265,0.013666943966899998
ACH-000266,-0.0721137512451
ACH-000272,-0.0944511636695
ACH-000273,0.0171352418428
ACH-000274,-0.23368710590999997
ACH-000277,0.0131162516476
ACH-000278,-0.264199924298
ACH-000279,-0.261290900458
ACH-000280,-0.228790739816
ACH-000281,-0.197323966676
ACH-000288,0.009083143871319999
ACH-000291,-0.19868780596299998
ACH-000293,-0.11372815417099999
ACH-000294,-0.212063169811
ACH-000295,-0.428885585467
ACH-000296,-0.225743407112
ACH-000302,-0.181550059718
ACH-000304,0.0342272289888
ACH-000307,-0.14140382361099998
ACH-000308,-0.171565473253
ACH-000310,-0.0598733818372
ACH-000311,-0.037461527423600004
ACH-000312,-0.129926224565
ACH-000315,-0.132097180557
ACH-000316,-0.225816513563
ACH-000317,-0.179590245745
ACH-000318,-0.159630102356
ACH-000319,-0.0171482155446
ACH-000320,-0.14856036428799999
ACH-000322,-0.18695515795499998
ACH-000323,-0.184078848288
ACH-000324,-0.055388560563000004
ACH-000329,-0.0579690570269
ACH-000330,-0.204108393918
ACH-000331,-0.0262572904662
ACH-000332,-0.23579552997699998
ACH-000334,-0.360363214762
ACH-000335,-0.277766500129
ACH-000336,-0.065960607111
ACH-000337,-0.474742199719
ACH-000339,-0.16635904259099998
ACH-000341,-0.0931149487298
ACH-000348,-0.188732866913
ACH-000350,-0.0937311800477
ACH-000352,-0.026237974032299997
ACH-000356,-0.0889181076303
ACH-000361,-0.0865227196434
ACH-000362,-0.187666292948
ACH-000363,-0.416519468737
ACH-000364,-0.124927211929
ACH-000365,-0.151640144271
ACH-000366,-0.08535495263380001
ACH-000368,-0.11031977566199999
ACH-000374,-0.015927635974299997
ACH-000375,-0.321647552477
ACH-000376,-0.118174019752
ACH-000381,-0.311661414975
ACH-000383,-0.156732278067
ACH-000387,-0.205494998005
ACH-000389,-0.0559571589
ACH-000390,-0.216754254378
ACH-000393,-0.168827206812
ACH-000395,-0.29295392086399996
ACH-000397,-0.124912492916
ACH-000401,-0.060773846118099994
ACH-000402,-0.539798074558
ACH-000403,-0.13772116659800002
ACH-000404,-0.151433017738
ACH-000406,-0.0686119592033
ACH-000407,-0.0127202820526
ACH-000408,-0.09391211687110002
ACH-000410,-0.11326260927899999
ACH-000411,-0.0025155663767600003
ACH-000414,-0.10495336413999999
ACH-000415,-0.120865145143
ACH-000416,-0.065559876411
ACH-000420,-0.1685157725
ACH-000421,-0.227489907212
ACH-000424,-0.19671929927999998
ACH-000425,0.06902430804710001
ACH-000426,-0.213076448035
ACH-000427,-0.103275932467
ACH-000433,-0.134964377894
ACH-000436,0.025998446748900002
ACH-000444,-0.10730915956499999
ACH-000445,-0.128775039655
ACH-000448,-0.0314732353858
ACH-000450,-0.0841718815285
ACH-000452,-0.0484795035123
ACH-000454,-0.16105369298
ACH-000458,-0.0219444323163
ACH-000459,-0.0828356197114
ACH-000460,-0.10798172673499999
ACH-000461,-0.31686284061299996
ACH-000463,-0.08016031731710001
ACH-000464,0.0343463654886
ACH-000466,0.00764030467171
