,MACF1 (23499)
ACH-000004,-0.267306313294
ACH-000007,0.08583287045719999
ACH-000009,-0.14048629164100002
ACH-000011,-0.0882508589247
ACH-000012,-0.0170207147114
ACH-000013,-0.0801558166685
ACH-000014,0.222823831439
ACH-000015,0.0038340410357699996
ACH-000017,0.0253908532993
ACH-000018,-0.111325802438
ACH-000019,-0.245400639964
ACH-000021,-0.00626071308015
ACH-000022,0.008220041648979999
ACH-000025,-0.10074276680500001
ACH-000028,-0.22973417082400002
ACH-000030,-0.104333793869
ACH-000035,-0.117148228169
ACH-000036,-0.0356600301573
ACH-000037,-0.046926045657599995
ACH-000039,-0.0787814787978
ACH-000040,-0.017416231036
ACH-000041,-0.08656303273530001
ACH-000042,-0.061095508949199996
ACH-000045,-0.129186839561
ACH-000047,-0.266628635697
ACH-000052,-0.08643158651689999
ACH-000053,-0.0233486436867
ACH-000054,-0.252279011647
ACH-000055,0.0352761345957
ACH-000060,-0.190340166659
ACH-000067,-0.0102512823501
ACH-000070,-0.18067821098499998
ACH-000075,-0.350299033251
ACH-000078,-0.38407271888000005
ACH-000082,-0.363554872508
ACH-000085,-0.00558338655062
ACH-000086,-0.266602528017
ACH-000087,-0.138022909833
ACH-000092,-0.20883120239999997
ACH-000095,-0.0363559723445
ACH-000097,-0.209072833658
ACH-000098,-0.183442175686
ACH-000099,-0.11910605879000001
ACH-000108,-0.42035807613399995
ACH-000113,-0.20080565021
ACH-000115,-0.187887098807
ACH-000116,-0.151934161363
ACH-000118,-0.104431183696
ACH-000120,-0.115791055575
ACH-000123,-0.0038161201703000003
ACH-000127,-0.150797899044
ACH-000128,-0.268871794986
ACH-000132,-0.128019432466
ACH-000133,-0.0727021321777
ACH-000137,0.00136067900773
ACH-000138,-0.10961966240599999
ACH-000142,-0.241006080919
ACH-000143,-0.263282377524
ACH-000146,-0.0293734728266
ACH-000148,-0.12161881615999999
ACH-000150,-0.26925434007800003
ACH-000152,-0.0178958451517
ACH-000153,0.00626845329575
ACH-000159,-0.212703608655
ACH-000160,-0.14821523186
ACH-000163,-0.17273576046300002
ACH-000167,-0.35336089141099997
ACH-000168,-0.130289371575
ACH-000169,-0.245186486127
ACH-000178,-0.118815146788
ACH-000182,-0.137642623627
ACH-000183,-0.268227948199
ACH-000188,-0.113370246852
ACH-000189,-0.183040260507
ACH-000190,-0.06872997852469999
ACH-000198,-0.205385431986
ACH-000204,-0.165757974764
ACH-000206,0.10100943665100001
ACH-000207,-0.0426373464686
ACH-000211,0.103312533208
ACH-000215,-0.126313589498
ACH-000221,0.00343346067301
ACH-000222,-0.059474244813599995
ACH-000223,-0.156291013156
ACH-000226,0.000600542613149
ACH-000227,0.027830365767
ACH-000228,-0.196485110396
ACH-000231,-0.025235363828300002
ACH-000232,-0.063926656087
ACH-000233,-0.111945707366
ACH-000234,-0.10266980985600001
ACH-000235,-0.17806855266899999
ACH-000237,-0.040438366473
ACH-000238,0.00794642044783
ACH-000243,-0.0168079821072
ACH-000244,-0.440797103983
ACH-000246,-0.10611314809900001
ACH-000248,-0.268970635972
ACH-000250,-0.0471863406029
ACH-000251,0.0734306151842
ACH-000253,-0.179612765248
ACH-000255,-0.102952782117
ACH-000256,0.0551363188865
ACH-000257,-0.0037526721189699995
ACH-000258,-0.185190040634
ACH-000259,-0.102277926938
ACH-000260,-0.21163520611699999
ACH-000261,-0.0038250553091299998
ACH-000262,-0.20307814491999998
ACH-000263,-0.19938096643
ACH-000264,-0.09973622492319999
ACH-000265,-0.14740141566
ACH-000266,-0.0817189078045
ACH-000272,-0.12066840194
ACH-000273,-0.0560734404805
ACH-000274,-0.0382265281434
ACH-000277,-0.226768940892
ACH-000278,0.00123615468939
ACH-000279,-0.07409264895050001
ACH-000280,0.060556322066099996
ACH-000281,0.051184629999
ACH-000288,-0.15374204530899999
ACH-000291,-0.138012319088
ACH-000293,-0.06454716893950001
ACH-000294,0.0234159975185
ACH-000295,-0.019465051097799998
ACH-000296,-0.092752675798
ACH-000302,-0.139689229813
ACH-000304,-0.09349833069939999
ACH-000307,-0.0913969336077
ACH-000308,-0.00428343077833
ACH-000310,-0.267549728108
ACH-000311,0.127254838328
ACH-000312,-0.331391944938
ACH-000315,0.10292741011800001
ACH-000316,-0.041284999563599996
ACH-000317,0.00711845222676
ACH-000318,-0.050493741445399996
ACH-000319,-0.120848651275
ACH-000320,-0.272432668015
ACH-000322,-0.0334867337773
ACH-000323,-0.151184888284
ACH-000324,-0.0297591987685
ACH-000329,-0.209922597312
ACH-000330,-0.178708588193
ACH-000331,-0.0823620601273
ACH-000332,-0.313935570836
ACH-000334,-0.033885107575599996
ACH-000335,0.163444287197
ACH-000336,-0.12256990378799999
ACH-000337,-0.311144419513
ACH-000339,-0.0578522979741
ACH-000341,-0.300240613017
ACH-000348,-0.166335623762
ACH-000350,-0.106443840693
ACH-000352,-0.155269764394
ACH-000356,-0.0604352305079
ACH-000361,-0.200845964131
ACH-000362,-0.062364789354499996
ACH-000363,-0.0682209324697
ACH-000364,0.0114957474481
ACH-000365,-0.024855955166700004
ACH-000366,-0.131131816476
ACH-000368,-0.13012228665699999
ACH-000374,-0.20194222521299998
