,HIST1H2AG (8969)
ACH-000004,-0.188276093302
ACH-000007,-0.132223855797
ACH-000009,-0.222688925814
ACH-000011,-0.44017166545100006
ACH-000012,-0.30728063130100003
ACH-000013,-0.270459082377
ACH-000014,-0.157118789173
ACH-000015,0.0054404336372200005
ACH-000017,-0.370236918533
ACH-000018,-0.260973585708
ACH-000019,-0.584247915194
ACH-000021,-0.197603949142
ACH-000022,-0.23547695074799999
ACH-000025,-0.16545083561100002
ACH-000028,-0.307057740009
ACH-000030,-0.173099014054
ACH-000035,-0.159384306141
ACH-000036,-0.042172082974800004
ACH-000037,-0.142925906209
ACH-000039,0.038576453794900004
ACH-000040,-0.217761065209
ACH-000041,-0.30879376732700003
ACH-000042,-0.049371137105099994
ACH-000045,-0.32923983977
ACH-000047,-0.294408507325
ACH-000052,-0.0423586409957
ACH-000053,-0.148478397447
ACH-000054,-0.150131403629
ACH-000055,-0.27093926874200003
ACH-000060,-0.333266952564
ACH-000067,-0.296326401493
ACH-000070,-0.17226023176
ACH-000075,-0.20018778626800002
ACH-000078,-0.14656177058800002
ACH-000082,-0.403765250198
ACH-000085,-0.426394910267
ACH-000086,-0.156968501842
ACH-000087,-0.569383972753
ACH-000092,-0.190515174372
ACH-000095,-0.30657509426999996
ACH-000097,-0.207377961685
ACH-000098,-0.277900621257
ACH-000099,-0.24499168316599998
ACH-000108,-0.19493391236299998
ACH-000113,-0.259487664224
ACH-000115,-0.587806725054
ACH-000116,-0.318242712996
ACH-000118,-0.192797655072
ACH-000120,-0.18995363825999997
ACH-000123,-0.239793526369
ACH-000127,-0.280778724441
ACH-000128,-0.18318679622
ACH-000132,-0.278428951744
ACH-000133,-0.0161862792341
ACH-000137,-0.112269326721
ACH-000138,-0.243724951746
ACH-000142,-0.194430024423
ACH-000143,-0.40980801554499996
ACH-000146,-0.21580576723099998
ACH-000148,-0.18633604647
ACH-000150,-0.153765968773
ACH-000152,-0.152998119028
ACH-000153,-0.407070879047
ACH-000159,-0.281834668321
ACH-000160,-0.0344597517874
ACH-000163,-0.21574352515099998
ACH-000167,0.07005813502939999
ACH-000168,-0.124020913627
ACH-000169,-0.137190980153
ACH-000178,-0.15712741938799998
ACH-000182,-0.300350917381
ACH-000183,-0.0668088966438
ACH-000188,-0.188301029827
ACH-000189,0.07942862594700001
ACH-000190,-0.254693523704
ACH-000198,-0.19177493963300002
ACH-000204,-0.318471617175
ACH-000206,-0.607721601849
ACH-000207,-0.276651487529
ACH-000211,-0.0430592101343
ACH-000215,-0.301635258264
ACH-000221,0.105704294824
ACH-000222,-0.0764576591762
ACH-000223,-0.180528960484
ACH-000226,-0.249121276842
ACH-000227,0.028405184997900002
ACH-000228,-0.201102565857
ACH-000231,-0.43325656531199996
ACH-000232,-0.20349993897399998
ACH-000233,-0.293018131196
ACH-000234,-0.159266408532
ACH-000235,-0.170729047942
ACH-000237,-0.34086148655500004
ACH-000238,-0.44792299567599997
ACH-000243,-0.212371483651
ACH-000244,-0.443533729878
ACH-000246,-0.10535524204399999
ACH-000248,-0.470995061748
ACH-000250,-0.21008353677299998
ACH-000251,-0.635426687574
ACH-000253,-0.19949041627099998
ACH-000255,-0.0805700594713
ACH-000256,-0.102160110613
ACH-000257,-0.08657659404349999
ACH-000258,0.293287304323
ACH-000259,-0.21667610873399998
ACH-000260,-0.148438628551
ACH-000261,-0.24654590865200002
ACH-000262,-0.130171223399
ACH-000263,-0.40215576915299994
ACH-000264,-0.258864449482
ACH-000265,-0.114820742856
ACH-000266,-0.193711840573
ACH-000272,-0.162400337713
ACH-000273,-0.261351048539
ACH-000274,-0.301566351545
ACH-000277,-0.641683437877
ACH-000278,-0.435386522566
ACH-000279,-0.291943751962
ACH-000280,-0.225063018755
ACH-000281,-0.15139861769500002
ACH-000288,-0.273791822637
ACH-000291,-0.152234835625
ACH-000293,-0.20944516773699998
ACH-000294,-0.014370186689200001
ACH-000295,-0.78307616198
ACH-000296,-0.358027822629
ACH-000302,-0.179349372062
ACH-000304,-0.0118204499215
ACH-000307,-0.22098862030699998
ACH-000308,-0.450485883534
ACH-000310,0.00809000203086
ACH-000311,-0.15469755395600002
ACH-000312,-0.320926783442
ACH-000315,-0.043325097154299996
ACH-000316,-0.402873931276
ACH-000317,-0.294276270922
ACH-000318,-0.307307027033
ACH-000319,-0.539356066285
ACH-000320,-0.15641792128100002
ACH-000322,-0.18052698239700002
ACH-000323,-0.107460150998
ACH-000324,-0.15450627767300001
ACH-000329,-0.328487698299
ACH-000330,-0.290403557203
ACH-000331,-0.38418546648900004
ACH-000332,-0.255387728061
ACH-000334,-0.518768265705
ACH-000335,-0.529395681633
ACH-000336,-0.467040082425
ACH-000337,-0.251829375542
ACH-000339,-0.264493026361
ACH-000341,-0.220378047692
ACH-000348,-0.18806503377300002
ACH-000350,-0.0967969015935
ACH-000352,-0.10444556826099999
ACH-000356,-0.22465789549600002
ACH-000361,-0.07890862057310001
ACH-000362,-0.19948967971700002
ACH-000363,-0.231801863347
ACH-000364,-0.385782785041
ACH-000365,-0.109621257315
ACH-000366,-0.135596903564
ACH-000368,-0.320956275527
ACH-000374,-0.317627413039
ACH-000375,-0.2860182806
ACH-000376,-0.169577145265
ACH-000381,-0.00609297627735
ACH-000383,-0.278860742006
ACH-000387,-0.249926545192
ACH-000389,-0.26421250452399997
ACH-000390,-0.281112899601
ACH-000393,-0.261125122375
ACH-000395,-0.100834081184
ACH-000397,-0.432297130098
ACH-000401,-0.199522430588
ACH-000402,-0.258153977188
ACH-000403,-0.178476498211
ACH-000404,-0.261093241649
ACH-000406,-0.10473208007200001
ACH-000407,-0.328182451674
ACH-000408,-0.24217583265099998
ACH-000410,-0.117887648782
ACH-000411,-0.160459508819
ACH-000414,-0.20634233204799998
ACH-000415,-0.208887081586
ACH-000416,-0.0637891026764
ACH-000420,-0.041270728879
ACH-000421,-0.160888559267
ACH-000424,-0.140692415369
ACH-000425,-0.032762556511
ACH-000426,-0.08437073922739999
ACH-000427,-0.310235586356
ACH-000433,-0.392183439257
ACH-000436,-0.421501889594
ACH-000444,-0.226579664414
ACH-000445,-0.177923192197
ACH-000448,-0.282857638519
ACH-000450,-0.328712946911
ACH-000452,-0.18175756121300002
ACH-000454,-0.532343510403
ACH-000458,-0.33531102615499997
ACH-000459,-0.294757882473
ACH-000460,-0.410214173097
ACH-000461,-0.2838446816
ACH-000463,-0.26131182791499996
ACH-000464,-0.29209673404500003
ACH-000466,-0.060669624304599996
ACH-000467,-0.193520402073
ACH-000468,-0.171885276007
ACH-000469,-0.285853025151
ACH-000470,-0.355088884103
ACH-000471,-0.18283974784499998
ACH-000472,-0.28179971509199997
ACH-000473,-0.37734730553
ACH-000475,-0.19600022518500002
ACH-000476,-0.252744618462
ACH-000477,-0.4403137482
ACH-000480,-0.219424662418
ACH-000481,-0.17318030563
ACH-000483,-0.316230494958
ACH-000484,-0.20711930801
ACH-000485,-0.13758019054
ACH-000486,-0.17425453815699998
ACH-000487,-0.263900284944
ACH-000488,-0.25026011013300004
ACH-000490,-0.334896296047
ACH-000491,-0.280239662482
ACH-000495,0.028599171650099998
ACH-000496,-0.161974400844
ACH-000499,-0.636099272243
ACH-000500,0.157551376511
ACH-000502,-0.07693898005119999
ACH-000503,-0.28731646599599997
ACH-000505,-0.136499308243
ACH-000507,-0.205054978968
ACH-000510,-0.09183902477360001
ACH-000511,-0.0865102581254
ACH-000512,-0.21723229866000002
ACH-000516,-0.235256477675
ACH-000517,-0.293870192709
ACH-000518,-0.16979775644
ACH-000520,-0.0138837033722
ACH-000521,-0.14210721093599998
ACH-000522,-0.298970281928
