,FCF1 (51077)
ACH-000004,-1.11713981926
ACH-000007,-1.23577644565
ACH-000009,-1.15530639503
ACH-000011,-1.0707045739
ACH-000012,-1.12947405534
ACH-000013,-1.0948290925700002
ACH-000014,-1.0782404775299999
ACH-000015,-0.900340474409
ACH-000017,-1.03797530046
ACH-000018,-1.03798204887
ACH-000019,-0.85436838406
ACH-000021,-1.31090429675
ACH-000022,-0.8683700110729999
ACH-000025,-1.19547028464
ACH-000028,-0.9971345890250001
ACH-000030,-0.965438969166
ACH-000035,-1.16540729445
ACH-000036,-1.46629158133
ACH-000037,-1.5306410018399998
ACH-000039,-1.28195276208
ACH-000040,-1.4205862282600001
ACH-000041,-1.33890110396
ACH-000042,-1.1957450156799998
ACH-000045,-1.23102745843
ACH-000047,-1.3452086643599999
ACH-000052,-1.0426424779
ACH-000053,-1.135734639
ACH-000054,-1.17448822093
ACH-000055,-1.3605324246200001
ACH-000060,-1.21639237058
ACH-000067,-1.1718656846200002
ACH-000070,-1.3342579450299998
ACH-000075,-1.45074702683
ACH-000078,-1.13580226566
ACH-000082,-1.3336239703100001
ACH-000085,-0.988910785846
ACH-000086,-1.20414411692
ACH-000087,-1.23716820043
ACH-000092,-1.4055398343
ACH-000095,-1.2531955429000001
ACH-000097,-1.32369276226
ACH-000098,-1.1949512462
ACH-000099,-1.0139921727299999
ACH-000108,-1.33675904695
ACH-000113,-1.22075402496
ACH-000115,-1.04470224454
ACH-000116,-1.2291283065799998
ACH-000118,-1.18246777058
ACH-000120,-1.27243833839
ACH-000123,-1.00635882374
ACH-000127,-1.01030910092
ACH-000128,-1.3917477083
ACH-000132,-1.3791850159299999
ACH-000133,-0.9955252551260001
ACH-000137,-1.30831901376
ACH-000138,-1.21490442984
ACH-000142,-1.26403125924
ACH-000143,-1.14847572253
ACH-000146,-1.3710536836000002
ACH-000148,-1.15392377825
ACH-000150,-1.14392121514
ACH-000152,-1.16866465166
ACH-000153,-1.22545169749
ACH-000159,-1.4710256902
ACH-000160,-1.2969087123899998
ACH-000163,-1.2416634742200001
ACH-000167,-1.4097330898700002
ACH-000168,-1.29888396208
ACH-000169,-1.3838051404
ACH-000178,-1.3039999260700001
ACH-000182,-1.33706980279
ACH-000183,-1.09628283796
ACH-000188,-1.28584218981
ACH-000189,-1.32252336965
ACH-000190,-1.41806663053
ACH-000198,-1.22634099786
ACH-000204,-1.08957109154
ACH-000206,-1.05040323471
ACH-000207,-1.02020826214
ACH-000211,-1.09049096343
ACH-000215,-1.3778524932499998
ACH-000221,-1.29871790652
ACH-000222,-1.64377792824
ACH-000223,-1.22782048236
ACH-000226,-1.34787839372
ACH-000227,-1.4860623159399997
ACH-000228,-0.838370266338
ACH-000231,-1.06829106509
ACH-000232,-1.29440894333
ACH-000233,-1.2096178136
ACH-000234,-1.36467107115
ACH-000235,-1.2801850553
ACH-000237,-1.1094059601200001
ACH-000238,-1.1038376685
ACH-000243,-1.13576705984
ACH-000244,-1.4730646086399999
ACH-000246,-1.31885124794
ACH-000248,-1.0424827501
ACH-000250,-1.4279170308899998
ACH-000251,-1.14227955987
ACH-000253,-1.0800347572
ACH-000255,-1.16502163688
ACH-000256,-1.09841868844
ACH-000257,-1.30021380135
ACH-000258,-1.26754312574
ACH-000259,-1.09897657164
ACH-000260,-1.26694257549
ACH-000261,-1.42212711855
ACH-000262,-1.34150957506
ACH-000263,-1.2565443569299999
ACH-000264,-1.07810633259
ACH-000265,-1.20991552748
ACH-000266,-1.09608827067
ACH-000272,-1.32080744565
ACH-000273,-1.2435942761399998
ACH-000274,-1.45625873163
ACH-000277,-1.0977295036799999
ACH-000278,-1.2919001849
ACH-000279,-1.23175447214
ACH-000280,-1.04975980984
ACH-000281,-1.21782394028
ACH-000288,-1.29430445685
ACH-000291,-0.921720695131
ACH-000293,-1.06223073902
ACH-000294,-1.0379848028899998
ACH-000295,-1.1807503339
ACH-000296,-1.8661299252799999
ACH-000302,-1.07633029482
ACH-000304,-1.2349532328100001
ACH-000307,-1.05894478766
ACH-000308,-1.41010177268
ACH-000310,-1.6783572454799998
ACH-000311,-1.3715437471
ACH-000312,-1.23478971211
ACH-000315,-1.08684171929
ACH-000316,-1.43123290315
ACH-000317,-1.12720530665
ACH-000318,-1.03416566057
ACH-000319,-1.36090148818
ACH-000320,-1.35595105697
ACH-000322,-1.35339186607
ACH-000323,-1.2070745616299998
ACH-000324,-1.1359759121600002
ACH-000329,-1.37741374379
ACH-000330,-1.15228088924
ACH-000331,-1.06228550047
ACH-000332,-1.27192506707
ACH-000334,-1.18702132915
ACH-000335,-1.09703035699
ACH-000336,-1.1106522448
ACH-000337,-1.0010822239200001
ACH-000339,-1.2068703233700002
ACH-000341,-1.67291628325
ACH-000348,-1.14473264139
ACH-000350,-1.29943947331
ACH-000352,-1.18133352253
ACH-000356,-1.11890457605
ACH-000361,-1.4241067678100001
ACH-000362,-1.22617924231
ACH-000363,-1.18464718669
ACH-000364,-1.2951879202399998
ACH-000365,-0.8737826884000001
ACH-000366,-1.01451487278
ACH-000368,-1.0095172875799998
ACH-000374,-1.37235340276
ACH-000375,-1.3852529866
