,SCFD1 (23256)
ACH-000004,-1.25983317237
ACH-000007,-0.9988819491700001
ACH-000009,-1.3144961981799999
ACH-000011,-1.10169184752
ACH-000012,-1.41835027085
ACH-000013,-1.65221216117
ACH-000014,-1.1047087003799998
ACH-000015,-0.9292396508670001
ACH-000017,-1.07089733071
ACH-000018,-0.780429162298
ACH-000019,-1.24728814867
ACH-000021,-1.23479868701
ACH-000022,-1.0655973321899999
ACH-000025,-1.07778111317
ACH-000028,-1.26779860227
ACH-000030,-1.36075347189
ACH-000035,-1.4725225052000002
ACH-000036,-1.6032109064500002
ACH-000037,-1.18781634949
ACH-000039,-0.971450461506
ACH-000040,-1.6696191528100002
ACH-000041,-0.937778385776
ACH-000042,-1.03438830738
ACH-000045,-1.1691811783
ACH-000047,-1.14625516916
ACH-000052,-1.36492675496
ACH-000053,-1.1560332958600001
ACH-000054,-1.2866649839
ACH-000055,-1.08150398691
ACH-000060,-1.09173512426
ACH-000067,-1.26509932557
ACH-000070,-0.835767415406
ACH-000075,-1.2108847620899998
ACH-000078,-1.1171439141500001
ACH-000082,-1.46208341942
ACH-000085,-0.984942837005
ACH-000086,-1.4627526023299997
ACH-000087,-1.13623019052
ACH-000092,-1.1639412163200002
ACH-000095,-1.13464465571
ACH-000097,-1.34475336705
ACH-000098,-1.37804460275
ACH-000099,-0.9677129245589999
ACH-000108,-1.48185828634
ACH-000113,-1.44170479871
ACH-000115,-1.02534723182
ACH-000116,-1.2594311022700002
ACH-000118,-1.1181921886
ACH-000120,-1.2739655161299999
ACH-000123,-1.26648445463
ACH-000127,-1.00761659394
ACH-000128,-0.758679641677
ACH-000132,-0.9354073072840001
ACH-000133,-1.32069200558
ACH-000137,-1.1854336057400001
ACH-000138,-0.947944420487
ACH-000142,-0.943099216485
ACH-000143,-1.14389020332
ACH-000146,-1.2854973406299999
ACH-000148,-1.5512400170299998
ACH-000150,-1.26620309113
ACH-000152,-1.24850543859
ACH-000153,-1.36635595066
ACH-000159,-1.32575171621
ACH-000160,-1.20685346504
ACH-000163,-1.3889554499
ACH-000167,-1.1007540549
ACH-000168,-1.31220284389
ACH-000169,-1.2629622546100001
ACH-000178,-1.1543495451899999
ACH-000182,-1.4243857419400001
ACH-000183,-0.976053777413
ACH-000188,-1.00255231565
ACH-000189,-1.4215914275400001
ACH-000190,-1.10382091096
ACH-000198,-1.26954291072
ACH-000204,-1.51003661697
ACH-000206,-1.07081575119
ACH-000207,-0.761828920053
ACH-000211,-0.963986092351
ACH-000215,-1.1433803194299998
ACH-000221,-0.7731048482359999
ACH-000222,-1.43369565966
ACH-000223,-1.12511311945
ACH-000226,-1.16520019175
ACH-000227,-1.4099114745299999
ACH-000228,-1.0791080664200001
ACH-000231,-0.953001759342
ACH-000232,-1.2227639798
ACH-000233,-1.42358383921
