,RPS19BP1 (91582)
ACH-000004,-0.603939087043
ACH-000007,-0.678314309389
ACH-000009,-0.847239213988
ACH-000011,-0.528117378626
ACH-000012,-0.689984891649
ACH-000013,-0.8827555130210001
ACH-000014,-0.804906495939
ACH-000015,-0.8107653411519999
ACH-000017,-0.38738984829000006
ACH-000018,-0.919824026357
ACH-000019,-0.757235568556
ACH-000021,-0.57450247062
ACH-000022,-0.7883972317839999
ACH-000025,-0.9665768826189999
ACH-000028,-0.572838570387
ACH-000030,-0.6776617276479999
ACH-000035,-0.504485734969
ACH-000036,-0.9211111967919999
ACH-000037,-0.264451627773
ACH-000039,-0.592390814957
ACH-000040,-0.464929708182
ACH-000041,-0.595350027254
ACH-000042,-0.753757536988
ACH-000045,-0.5141792672469999
ACH-000047,-0.701644077922
ACH-000052,-0.65442932466
ACH-000053,-0.6940522347570001
ACH-000054,-0.6616270052619999
ACH-000055,-0.760940909806
ACH-000060,-0.713671192886
ACH-000067,-0.875994518194
ACH-000070,-0.554799297921
ACH-000075,-0.544342583375
ACH-000078,-0.6110411784449999
ACH-000082,-0.667779251408
ACH-000085,-0.5298774922649999
ACH-000086,-0.6825877094480001
ACH-000087,-0.7345270737399999
ACH-000092,-0.8217832921989999
ACH-000095,-0.709206890408
ACH-000097,-0.716719843877
ACH-000098,-0.721243627677
ACH-000099,-0.648614172979
ACH-000108,-0.66833591946
ACH-000113,-0.827685772745
ACH-000115,-0.342883134186
ACH-000116,-0.594985968845
ACH-000118,-0.8290500284639999
ACH-000120,-0.8690985839040001
ACH-000123,-0.716783304046
ACH-000127,-0.423724911989
ACH-000128,-0.871001702669
ACH-000132,-0.901045213322
ACH-000133,-0.6500919826789999
ACH-000137,-0.647481540364
ACH-000138,-0.614151249259
ACH-000142,-0.7169013594179999
ACH-000143,-0.859983341117
ACH-000146,-0.72831382868
ACH-000148,-0.59368666628
ACH-000150,-0.43283498863000003
ACH-000152,-0.8787399233600001
ACH-000153,-0.33257511575300003
ACH-000159,-0.633945114104
ACH-000160,-0.970415144182
ACH-000163,-0.648058833579
ACH-000167,-0.806294437864
ACH-000168,-1.0430338358600002
ACH-000169,-0.766931625524
ACH-000178,-0.810565568251
ACH-000182,-0.635817300359
ACH-000183,-0.662389980758
ACH-000188,-0.605370299319
ACH-000189,-0.5331933572909999
ACH-000190,-0.8546677986040001
ACH-000198,-0.623000828843
ACH-000204,-0.459514631721
ACH-000206,-0.620607671923
ACH-000207,-0.863620403636
ACH-000211,-0.546900482191
ACH-000215,-0.630875918984
ACH-000221,-0.492559574718
ACH-000222,-0.63815122666
ACH-000223,-0.659740360477
ACH-000226,-0.547314164658
ACH-000227,-0.804992175521
ACH-000228,-0.779142778715
ACH-000231,-0.8851720995200001
ACH-000232,-0.710580446543
ACH-000233,-0.720511883514
ACH-000234,-0.349056142826
ACH-000235,-0.532268575721
