,LEPR (3953)
ACH-000004,-0.223207961057
ACH-000007,0.053045804665900004
ACH-000009,-0.139181468283
ACH-000011,-0.115165583619
ACH-000012,-0.0782250453223
ACH-000013,-0.11657078654200001
ACH-000014,-0.0565163868162
ACH-000015,-0.25967450132
ACH-000017,-0.0841078279207
ACH-000018,-0.10849023952800001
ACH-000019,-0.026325288803699998
ACH-000021,-0.40490980634
ACH-000022,-0.137504584403
ACH-000025,-0.27702899288800004
ACH-000028,-0.10631100503699999
ACH-000030,-0.084714618799
ACH-000035,-0.211404609967
ACH-000036,0.227330061167
ACH-000037,-0.13538155041799999
ACH-000039,-0.14875828804400001
ACH-000040,-0.17717905637000003
ACH-000041,-0.030471770863099996
ACH-000042,0.021797644309900003
ACH-000045,-0.0256164370865
ACH-000047,0.017966352499799998
ACH-000052,-0.0995237585843
ACH-000053,-0.0952263272515
ACH-000054,-0.128736159552
ACH-000055,-0.013235517275399998
ACH-000060,-0.0121830604816
ACH-000067,-0.28893198934000003
ACH-000070,0.0841492969884
ACH-000075,-0.054211124229699995
ACH-000078,-0.0574349720154
ACH-000082,-0.0486497628426
ACH-000085,-0.0569326367758
ACH-000086,-0.20067679286899998
ACH-000087,-0.0536857855526
ACH-000092,-0.107396391347
ACH-000095,-0.0327826136297
ACH-000097,0.0112995157705
ACH-000098,-0.204761100546
ACH-000099,-0.109383309537
ACH-000108,-0.13595367463400002
ACH-000113,-0.186416955365
ACH-000115,-0.148050743859
ACH-000116,-0.00334319305604
ACH-000118,-0.052799604758900005
ACH-000120,-0.166568768432
ACH-000123,-0.10238458355
ACH-000127,-0.108558800562
ACH-000128,-0.0625069522761
ACH-000132,-0.0221798617916
ACH-000133,-0.0451104907897
ACH-000137,-0.219784606904
ACH-000138,-0.025570880003
ACH-000142,-0.0674493663149
ACH-000143,0.0930654138963
ACH-000146,-0.09707928858619999
ACH-000148,-0.13016333298399999
ACH-000150,-0.040841292933
ACH-000152,-0.08504640491149999
ACH-000153,-0.0727475843514
ACH-000159,-0.193434291028
ACH-000160,-0.29122347012
ACH-000163,0.034386830228300004
ACH-000167,-0.15552537027000002
ACH-000168,-0.0298245661991
ACH-000169,-0.0263840645711
ACH-000178,-0.020811154262900002
ACH-000182,-0.133598693058
ACH-000183,-0.05523613152200001
ACH-000188,-0.179578013649
ACH-000189,-0.14512110779200002
ACH-000190,-0.22373552201900002
ACH-000198,-0.104955154209
ACH-000204,-0.20945282167100002
ACH-000206,-0.025602395265200004
ACH-000207,-0.30603935
ACH-000211,0.0178009510148
ACH-000215,-0.139264217003
ACH-000221,-0.211233001891
ACH-000222,-0.11327578604
ACH-000223,-0.161515453555
ACH-000226,-0.119597636582
ACH-000227,0.088769295339
