,HIVEP3 (59269)
ACH-000004,-0.266522240148
ACH-000007,-0.217541928092
ACH-000009,-0.133732640435
ACH-000011,-0.100768699273
ACH-000012,-0.12996548810699998
ACH-000013,-0.23358702538400003
ACH-000014,-0.05274997388719999
ACH-000015,-0.08789111331730001
ACH-000017,-0.196830201306
ACH-000018,0.103615933504
ACH-000019,0.009042495425250001
ACH-000021,-0.10148721145600001
ACH-000022,-0.118951833199
ACH-000025,-0.102643881381
ACH-000028,-0.148198377237
ACH-000030,-0.08974198123960002
ACH-000035,-0.31093804145
ACH-000036,-0.105662920777
ACH-000037,-0.0268192603545
ACH-000039,-0.0344216919167
ACH-000040,-0.18460241015599999
ACH-000041,-0.254362654441
ACH-000042,-0.06165192689730001
ACH-000045,-0.0770422383047
ACH-000047,-0.10134515707000001
ACH-000052,-0.009520685579860001
ACH-000053,-0.19323277145799997
ACH-000054,-0.0822009997917
ACH-000055,-0.0519895418403
ACH-000060,-0.253634061455
ACH-000067,0.00172605643964
ACH-000070,-0.0710024017632
ACH-000075,-0.123230029354
ACH-000078,-0.2421095141
ACH-000082,-0.125457361348
ACH-000085,-0.192342234573
ACH-000086,-0.166800703829
ACH-000087,-0.024684732469500002
ACH-000092,-0.26314441495499996
ACH-000095,-0.10982495420399999
ACH-000097,-0.0596768768979
ACH-000098,-0.049626837998
ACH-000099,-0.0889706257161
ACH-000108,-0.143711217299
ACH-000113,-0.0161843737809
ACH-000115,-0.104256423454
ACH-000116,-0.254746748937
ACH-000118,-0.0846542103661
ACH-000120,-0.024963421624599996
ACH-000123,-0.188890262082
ACH-000127,-0.0429806100677
ACH-000128,-0.208185372157
ACH-000132,-0.21370937699
ACH-000133,-0.037661786893599995
ACH-000137,-0.19224300685100001
ACH-000138,0.028027424875199998
ACH-000142,-0.44593062409100004
ACH-000143,-0.10542595896500001
ACH-000146,-0.295750733919
ACH-000148,-0.19931641663
ACH-000150,-0.214255804657
ACH-000152,-0.189677006855
ACH-000153,0.101499395186
ACH-000159,-0.103576357214
ACH-000160,-0.0771284099252
ACH-000163,0.0340298731873
ACH-000167,-0.132338001115
ACH-000168,-0.0331011060726
ACH-000169,-0.129780739752
ACH-000178,-0.0385501103315
ACH-000182,-0.0971379309451
ACH-000183,-0.110832558278
ACH-000188,-0.216934966301
ACH-000189,0.123987417294
ACH-000190,-0.156015149709
ACH-000198,-0.0239328367198
ACH-000204,-0.138321960358
ACH-000206,-0.12338719116800001
ACH-000207,-0.139072054417
ACH-000211,-0.0643373339085
ACH-000215,-0.104125956313
ACH-000221,-0.011269582857600002
ACH-000222,0.153352998144
ACH-000223,-0.0715922224811
ACH-000226,-0.119846708067
ACH-000227,-0.29001082552499996
ACH-000228,-0.231125314747
ACH-000231,-0.0398533115806
ACH-000232,0.00586958893769
ACH-000233,0.0143007127505
ACH-000234,-0.032796773072200004
ACH-000235,-0.178040495084
ACH-000237,-0.14400832984200002
ACH-000238,-0.22030365182300002
ACH-000243,-0.028121189295799997
ACH-000244,0.08083333090739998
ACH-000246,-0.10628680506100001
ACH-000248,0.09231696815189999
ACH-000250,-0.112254089982
ACH-000251,-0.108534472828
ACH-000253,0.006452931150430001
ACH-000255,-0.190616110303
ACH-000256,-0.144353365508
ACH-000257,0.112221522735
ACH-000258,-0.19075413377099998
ACH-000259,-0.0348515734113
ACH-000260,-0.0734266646343
ACH-000261,-0.08648034850919999
ACH-000262,-0.13511983976800002
ACH-000263,-0.268160157362
ACH-000264,-0.0872548454476
ACH-000265,-0.0377092001944
ACH-000266,-0.00623181433587
ACH-000272,-0.24512882428399999
ACH-000273,-0.11466378826
ACH-000274,-0.21898733281899999
ACH-000277,-0.21895307000599998
ACH-000278,-0.10285647222300001
ACH-000279,-0.0557279329194
ACH-000280,0.009792255167530002
ACH-000281,-0.0286881783312
ACH-000288,-0.160151342805
ACH-000291,-0.114468167309
ACH-000293,-0.101827596674
ACH-000294,-0.13140491482
ACH-000295,-0.190233236568
ACH-000296,-0.155724910267
ACH-000302,-0.153788995096
ACH-000304,-0.069259437929
ACH-000307,-0.20251662950899998
ACH-000308,0.0647004072383
ACH-000310,-0.357563802408
ACH-000311,-0.08379163947589999
ACH-000312,-0.19794826931499998
ACH-000315,-0.33030943409200003
ACH-000316,-0.00795848471062
ACH-000317,-0.214790018432
ACH-000318,-0.231200040476
ACH-000319,-0.00598251167629
ACH-000320,-0.16479404312100002
ACH-000322,0.153529708558
ACH-000323,-0.07032807066810001
ACH-000324,-0.323084102725
ACH-000329,-0.16816545728
ACH-000330,0.0586022397681
ACH-000331,-0.05498459480830001
ACH-000332,-0.217786913981
ACH-000334,0.024550552677199997
ACH-000335,0.103105254329
ACH-000336,-0.188103287743
ACH-000337,-0.08466747250980002
ACH-000339,-0.0604965129328
ACH-000341,-0.031824398511900005
ACH-000348,-0.18433528594700002
ACH-000350,-0.012416386262499999
ACH-000352,-0.176821976239
ACH-000356,-0.0762281392385
ACH-000361,-0.238903807188
ACH-000362,-0.14429463853
ACH-000363,-0.121053429978
ACH-000364,-0.500422503074
ACH-000365,-0.11770753807800001
ACH-000366,-0.182140386196
ACH-000368,-0.225965928215
ACH-000374,-0.24179448780299997
ACH-000375,0.0034323256963499998
ACH-000376,-0.0556665826503
ACH-000381,-0.270200349815
ACH-000383,-0.0851161408288
ACH-000387,-0.22760433792399998
ACH-000389,-0.24619155219900002
ACH-000390,-0.04534215329749999
ACH-000393,-0.127151767128
ACH-000395,-0.0577058815611
ACH-000397,-0.00921995086599
ACH-000401,-0.144898306062
ACH-000402,0.04622440612380001
ACH-000403,-0.0151276022453
ACH-000404,-0.16169602451600001
ACH-000406,-0.13132144997300002
ACH-000407,-0.312746119444
ACH-000408,-0.24840553625999998
ACH-000410,-0.135963751864
ACH-000411,-0.170492250487
ACH-000414,-0.0288476402513
ACH-000415,-0.20697995977699998
ACH-000416,-0.0834778779971
ACH-000420,-0.049194010081
ACH-000421,-0.147115483583
ACH-000424,-0.176284018773
ACH-000425,-0.10085839667199999
ACH-000426,-0.16339084637
ACH-000427,-0.28290651089200003
ACH-000433,0.132420780437
ACH-000436,-0.281057478876
ACH-000444,0.0350572597255
ACH-000445,-0.48991540228999997
ACH-000448,-0.23221763130800002
ACH-000450,-0.321174699736
ACH-000452,-0.009092425281950001
ACH-000454,-0.34779980133500005
ACH-000458,-0.14842928845699999
ACH-000459,-0.241202534505
ACH-000460,-0.05618239730690001
ACH-000461,-0.36857854763000003
ACH-000463,-0.0854437581253
ACH-000464,-0.0631417864621
ACH-000466,-0.176362559232
ACH-000467,-0.1471364132
ACH-000468,-0.047172292816399994
ACH-000469,-0.14315665047700002
ACH-000470,0.0830316691248
ACH-000471,0.000560582755461
ACH-000472,-0.09655847127310001
ACH-000473,-0.0114467974055
ACH-000475,-0.168428285724
ACH-000476,-0.295021526275
ACH-000477,-0.022177029488400002
ACH-000480,-0.0829048242665
ACH-000481,-0.211097469815
ACH-000483,-0.144067038332
ACH-000484,-0.10433823604699999
ACH-000485,-0.0929566788136
ACH-000486,-0.037189529492199995
ACH-000487,-0.219626840577
ACH-000488,-0.223761016329
ACH-000490,-0.22720320437
ACH-000491,-0.124541163311
ACH-000495,-0.016015524861
ACH-000496,-0.124870013749
ACH-000499,-0.0771892956902
ACH-000500,0.130023785188
ACH-000502,-0.120257380867
ACH-000503,-0.00638425113438
ACH-000505,-0.0514272638125
ACH-000507,-0.236806640695
ACH-000510,-0.167286672537
ACH-000511,-0.0479558635443
ACH-000512,-0.498446367047
ACH-000516,-0.0853165170573
ACH-000517,-0.027318081550599997
ACH-000518,0.00111292164471
ACH-000520,-0.17176376699499998
ACH-000521,-0.05777615322980001
ACH-000522,-0.300449708646
ACH-000524,-0.0791581666049
ACH-000527,-0.0136706407185
ACH-000528,-0.154593502242
ACH-000537,0.000581060861372
ACH-000541,-0.264925731346
ACH-000542,-0.04311635962719999
ACH-000544,-0.168496219742
ACH-000545,0.006312224890140001
ACH-000547,-0.00423284574321
ACH-000548,0.053426662893099996
ACH-000549,0.031173130070500002
ACH-000550,-0.33662927576800006
ACH-000552,-0.11876920812000001
ACH-000556,-0.134784687026
ACH-000557,-0.023256246077
ACH-000570,-0.036780112427500004
ACH-000571,-0.162760217771
ACH-000573,-0.101088678104
ACH-000576,-0.29316763142499996
ACH-000580,0.131395953441
ACH-000584,0.037479359187300006
ACH-000585,-0.193042662442
ACH-000588,-0.0828854949492
ACH-000589,-0.0866712989567
ACH-000591,-0.12798137647299998
ACH-000593,-0.28087710888399997
ACH-000600,-0.381817410568
ACH-000601,-0.146069225977
ACH-000604,-0.12240092609099999
ACH-000605,-0.19559759958099998
ACH-000606,-0.240296059443
ACH-000608,-0.0994229099475
ACH-000614,-0.09230795614210001
ACH-000616,-0.0885430791906
ACH-000618,-0.122868409276
ACH-000619,-0.12188799033299999
ACH-000620,-0.0754934483411
ACH-000621,-0.24510102578499998
ACH-000622,-0.020083641511299998
ACH-000623,-0.09219638078
ACH-000624,-0.11967200535700001
ACH-000627,-0.196407639459
ACH-000630,-0.42465287734800006
