,REN (5972)
ACH-000004,0.181772028095
ACH-000007,0.19081527391
ACH-000009,-0.20477063750799998
ACH-000011,-0.0986864978314
ACH-000012,-0.13758981741499998
ACH-000013,-0.0751489220732
ACH-000014,-0.198853725124
ACH-000015,-0.0650520801417
ACH-000017,0.0267439782969
ACH-000018,-0.026842789523200003
ACH-000019,-0.34360600168300004
ACH-000021,-0.105548792425
ACH-000022,0.06743945418359999
ACH-000025,-0.234832341197
ACH-000028,-0.161032726502
ACH-000030,0.008657444259160001
ACH-000035,0.0498842725021
ACH-000036,-0.08451566781230001
ACH-000037,-0.0742780354349
ACH-000039,0.0366141572299
ACH-000040,-0.015917196615600003
ACH-000041,-0.248070810022
ACH-000042,0.011222935930299998
ACH-000045,0.194853391164
ACH-000047,-0.294362492348
ACH-000052,0.292245458207
ACH-000053,-0.049514178371800006
ACH-000054,0.112103280708
ACH-000055,-0.0309269056077
ACH-000060,-0.12846915794299998
ACH-000067,0.0683906575217
ACH-000070,-0.011835636070700001
ACH-000075,0.0854851991362
ACH-000078,-0.09136868303120001
ACH-000082,-0.0986451081363
ACH-000085,-0.105602526899
ACH-000086,-0.22707420886
ACH-000087,0.0974480900396
ACH-000092,-0.220887847843
ACH-000095,-0.05666833303069999
ACH-000097,-0.0213219775197
ACH-000098,-0.0302560349548
ACH-000099,-0.16873400599
ACH-000108,-0.115962809715
ACH-000113,-0.16874892003
ACH-000115,0.0529888422076
ACH-000116,-0.0945373394302
ACH-000118,-0.115653812183
ACH-000120,-0.27229410614300004
ACH-000123,9.47398487911e-05
ACH-000127,0.058465485240900006
ACH-000128,0.102953398527
ACH-000132,-0.19313701267900002
ACH-000133,-0.13820930985500002
ACH-000137,0.13151886693499998
ACH-000138,-0.101597086821
ACH-000142,-0.3644229161
ACH-000143,-0.147790129346
ACH-000146,-0.0302297731948
ACH-000148,0.0170708380633
ACH-000150,-0.026250371058200002
ACH-000152,0.0154511496081
ACH-000153,0.0898724320293
ACH-000159,-0.0894025028648
ACH-000160,-0.165468430417
ACH-000163,-0.0649109268177
ACH-000167,-0.345125742861
ACH-000168,-0.08285597280899999
ACH-000169,0.046063769863900005
ACH-000178,-0.015914956522600002
ACH-000182,0.0824375918684
ACH-000183,-0.10311641497099999
ACH-000188,-0.19822231904399998
ACH-000189,-0.309042896576
ACH-000190,-0.0926835883644
ACH-000198,-0.09426946092350001
