,PIK3C3 (5289)
ACH-000004,-0.7337179391959999
ACH-000007,-0.7230543956290001
ACH-000009,-0.952658070829
ACH-000011,-0.905571765438
ACH-000012,-1.09176085019
ACH-000013,-0.70942083942
ACH-000014,-0.8850396157320001
ACH-000015,-1.12791343076
ACH-000017,-1.18047313873
ACH-000018,-1.28769788735
ACH-000019,-1.5748475622799998
ACH-000021,-1.20795421202
ACH-000022,-0.782424483554
ACH-000025,-1.19626467392
ACH-000028,-1.1448229456899999
ACH-000030,-1.18008212138
ACH-000035,-1.20148051188
ACH-000036,-0.771035123406
ACH-000037,-0.6649416345220001
ACH-000039,-1.12562963568
ACH-000040,-0.620355558217
ACH-000041,-0.805493399858
ACH-000042,-1.1924147225200001
ACH-000045,-0.839863183706
ACH-000047,-0.891815306473
ACH-000052,-0.830322606233
ACH-000053,-0.7586597360580001
ACH-000054,-1.17150340358
ACH-000055,-0.550036359446
ACH-000060,-0.671339546688
ACH-000067,-0.9829877355709999
ACH-000070,-0.6513597934759999
ACH-000075,-1.1310826920200001
ACH-000078,-1.24052551833
ACH-000082,-0.564825910734
ACH-000085,-1.0920236649200001
ACH-000086,-1.08141116277
ACH-000087,-0.940833167995
ACH-000092,-1.1539313482200002
ACH-000095,-0.9278349422319999
ACH-000097,-0.8506156041930001
ACH-000098,-0.755877368594
ACH-000099,-1.0412906032200002
ACH-000108,-0.886927207885
ACH-000113,-0.7591949841079999
ACH-000115,-0.638957975383
ACH-000116,-0.91005418173
ACH-000118,-0.979969426257
ACH-000120,-1.2316380353899998
ACH-000123,-0.996193053311
ACH-000127,-1.0232161906000001
ACH-000128,-0.955723702233
ACH-000132,-1.1058811698
ACH-000133,-0.957849808433
ACH-000137,-0.9889965742579999
ACH-000138,-1.29496829381
ACH-000142,-1.2351335026799999
ACH-000143,-0.815344504206
ACH-000146,-0.43194295782
ACH-000148,-0.896721239686
ACH-000150,-0.9234092877860001
ACH-000152,-0.9761955974680001
ACH-000153,-0.280666587518
ACH-000159,-0.782029570443
ACH-000160,-1.1792763222700002
ACH-000163,-0.740595512983
ACH-000167,-1.21020586567
ACH-000168,-0.9154954016410001
ACH-000169,-1.24757508109
