,FRZB (2487)
ACH-000004,-0.0791055463764
ACH-000007,-0.117917268858
ACH-000009,-0.113097616589
ACH-000011,-0.287403263059
ACH-000012,-0.10218433872999999
ACH-000013,-0.0607048343415
ACH-000014,-0.0810601278882
ACH-000015,-0.172380199217
ACH-000017,-0.00105391781133
ACH-000018,-0.233517921582
ACH-000019,0.07828403533139999
ACH-000021,0.09724083470139999
ACH-000022,-0.16653575523800002
ACH-000025,-0.061087624642900004
ACH-000028,-0.040700504558099995
ACH-000030,-0.183608512745
ACH-000035,-0.135623307733
ACH-000036,-0.264530460862
ACH-000037,-0.189681466805
ACH-000039,-0.155943456877
ACH-000040,-0.135270396764
ACH-000041,-0.327628001177
ACH-000042,0.0760567003834
ACH-000045,-0.07834630905760001
ACH-000047,-0.236528980485
ACH-000052,-0.0525452792917
ACH-000053,-0.116601425845
ACH-000054,-0.0130919564859
ACH-000055,-0.226302265151
ACH-000060,-0.10054587403
ACH-000067,0.0484355999517
ACH-000070,-0.21965273890099998
ACH-000075,-0.45361112084399996
ACH-000078,-0.0154995658351
ACH-000082,-0.11472902477199999
ACH-000085,-0.10875375779200001
ACH-000086,0.005440084838310001
ACH-000087,0.0411375263322
ACH-000092,-0.232632012059
ACH-000095,-0.11451010713099999
ACH-000097,-0.135928200983
ACH-000098,-0.171416924362
ACH-000099,0.047191510214400004
ACH-000108,-0.190909921275
ACH-000113,-0.0025991281983400003
ACH-000115,-0.015986509067599998
ACH-000116,-0.136928871525
ACH-000118,-0.157124987256
ACH-000120,-0.111706180828
ACH-000123,-0.14793916053700001
ACH-000127,-0.150681176886
ACH-000128,-0.17886121102699998
ACH-000132,-0.0184747901403
ACH-000133,-0.147219936307
ACH-000137,-0.043170322945499995
ACH-000138,-0.0181849252107
ACH-000142,-0.049739797484900004
ACH-000143,0.11110687557900001
ACH-000146,-0.0632771140441
ACH-000148,-0.159669947947
ACH-000150,-0.114955253859
ACH-000152,-0.153954375473
ACH-000153,-0.0386499146939
ACH-000159,-0.0924695558052
ACH-000160,-0.21960241193100002
ACH-000163,-0.038552829229300006
ACH-000167,-0.0955377638398
ACH-000168,-0.0548256080535
ACH-000169,-0.03776368785359999
ACH-000178,-0.034800701720699996
ACH-000182,-0.22829422345
ACH-000183,-0.206423940746
ACH-000188,0.0831932053931
ACH-000189,-0.0600718112567
ACH-000190,0.0739225048143
ACH-000198,-0.22560812280900003
ACH-000204,0.17486635713100002
ACH-000206,-0.3280223507
ACH-000207,-0.0826594368634
ACH-000211,-0.156678804017
ACH-000215,-0.157961070359
ACH-000221,-0.056109503522
ACH-000222,0.0156774316373
ACH-000223,-0.150571900798
ACH-000226,-0.07765814674669999
ACH-000227,0.0935983413671
ACH-000228,-0.0365456789238
ACH-000231,-0.18686183936999998
ACH-000232,-0.048001825073
ACH-000233,0.023617939070099996
ACH-000234,-0.103413386754
ACH-000235,0.0186059635687
ACH-000237,-0.18468649846299998
ACH-000238,-0.39195360840000004
ACH-000243,-0.044999165959
ACH-000244,0.217804567888
ACH-000246,-0.042390170036000006
ACH-000248,-0.163260075109
ACH-000250,-0.112019231328
ACH-000251,-0.404103210083
ACH-000253,-0.174387774382
ACH-000255,-0.278959547895
ACH-000256,-0.113057096911
ACH-000257,0.17632960133
ACH-000258,-0.221991602595
ACH-000259,-0.0874086917797
ACH-000260,-0.151557906272
ACH-000261,-0.116890960662
ACH-000262,-0.040502765913699994
ACH-000263,-0.356157175214
ACH-000264,-0.0808293441933
ACH-000265,-0.20275361269
ACH-000266,0.0176199300528
ACH-000272,-0.06064077607469999
ACH-000273,-0.108269947028
ACH-000274,-0.111293737072
ACH-000277,-0.233031172938
ACH-000278,-0.10214748977600001
ACH-000279,-0.223466089379
ACH-000280,0.062005457395099994
ACH-000281,-0.038358206989099995
ACH-000288,-0.0930123363884
ACH-000291,0.0204433616377
ACH-000293,0.060553629504000006
ACH-000294,-0.08157903142089999
ACH-000295,0.0246343023856
ACH-000296,-0.227361727341
ACH-000302,-0.16610424446900002
ACH-000304,-0.10406869581700001
ACH-000307,-0.20101439714400002
ACH-000308,-0.0682543619959
