,EDC4 (23644)
ACH-000004,-0.592197545462
ACH-000007,-0.724493350349
ACH-000009,-0.452255480795
ACH-000011,-0.40426165013000004
ACH-000012,-0.807656173373
ACH-000013,-0.459258443854
ACH-000014,-0.322883508065
ACH-000015,-0.404863905589
ACH-000017,-0.48657854679300006
ACH-000018,-0.710009114878
ACH-000019,-0.391458538518
ACH-000021,-0.6861108432809999
ACH-000022,-0.304353904919
ACH-000025,-0.47002807840800004
ACH-000028,-0.41754807510799996
ACH-000030,-0.319309243875
ACH-000035,-0.601275235772
ACH-000036,-0.39686441583400006
ACH-000037,-0.6372094559100001
ACH-000039,-0.7650918210619999
ACH-000040,-0.431510019565
ACH-000041,-0.44945817071000005
ACH-000042,-0.633736775559
ACH-000045,-0.276392112603
ACH-000047,-0.471643252495
ACH-000052,-1.09009295193
ACH-000053,-0.55622312858
ACH-000054,-0.415562985669
ACH-000055,-0.701375493647
ACH-000060,-0.547720934657
ACH-000067,-0.602801821127
ACH-000070,-0.46679838896700004
ACH-000075,-0.523050091288
ACH-000078,-0.678262337643
ACH-000082,-0.640586460712
ACH-000085,-0.850136299827
ACH-000086,-0.506481548966
ACH-000087,-0.457146724693
ACH-000092,-0.59335821227
ACH-000095,-0.431709543363
ACH-000097,-0.294906609148
ACH-000098,-0.546119221515
ACH-000099,-0.6357741805430001
ACH-000108,-0.608791434556
ACH-000113,-0.312656823149
ACH-000115,-0.16068850490800002
ACH-000116,-0.6210325730290001
ACH-000118,-0.5881411810399999
ACH-000120,-0.722407764943
ACH-000123,-0.46538554861500003
ACH-000127,-0.614400270323
ACH-000128,-0.981265805008
ACH-000132,-0.6138400892629999
ACH-000133,-0.7899010979960001
ACH-000137,-0.502884961277
ACH-000138,-0.451245472058
ACH-000142,-0.5538180879
ACH-000143,-0.71781010574
ACH-000146,-0.623691103465
ACH-000148,-0.5291659157399999
ACH-000150,-0.649989601603
ACH-000152,-0.44169146968500006
ACH-000153,-0.79793056245
ACH-000159,-0.40163059690700004
ACH-000160,-0.38969616626500003
ACH-000163,-0.211157278934
ACH-000167,-0.570636074066
ACH-000168,-0.487740784361
ACH-000169,-0.409796870223
ACH-000178,-0.6592893302399999
ACH-000182,-0.33878742983800003
ACH-000183,-0.529062160121
ACH-000188,-0.416707084546
ACH-000189,-0.471151823102
ACH-000190,-0.290242022896
ACH-000198,-0.705635235742
ACH-000204,-0.531190452504
ACH-000206,-0.45388038636699995
ACH-000207,-0.547065304986
ACH-000211,-0.816126580599
ACH-000215,-0.399651274435
ACH-000221,-0.564534999598
ACH-000222,-0.596228846029
ACH-000223,-0.395759613517
ACH-000226,-0.495255007372
ACH-000227,-0.39183097057800004
ACH-000228,-0.48150376372299997
ACH-000231,-0.6004563677220001
ACH-000232,-0.501307154578
ACH-000233,-0.501162930496
ACH-000234,-0.386606277827
ACH-000235,-0.7027768188529999
ACH-000237,-0.797157031893
ACH-000238,-0.476225386751
ACH-000243,-0.6836157542479999
ACH-000244,-0.6857973924449999
ACH-000246,-0.38081606847099997
ACH-000248,-0.679002913965
ACH-000250,-0.5950856079819999
ACH-000251,-0.48724879111
ACH-000253,-0.424429739086
ACH-000255,-0.433336751695
ACH-000256,-0.545303914383
ACH-000257,-0.5580084863220001
ACH-000258,-0.723486996673
ACH-000259,-0.181509118932
ACH-000260,-0.609004866871
ACH-000261,-0.523696246189
ACH-000262,-0.720863227217
ACH-000263,-0.38634025376599995
ACH-000264,-0.643480420189
ACH-000265,-0.30675657248300003
ACH-000266,-0.596775180393
ACH-000272,-0.448218069946
ACH-000273,-0.36841580171899996
ACH-000274,-0.6245764705969999
ACH-000277,-0.474489788941
ACH-000278,-0.489726597253
ACH-000279,-0.518032762563
ACH-000280,-0.8128533761390001
ACH-000281,-0.990399221003
ACH-000288,-0.620703403634
ACH-000291,-0.326845175444
ACH-000293,-0.559779161799
ACH-000294,-0.544407728422
ACH-000295,-0.576052098895
ACH-000296,-0.391465073798
ACH-000302,-0.51360969142
ACH-000304,-0.184046515572
ACH-000307,-0.5649349301550001
ACH-000308,-0.396205787641
ACH-000310,-0.5934433238800001
ACH-000311,-0.655817212726
ACH-000312,-0.6747653559029999
ACH-000315,-0.335362563036
ACH-000316,-0.5517522108030001
ACH-000317,-0.555489013134
ACH-000318,-0.405338730692
ACH-000319,-0.5620971174939999
ACH-000320,-0.532802288454
ACH-000322,-0.558510980893
ACH-000323,-0.325021223517
ACH-000324,-0.58170499058
ACH-000329,-0.565619983234
ACH-000330,-0.489537186807
ACH-000331,-0.525618065003
ACH-000332,-0.496045009708
ACH-000334,-0.40660545176
ACH-000335,-0.562910816934
ACH-000336,-0.264333335457
ACH-000337,-0.566993931219
ACH-000339,-0.322933325968
ACH-000341,-0.632267787556
ACH-000348,-0.487669916033
ACH-000350,-0.320462357301
ACH-000352,-0.503559836317
ACH-000356,-0.593927949566
ACH-000361,-0.51394503965
ACH-000362,-0.427290748685
ACH-000363,0.121995746826
ACH-000364,-0.73025631764
ACH-000365,-0.2079444334
ACH-000366,-0.509332168166
ACH-000368,-0.545209401507
ACH-000374,-0.5829146563350001
