,MTURN (222166)
ACH-000004,-0.078060346292
ACH-000007,-0.33231926246300003
ACH-000009,-0.119299800386
ACH-000011,-0.152327887874
ACH-000012,-0.213832674379
ACH-000013,-0.149557236064
ACH-000014,-0.226445126825
ACH-000015,-0.24538181817200003
ACH-000017,-0.277026285294
ACH-000018,-0.204401739267
ACH-000019,-0.22872963773000002
ACH-000021,-0.22545921473299999
ACH-000022,-0.216800810599
ACH-000025,-0.205375041637
ACH-000028,-0.139216298046
ACH-000030,-0.235012223671
ACH-000035,-0.23183066036400002
ACH-000036,-0.208649389
ACH-000037,-0.294816501321
ACH-000039,-0.179028662551
ACH-000040,-0.194429715119
ACH-000041,-0.24554956450800003
ACH-000042,-0.321961812101
ACH-000045,-0.225974074058
ACH-000047,-0.345834686569
ACH-000052,-0.146507273424
ACH-000053,-0.104014844023
ACH-000054,-0.36805723729400003
ACH-000055,-0.266962493994
ACH-000060,-0.183653572305
ACH-000067,-0.0825633794911
ACH-000070,-0.024441899714200004
ACH-000075,-0.12143577174699999
ACH-000078,-0.298409533504
ACH-000082,-0.397999029819
ACH-000085,-0.566472166088
ACH-000086,-0.135315212622
ACH-000087,-0.199603847236
ACH-000092,-0.0646288355659
ACH-000095,-0.157939323056
ACH-000097,-0.224984647045
ACH-000098,-0.264383796645
ACH-000099,-0.248815962833
ACH-000108,-0.324291847606
ACH-000113,-0.191339883317
ACH-000115,-0.123638172892
ACH-000116,-0.240905138221
ACH-000118,-0.127934493335
ACH-000120,-0.134345892095
ACH-000123,-0.0889968822677
ACH-000127,-0.19379211391600001
ACH-000128,-0.37822405995700004
ACH-000132,-0.062213558306099995
ACH-000133,-0.19295031343400001
ACH-000137,-0.357238190378
ACH-000138,-0.0742529517647
ACH-000142,-0.184545584246
ACH-000143,-0.135341917407
ACH-000146,-0.202759663024
ACH-000148,-0.183611502854
ACH-000150,-0.18071110753
ACH-000152,-0.310380408614
ACH-000153,-0.08570425850169999
ACH-000159,-0.295811052704
ACH-000160,-0.19507707896899998
ACH-000163,0.0174562502497
ACH-000167,-0.204322172199
ACH-000168,-0.360924163952
ACH-000169,-0.243615031836
ACH-000178,-0.256819309684
ACH-000182,-0.20148558988899998
ACH-000183,-0.15089644592499998
ACH-000188,-0.24119638208799998
ACH-000189,-0.332664856281
ACH-000190,-0.349471281918
ACH-000198,-0.1573767375
ACH-000204,-0.190114133825
ACH-000206,-0.324696887118
ACH-000207,-0.496373373078
ACH-000211,-0.326886981095
ACH-000215,-0.17863411521400002
ACH-000221,-0.164929135625
ACH-000222,-0.153110267329
ACH-000223,-0.12909937940400001
ACH-000226,-0.315256693242
ACH-000227,-0.08684300944399999
ACH-000228,-0.00822088314831
ACH-000231,-0.330835820484
ACH-000232,-0.188488219245
ACH-000233,-0.1100079089
ACH-000234,-0.164577459367
ACH-000235,-0.254812048226
ACH-000237,-0.262102348995
ACH-000238,-0.191511756275
ACH-000243,-0.28009093454399997
ACH-000244,-0.48882362947999997
ACH-000246,-0.293542736976
ACH-000248,-0.191845396674
ACH-000250,-0.303970547086
ACH-000251,0.27727126392900003
ACH-000253,-0.294770773293
ACH-000255,-0.157171226591
ACH-000256,-0.15360798813100002
ACH-000257,-0.236415368138
ACH-000258,0.33349954025
ACH-000259,-0.248785695069
ACH-000260,-0.13571086573799998
ACH-000261,-0.153159470313
ACH-000262,-0.23823590379299997
ACH-000263,-0.0142730489791
ACH-000264,-0.40402586670100005
ACH-000265,-0.109786797246
ACH-000266,-0.27931483386
ACH-000272,-0.165719777914
ACH-000273,-0.23263630028299997
ACH-000274,-0.04205495604119999
ACH-000277,-0.287540823585
ACH-000278,-0.273414596422
ACH-000279,-0.104115714715
ACH-000280,-0.301173875808
ACH-000281,-0.303452871292
ACH-000288,-0.34683533990500004
ACH-000291,-0.10555868877699999
ACH-000293,-0.18291767989100002
ACH-000294,-0.33016877840500003
ACH-000295,-0.0347167262131
ACH-000296,-0.25131570557300004
ACH-000302,-0.15228362132099998
ACH-000304,-0.350230983456
ACH-000307,-0.32006203789
ACH-000308,-0.306764175694
ACH-000310,-0.267318257113
ACH-000311,-0.292226238017
ACH-000312,-0.195841066802
ACH-000315,-0.040777198515199994
ACH-000316,0.047452498530699994
ACH-000317,0.0157518921562
ACH-000318,-0.273277998488
ACH-000319,-0.137635306659
ACH-000320,-0.154824445712
ACH-000322,-0.296227097936
ACH-000323,-0.09272544640750001
ACH-000324,-0.116268342455
ACH-000329,-0.334319000077
ACH-000330,-0.210073604923
ACH-000331,-0.253986367055
ACH-000332,-0.23816811354200002
ACH-000334,-0.08956649974139999
ACH-000335,0.160829244499
ACH-000336,-0.22341448590799998
ACH-000337,-0.404369827476
ACH-000339,-0.37661305752700003
ACH-000341,-0.36024494150499997
ACH-000348,-0.167757242192
ACH-000350,-0.222145335086
ACH-000352,-0.18789454711
ACH-000356,-0.45254881599
ACH-000361,-0.293014947456
ACH-000362,-0.08705120999389998
ACH-000363,-0.22598508772700002
ACH-000364,-0.018536043212400002
ACH-000365,-0.348162050406
ACH-000366,-0.214237871539
ACH-000368,-0.179920299945
ACH-000374,-0.119342307949
ACH-000375,-0.027727620652
ACH-000376,-0.143021153383
ACH-000381,0.008097481245039999
ACH-000383,-0.21494443692899998
ACH-000387,-0.13178599728
ACH-000389,-0.376564579388
ACH-000390,-0.264906559953
ACH-000393,-0.305860426881
ACH-000395,-0.322268792872
ACH-000397,-0.24738647224399998
ACH-000401,-0.036765997907
ACH-000402,-0.277141679737
ACH-000403,-0.310779620431
ACH-000404,-0.274338811866
ACH-000406,-0.195058230859
ACH-000407,-0.023345450191900003
ACH-000408,-0.284049494959
ACH-000410,-0.04830536738
ACH-000411,-0.272867563737
ACH-000414,-0.200279558926
ACH-000415,-0.316260033708
ACH-000416,-0.24969351568000003
ACH-000420,-0.315894212656
ACH-000421,-0.14627732354599998
ACH-000424,-0.236397939479
ACH-000425,-0.282913038985
ACH-000426,-0.233077795057
ACH-000427,-0.334724312786
ACH-000433,-0.28498595939800003
ACH-000436,-0.117252576869
ACH-000444,-0.08412073766270001
ACH-000445,-0.105656882471
ACH-000448,-0.311946339103
ACH-000450,0.06507373027980001
ACH-000452,-0.38311842440399996
ACH-000454,-0.23419288037099997
ACH-000458,-0.167915155042
ACH-000459,-0.0772368419456
ACH-000460,-0.255278169856
ACH-000461,-0.0006115624357280001
ACH-000463,-0.275062678662
ACH-000464,-0.18495563240200003
ACH-000466,-0.19212888359000002
ACH-000467,-0.35796890380900004
ACH-000468,-0.0933865122459
ACH-000469,-0.207911840237
ACH-000470,-0.231400657722
ACH-000471,-0.179505906029
ACH-000472,-0.24604358967099998
ACH-000473,-0.26436414250999996
ACH-000475,-0.203898361069
ACH-000476,-0.351867715263
ACH-000477,-0.12321018001299999
ACH-000480,-0.116918740202
ACH-000481,-0.121318901664
ACH-000483,-0.0344035453473
ACH-000484,-0.283209460034
ACH-000485,-0.33898977329400004
ACH-000486,-0.20118427185600002
ACH-000487,-0.135640371303
ACH-000488,-0.246377020658
ACH-000490,-0.29160174153
ACH-000491,-0.188196048028
ACH-000495,-0.07808618411610001
ACH-000496,-0.24171943628400003
ACH-000499,0.101247227949
ACH-000500,-0.454791982328
ACH-000502,-0.217237812601
ACH-000503,-0.147949456245
ACH-000505,-0.159560441086
ACH-000507,-0.277441887432
ACH-000510,-0.078935145628
ACH-000511,-0.304918628796
ACH-000512,-0.0407865469262
ACH-000516,-0.31273015161400003
ACH-000517,-0.256423987079
ACH-000518,-0.268038608743
ACH-000520,-0.109301340726
ACH-000521,-0.305115951676
ACH-000522,-0.30795242875100004
ACH-000524,-0.291363152345
ACH-000527,-0.263953330773
ACH-000528,-0.144280476832
ACH-000537,-0.257415921078
ACH-000541,-0.13822217169099998
ACH-000542,-0.18982843276500003
ACH-000544,-0.215407604587
ACH-000545,-0.31213639625100004
ACH-000547,-0.338343156808
ACH-000548,-0.243072686979
ACH-000549,-0.143751544377
ACH-000550,-0.255451931552
ACH-000552,-0.305694814119
ACH-000556,-0.27502297195500003
ACH-000557,-0.21262225375500002
ACH-000570,-0.148712426245
ACH-000571,-0.281489275163
ACH-000573,-0.09972402429400001
ACH-000576,-0.272698486435
ACH-000580,-0.292845334914
ACH-000584,-0.120420207653
ACH-000585,-0.300883188966
ACH-000588,-0.317938046728
ACH-000589,-0.220267565572
ACH-000591,-0.254193929563
ACH-000593,-0.206228515661
ACH-000600,-0.267968918
ACH-000601,-0.231165016402
ACH-000604,-0.36669100621399997
ACH-000605,-0.262238160814
ACH-000606,-0.06713923440309999
ACH-000608,-0.318526447301
ACH-000614,-0.251978270543
ACH-000616,-0.41442400360299997
ACH-000618,-0.12132181090500001
ACH-000619,-0.290791897711
ACH-000620,-0.230335841824
ACH-000621,-0.20099940893100002
ACH-000622,-0.316361495315
ACH-000623,-0.282105781934
ACH-000624,-0.125542744482
ACH-000627,-0.205223216723
ACH-000630,-0.169402575981
ACH-000632,-0.25332065144099997
ACH-000633,-0.172554518418
ACH-000637,-0.074998684927
ACH-000638,-0.0722616082248
ACH-000646,-0.040460186949
ACH-000647,-0.24872710493
ACH-000648,-0.22981086596099998
ACH-000649,-0.15716211497000002
ACH-000651,-0.18760428805100002
ACH-000652,-0.27481304925
ACH-000653,-0.14668642830700002
ACH-000657,-0.216535635095
ACH-000658,-0.33218403974
ACH-000661,-0.195913041371
ACH-000662,-0.0454063387439
ACH-000663,-0.281038465803
ACH-000665,-0.16541942671499998
ACH-000671,-0.224007632857
ACH-000673,-0.275522165097
ACH-000676,-0.255382721201
ACH-000677,-0.37877256631800005
ACH-000681,-0.265581022825
ACH-000682,-0.186603008619
ACH-000683,-0.14963992375600002
ACH-000684,-0.0435274634531
ACH-000688,-0.10648829603900001
ACH-000693,-0.13539002665799998
ACH-000694,-0.28810689829999997
ACH-000695,-0.21342053889
ACH-000696,-0.20915555943
ACH-000697,-0.19838285163
ACH-000699,-0.24536643404800002
ACH-000701,-0.37158769945299996
ACH-000706,-0.12531003909900001
ACH-000711,-0.330116385424
ACH-000713,-0.728221771824
ACH-000714,-0.24280739016199998
ACH-000718,-0.153811537881
ACH-000720,-0.198473367432
ACH-000721,-0.14595286912900002
ACH-000724,0.0318382452859
ACH-000725,-0.0343529492412
ACH-000732,-0.217581111673
ACH-000734,-0.179287380405
ACH-000735,-0.176730468621
ACH-000736,-0.113980442916
ACH-000738,-0.28731590536699997
ACH-000746,-0.264360541188
ACH-000747,-0.23752306108000001
ACH-000748,-0.36460148780900004
ACH-000753,-0.117421536192
ACH-000756,-0.08967398384849999
ACH-000757,-0.20275179032200003
ACH-000758,-0.125434651388
ACH-000760,-0.2233487393
ACH-000763,-0.406130218227
ACH-000764,-0.29815763795600003
ACH-000765,-0.241291733254
ACH-000766,-0.311112531778
ACH-000767,-0.237103105702
ACH-000768,-0.146618889065
ACH-000769,0.06284109349780001
ACH-000770,-0.128900541211
ACH-000771,-0.21718633078699998
ACH-000773,-0.148499367202
ACH-000776,-0.056579275483099996
ACH-000777,-0.202511325829
ACH-000778,-0.196257131743
ACH-000781,-0.32153287519
ACH-000782,0.045692257964000005
ACH-000783,-0.277642073689
ACH-000784,-0.125386580434
ACH-000785,-0.336215501744
ACH-000787,-0.109950638772
ACH-000788,-0.293369609257
ACH-000791,-0.18129474175299998
ACH-000792,-0.20091949918
ACH-000794,-0.144380570375
ACH-000796,-0.213268266353
ACH-000799,-0.615315973609
ACH-000800,-0.302537877147
ACH-000802,-0.23321393755
ACH-000804,-0.33394102497699996
ACH-000805,-0.13546444887700002
ACH-000809,-0.27164201806899996
ACH-000810,-0.10890918109200001
ACH-000811,-0.302923429237
ACH-000817,-0.14801650322499998
ACH-000819,-0.20112649976500002
ACH-000820,-0.0741811162115
ACH-000821,-0.199541793904
ACH-000822,-0.24494871589899997
ACH-000823,-0.414052680146
ACH-000824,-0.206619432625
ACH-000827,-0.330837516468
ACH-000829,-0.225398932763
ACH-000831,-0.132808951887
ACH-000832,-0.191403576571
ACH-000833,0.0318545907477
ACH-000834,-0.0992731945844
ACH-000835,-0.198537595685
ACH-000836,-0.21849129106600002
ACH-000837,-0.152422118721
ACH-000838,-0.2036679125
ACH-000839,0.016908321381800002
ACH-000840,0.0830686155251
ACH-000841,-0.137983379325
ACH-000843,-0.276231053367
ACH-000846,-0.126326966737
ACH-000847,-0.212140913924
ACH-000848,-0.146321658994
ACH-000849,-0.41693328435800003
ACH-000851,0.009950764286450002
ACH-000855,-0.339838889419
