,SARS2 (54938)
ACH-000004,-0.644978256453
ACH-000007,-0.8186045999830001
ACH-000009,-0.7621740672
ACH-000011,-0.487239293635
ACH-000012,-0.896765263277
ACH-000013,-1.0278085962299999
ACH-000014,-0.6888309419149999
ACH-000015,-1.0568315516700002
ACH-000017,-0.49500157311399995
ACH-000018,-0.9835065763709999
ACH-000019,-1.2022040272299999
ACH-000021,-0.691207383592
ACH-000022,-0.652088839117
ACH-000025,-0.989394557266
ACH-000028,-0.895398194216
ACH-000030,-0.841543212414
ACH-000035,-0.9491348813089999
ACH-000036,-0.39272488607699996
ACH-000037,-0.536676609047
ACH-000039,-0.624977624179
ACH-000040,-0.5752555761399999
ACH-000041,-0.931043834789
ACH-000042,-0.553056194151
ACH-000045,-0.612929171007
ACH-000047,-0.804336587862
ACH-000052,-0.846825922656
ACH-000053,-0.8098236833920001
ACH-000054,-0.6645200816219999
ACH-000055,-0.884712424388
ACH-000060,-0.494825557447
ACH-000067,-0.425527753503
ACH-000070,-0.980027538105
ACH-000075,-0.530223350305
ACH-000078,-0.50628043737
ACH-000082,-0.445562629023
ACH-000085,-0.592158490636
ACH-000086,-1.31904920963
ACH-000087,-1.10470706045
ACH-000092,-0.625388747313
ACH-000095,-0.5387369749090001
ACH-000097,-0.473069940029
ACH-000098,-0.897392826425
ACH-000099,-0.874652416929
ACH-000108,-0.349956611611
ACH-000113,-0.976132038813
ACH-000115,-0.8641678765080001
ACH-000116,-0.854192511687
ACH-000118,-0.9811263750229999
ACH-000120,-0.5858019784440001
ACH-000123,-0.8950350604389999
ACH-000127,-0.931545753715
ACH-000128,-0.972130684321
ACH-000132,-0.481597221541
ACH-000133,-0.65837330839
ACH-000137,-0.59944781555
ACH-000138,-0.62936876673
ACH-000142,-0.649999870621
ACH-000143,-0.902751279269
ACH-000146,-0.529727947073
ACH-000148,-0.734587309677
ACH-000150,-1.20558699956
ACH-000152,-0.669365591386
ACH-000153,-0.97459102722
ACH-000159,-0.597103122067
ACH-000160,-0.9211565317489999
ACH-000163,-0.64849873385
ACH-000167,-0.759784005929
ACH-000168,-0.296289372711
ACH-000169,-0.659008447809
ACH-000178,-0.874107266787
ACH-000182,-1.22097073404
ACH-000183,-1.05979830077
ACH-000188,-1.1798130209
ACH-000189,-0.730538439966
ACH-000190,-0.833383600869
ACH-000198,-0.659025226529
ACH-000204,-0.97222563956
ACH-000206,-0.9968252849860001
ACH-000207,-1.00997828559
ACH-000211,-0.516753126549
ACH-000215,-0.876307458716
ACH-000221,-0.955551233266
ACH-000222,-0.586065600862
ACH-000223,-0.693363292214
ACH-000226,-0.6927296331649999
ACH-000227,-0.938605357659
ACH-000228,-0.832112429029
ACH-000231,-0.766544643547
ACH-000232,-0.9516069036370001
ACH-000233,-0.860975581661
ACH-000234,-0.5303279492
ACH-000235,-0.787166965967
ACH-000237,-0.432051611143
ACH-000238,-0.928801720403
ACH-000243,-0.627911180861
ACH-000244,-0.637330132737
ACH-000246,-0.863313676339
ACH-000248,-0.722765919337
ACH-000250,-0.545642985198
ACH-000251,-1.12217309719
ACH-000253,-0.5376892172959999
ACH-000255,-0.681775839036
ACH-000256,-0.560355058114
ACH-000257,-0.8821713057770001
ACH-000258,-0.74590505284
ACH-000259,-0.877029274486
ACH-000260,-0.6229634805600001
ACH-000261,-0.713560107299
ACH-000262,-0.766396710036
ACH-000263,-0.860654233304
ACH-000264,-0.477618187135
ACH-000265,-1.0951037315799999
ACH-000266,-0.49653563874300005
ACH-000272,-0.49453577005800003
ACH-000273,-0.7881382447959999
ACH-000274,-0.579613351219
