,TOM1 (10043)
ACH-000004,0.150833513771
ACH-000007,0.0035771426864099998
ACH-000009,-0.18033836567699998
ACH-000011,0.055199810411400006
ACH-000012,-0.226352391453
ACH-000013,-0.23224401607500003
ACH-000014,-0.128203248301
ACH-000015,-0.131605227863
ACH-000017,0.0540337441033
ACH-000018,0.0505689656193
ACH-000019,-0.44530686003799996
ACH-000021,-0.156612736851
ACH-000022,0.0821916716545
ACH-000025,-0.154797131129
ACH-000028,-0.256112937665
ACH-000030,-0.24489453952799997
ACH-000035,-0.141240335722
ACH-000036,-0.201982495384
ACH-000037,-0.170035725297
ACH-000039,-0.461987207258
ACH-000040,-0.05027736441819999
ACH-000041,-0.457140280133
ACH-000042,-0.33823348064900005
ACH-000045,-0.11587024846100001
ACH-000047,-0.09486396236469999
ACH-000052,-0.397853785343
ACH-000053,-0.32821147618200003
ACH-000054,-0.18572153938000002
ACH-000055,-0.118465508606
ACH-000060,-0.0958604480357
ACH-000067,-0.31794074057599997
ACH-000070,-0.092198412859
ACH-000075,-0.36515873057099996
ACH-000078,-0.083201489143
ACH-000082,-0.19068957429400002
ACH-000085,-0.07998162693210001
ACH-000086,0.052926994834099995
ACH-000087,-0.21357427013099997
ACH-000092,-0.309343793825
ACH-000095,-0.13615898017300002
ACH-000097,-0.0316842135485
ACH-000098,-0.17616534251899998
ACH-000099,-0.242692197887
ACH-000108,-0.14410551749000003
ACH-000113,-0.232078244747
ACH-000115,-0.116158217136
ACH-000116,-0.0666046759289
ACH-000118,-0.109874646195
ACH-000120,-0.0295250170587
ACH-000123,-0.215896123749
ACH-000127,-0.107372326467
ACH-000128,-0.438088587513
ACH-000132,-0.0669723150506
ACH-000133,-0.11994588974300001
ACH-000137,-0.45180791755500005
ACH-000138,-0.00453595884666
ACH-000142,-0.28523718381499996
ACH-000143,-0.251064607766
ACH-000146,-0.241143019239
ACH-000148,-0.07097844654410002
ACH-000150,-0.323758765449
ACH-000152,-0.0478775700851
ACH-000153,0.149049898927
ACH-000159,-0.0136074466848
ACH-000160,-0.160295368082
ACH-000163,-0.09849174065239999
ACH-000167,-0.45157200196
ACH-000168,-0.012332222173799997
ACH-000169,-0.13774597122
ACH-000178,-0.0748628820132
ACH-000182,0.023111886780000004
