,KDM1A (23028)
ACH-000004,-0.41367764190399997
ACH-000007,-0.143291425846
ACH-000009,-0.194576893458
ACH-000011,-0.543130943464
ACH-000012,-0.20198953147
ACH-000013,0.0338253907453
ACH-000014,-0.227737703439
ACH-000015,-0.245133241794
ACH-000017,-0.5115824894740001
ACH-000018,-0.173358354829
ACH-000019,-0.574406998555
ACH-000021,-0.185063070068
ACH-000022,-0.220795432572
ACH-000025,-0.364043129779
ACH-000028,-0.28903607576400003
ACH-000030,-0.211394693901
ACH-000035,-0.280936815491
ACH-000036,-0.299334025385
ACH-000037,-0.271551671973
ACH-000039,-0.192490419986
ACH-000040,-0.10032786857
ACH-000041,-0.388711561883
ACH-000042,-0.265184900118
ACH-000045,-0.421164974225
ACH-000047,-0.322532409005
ACH-000052,-0.126646724352
ACH-000053,-0.21685622840500002
ACH-000054,0.00345884621109
ACH-000055,-0.6291114496970001
ACH-000060,-0.522537928977
ACH-000067,-0.238372776622
ACH-000070,-0.186027926251
ACH-000075,-0.167716008068
ACH-000078,-0.0491551521777
ACH-000082,-0.105277589058
ACH-000085,-0.202629766431
ACH-000086,-0.41901910810099996
ACH-000087,-0.07783300382160001
ACH-000092,-0.277830895103
ACH-000095,-0.441825359525
ACH-000097,-0.405784230959
ACH-000098,-0.34968931253700003
ACH-000099,-0.355604568416
ACH-000108,-0.318418577
ACH-000113,-0.369904894669
ACH-000115,-0.611399966865
ACH-000116,-0.323548118185
ACH-000118,-0.267563830208
ACH-000120,0.209338519221
ACH-000123,-0.33030221311700003
ACH-000127,-0.535244118592
ACH-000128,-0.44293411133500005
ACH-000132,-0.190405258608
ACH-000133,-0.498923977237
ACH-000137,-0.38573609728
ACH-000138,-0.319684462277
ACH-000142,-0.342567406536
ACH-000143,-0.378039396048
ACH-000146,-0.41269690199000003
ACH-000148,-0.291851368241
ACH-000150,-0.519648433996
ACH-000152,-0.328332774071
ACH-000153,-0.7377533590979999
ACH-000159,-0.164744238578
ACH-000160,0.015196512015700001
ACH-000163,-0.17219454795800002
ACH-000167,-0.044240548241300005
ACH-000168,-0.119733598103
ACH-000169,-0.25612538261
ACH-000178,-0.26531462334
ACH-000182,-0.0322390923339
ACH-000183,-0.490646944433
ACH-000188,-0.316804479174
ACH-000189,0.368893834265
ACH-000190,-0.07362542910089999
ACH-000198,-0.348002655515
ACH-000204,0.126697333483
ACH-000206,-0.280179769074
ACH-000207,-0.0963603608655
ACH-000211,-0.148036134077
ACH-000215,-0.18828417049600002
ACH-000221,-0.13777943327
ACH-000222,-0.12722985009
ACH-000223,-0.31707739176800004
ACH-000226,-0.40678403565
ACH-000227,-0.71078432566
ACH-000228,-0.216134576422
ACH-000231,-0.163588520173
ACH-000232,-0.16150094977399998
ACH-000233,-0.386809643327
ACH-000234,-0.278271602158
ACH-000235,-0.345080701409
ACH-000237,-0.285544252695
ACH-000238,-0.34414170897299995
ACH-000243,-0.341469003759
ACH-000244,-0.33852433878
ACH-000246,-0.043499721078699996
ACH-000248,-0.45637604056500003
ACH-000250,-0.206962409744
ACH-000251,-0.219657554205
ACH-000253,-0.36905945016400005
ACH-000255,-0.227944811842
ACH-000256,-0.17717482455699998
ACH-000257,-0.284619620651
ACH-000258,-0.0831585785537
ACH-000259,-0.455625178768
ACH-000260,-0.36623472540299995
ACH-000261,-0.209360966285
ACH-000262,-0.22624737044799997
ACH-000263,-0.432815383151
ACH-000264,-0.0146235978851
ACH-000265,-0.307040904911
ACH-000266,-0.200871052436
ACH-000272,-0.26158674007800004
ACH-000273,-0.32953944894000003
ACH-000274,-0.344460151802
ACH-000277,-0.339000022649
ACH-000278,-0.230308824734
ACH-000279,-0.411042967122
ACH-000280,-0.189781894651
ACH-000281,-0.160725413066
ACH-000288,-0.259382220472
ACH-000291,-0.373335040576
ACH-000293,-0.252549070553
ACH-000294,0.09866843700269999
ACH-000295,-0.460605029675
ACH-000296,-0.21613862848499998
ACH-000302,-0.289576779304
ACH-000304,-0.459421740958
ACH-000307,-0.38579560018
ACH-000308,-0.17338533251899998
ACH-000310,-0.203910243213
ACH-000311,-0.235833632767
ACH-000312,-0.187970483493
ACH-000315,-0.0139434845739
ACH-000316,-0.251154265264
ACH-000317,-0.303723937705
ACH-000318,-0.284976920064
ACH-000319,-0.193626002138
ACH-000320,-0.224605861653
ACH-000322,-0.13460947024599998
ACH-000323,-0.257983689857
ACH-000324,-0.22467019632
ACH-000329,-0.007401657825149999
ACH-000330,-0.45554193932099996
ACH-000331,-0.370537641844
ACH-000332,-0.0726447436517
ACH-000334,0.0500639457546
ACH-000335,0.026180564371700004
ACH-000336,-0.483271059971
ACH-000337,-0.494693434463
ACH-000339,-0.365498468078
ACH-000341,-0.218229492048
ACH-000348,-0.320585364533
ACH-000350,-0.19451015912300001
ACH-000352,-0.286449426086
ACH-000356,-0.20086370662500003
ACH-000361,-0.14596068446399998
ACH-000362,-0.40690848383100003
ACH-000363,-0.17687818007199999
ACH-000364,-0.28614561642700004
ACH-000365,-0.26854414417100003
ACH-000366,-0.297353719964
ACH-000368,-0.186569637326
ACH-000374,-0.492710406755
ACH-000375,-0.41300433978600004
ACH-000376,-0.21482424727
ACH-000381,-0.36299140498899995
ACH-000383,-0.281625133959
ACH-000387,-0.22090197110999998
ACH-000389,-0.293229384774
ACH-000390,-0.0884328709808
ACH-000393,-0.254368214328
ACH-000395,-0.942479054845
ACH-000397,-0.47132872771000006
