,GUCY2D (3000)
ACH-000004,-0.13134918893
ACH-000007,-0.38830827941600005
ACH-000009,-0.45886964076399994
ACH-000011,-0.39118181880900005
ACH-000012,-0.147824916236
ACH-000013,-0.215554066604
ACH-000014,-0.0196856567315
ACH-000015,-0.235089891862
ACH-000017,-0.0552795953857
ACH-000018,-0.30941863704399997
ACH-000019,-0.464186152864
ACH-000021,-0.080438339986
ACH-000022,-0.12645452791200001
ACH-000025,-0.308665871549
ACH-000028,-0.039353545039300004
ACH-000030,-0.221039047246
ACH-000035,-0.281745723752
ACH-000036,-0.369487572475
ACH-000037,-0.112829436481
ACH-000039,-0.378396945066
ACH-000040,-0.32371351278099997
ACH-000041,-0.144710068374
ACH-000042,-0.25975608172
ACH-000045,-0.029793061855
ACH-000047,-0.259303067368
ACH-000052,-0.36395777672799995
ACH-000053,-0.141033145743
ACH-000054,-0.0895532080385
ACH-000055,-0.28701982940299997
ACH-000060,-0.321057231399
ACH-000067,-0.0691116750705
ACH-000070,-0.172618866203
ACH-000075,-0.15521464802999999
ACH-000078,-0.132755488764
ACH-000082,-0.340486344336
ACH-000085,0.0430806523744
ACH-000086,-0.18336292801600002
ACH-000087,-0.23118675923
ACH-000092,-0.135124434374
ACH-000095,-0.382795377694
ACH-000097,-0.33747689284800003
ACH-000098,-0.226514147592
ACH-000099,-0.203110386228
ACH-000108,-0.241660484926
ACH-000113,-0.19027065969999998
ACH-000115,-0.32702755739399997
ACH-000116,-0.10377442369100001
ACH-000118,-0.162172694506
ACH-000120,-0.368755735973
ACH-000123,-0.0424995562321
ACH-000127,-0.277887206934
ACH-000128,-0.174796378666
ACH-000132,-0.11570469020600001
ACH-000133,-0.343254102076
ACH-000137,-0.200121402116
ACH-000138,-0.26134097103799997
ACH-000142,-0.479596166252
ACH-000143,-0.103112679675
ACH-000146,-0.18182936139400002
ACH-000148,-0.17041229719599998
ACH-000150,-0.34467641190399995
ACH-000152,-0.272102742576
ACH-000153,0.0273043107162
ACH-000159,-0.0242627327874
ACH-000160,0.0590815042007
ACH-000163,-0.299651705124
ACH-000167,-0.548847056424
ACH-000168,-0.412629052359
ACH-000169,-0.19245998413100002
ACH-000178,-0.16005782590999998
ACH-000182,-0.21333047035900002
ACH-000183,-0.0612569824811
ACH-000188,-0.126424294313
ACH-000189,0.198137748693
ACH-000190,-0.128617874859
ACH-000198,-0.36510192467600006
ACH-000204,-0.08147049520750001
ACH-000206,-0.131820181241
ACH-000207,-0.584207491506
ACH-000211,-0.11468199193600001
ACH-000215,-0.189268315451
ACH-000221,-0.161061608504
ACH-000222,-0.03621822396780001
