,TP53TG3C (653550)
ACH-000004,-0.36807760345
ACH-000007,-0.0317605466137
ACH-000009,0.137215963559
ACH-000011,-0.568736601749
ACH-000012,-0.306421559949
ACH-000013,-0.139110310822
ACH-000014,-0.169636938804
ACH-000015,-0.368232851008
ACH-000017,-0.0340270127045
ACH-000018,-0.382158359296
ACH-000019,-0.229112468521
ACH-000021,-0.0243816481333
ACH-000022,-0.329253119791
ACH-000025,-0.365308295683
ACH-000028,-0.26404920662
ACH-000030,0.17948528066199998
ACH-000035,0.019376164664499998
ACH-000036,-0.311647669725
ACH-000037,-0.43682279510899996
ACH-000039,-0.300034819078
ACH-000040,-0.0406489490316
ACH-000041,0.186988697502
ACH-000042,0.18466097539299997
ACH-000045,0.00221466039132
ACH-000047,-0.09803251671160002
ACH-000052,-0.311363653711
ACH-000053,0.160716174574
ACH-000054,-0.27671692287300004
ACH-000055,0.0850913027946
ACH-000060,0.014741360043899998
ACH-000067,-0.147725916589
ACH-000070,-0.284409482536
ACH-000075,-0.246147351926
ACH-000078,-0.011746426306900001
ACH-000082,-0.19476449378600003
ACH-000085,-0.100732681754
ACH-000086,0.23743093333
ACH-000087,-0.0308237537294
ACH-000092,-0.178672960485
ACH-000095,-0.0317544746023
ACH-000097,-0.287049978563
ACH-000098,-0.356944493042
ACH-000099,-0.178989724692
ACH-000108,0.232238446985
ACH-000113,-0.14046976955499998
ACH-000115,-0.16307986581199999
ACH-000116,0.0253999366627
ACH-000118,0.00567481671668
ACH-000120,-0.168798525346
ACH-000123,-0.077309676705
ACH-000127,-0.287688441156
ACH-000128,-0.117731146099
ACH-000132,-0.5003797341439999
ACH-000133,-0.152939327007
ACH-000137,-0.508844002808
ACH-000138,-0.019184036356299998
ACH-000142,-0.374285417434
ACH-000143,-0.173347711835
ACH-000146,0.045042156100900003
ACH-000148,-0.07846781618819999
ACH-000150,-0.36128204127999997
ACH-000152,-0.00650300388185
ACH-000153,-0.261242448631
ACH-000159,-0.540980490986
ACH-000160,0.3104560868
ACH-000163,-0.0167116946098
ACH-000167,-0.21075414131099998
ACH-000168,-0.223706670865
ACH-000169,-0.0888683737638
ACH-000178,-0.18218883500500002
ACH-000182,0.18698951378400003
ACH-000183,-0.161177763724
ACH-000188,0.050115490846
ACH-000189,0.166771692542
ACH-000190,-0.07237471650260001
ACH-000198,0.15782449700999998
ACH-000204,-0.100026153861
ACH-000206,0.134427699317
ACH-000207,-0.200735547618
ACH-000211,-0.102521497495
ACH-000215,-0.225050441185
ACH-000221,-0.27173439529
ACH-000222,-0.272935424729
ACH-000223,0.038568092255
ACH-000226,-0.13947916724
ACH-000227,-0.104116501688
ACH-000228,-0.0343214850403
ACH-000231,-0.287792575802
ACH-000232,-0.145004918203
ACH-000233,-0.136815866644
ACH-000234,0.027105287189599998
ACH-000235,0.008492314787260001
ACH-000237,-0.37271544011600005
ACH-000238,0.133416497687
ACH-000243,-0.354495485665
ACH-000244,-0.27292130965
ACH-000246,-0.241488380165
ACH-000248,-0.163006777032
ACH-000250,-0.148042811064
ACH-000251,0.0638262716154
ACH-000253,0.12657102146
ACH-000255,-0.150228356337
ACH-000256,-0.121875481051
ACH-000257,-0.08590773021839998
ACH-000258,0.347758173411
ACH-000259,-0.0197853273304
ACH-000260,-0.201478701083
ACH-000261,-0.202101185234
ACH-000262,-0.33738709343
ACH-000263,0.133532619982
ACH-000264,-0.10985747099099999
