,CLLU1OS (574016)
ACH-000004,0.331092234159
ACH-000007,0.35258816839900003
ACH-000009,0.16297556679400002
ACH-000011,0.14814012549
ACH-000012,0.309878246714
ACH-000013,0.242931344309
ACH-000014,0.132771914103
ACH-000015,0.303302852868
ACH-000017,0.11320586513
ACH-000018,0.267346691904
ACH-000019,0.359310686394
ACH-000021,0.23606095860800003
ACH-000022,0.355233622337
ACH-000025,0.219507929171
ACH-000028,0.375508944335
ACH-000030,0.312221810477
ACH-000035,0.327221913339
ACH-000036,0.219252121573
ACH-000037,0.299567580177
ACH-000039,0.337811532504
ACH-000040,0.35191039545900005
ACH-000041,0.08096522780019999
ACH-000042,0.250897243333
ACH-000045,0.319824723908
ACH-000047,0.366596012453
ACH-000052,0.312015633584
ACH-000053,0.252475117527
ACH-000054,0.235927179492
ACH-000055,0.35273921707500006
ACH-000060,0.22003172746
ACH-000067,0.24379160089699997
ACH-000070,0.455703951711
ACH-000075,0.237727276939
ACH-000078,0.325725089047
ACH-000082,0.211368877063
ACH-000085,0.10202644785000001
ACH-000086,0.350497357772
ACH-000087,0.553639595185
ACH-000092,0.23119801384
ACH-000095,0.311254975597
ACH-000097,0.290240516617
ACH-000098,0.24869801253899998
ACH-000099,0.35848695826300003
ACH-000108,0.240373029055
ACH-000113,0.245392837752
ACH-000115,0.19630336606499998
ACH-000116,0.18375432321199997
ACH-000118,0.23599728611200002
ACH-000120,0.36751161373499996
ACH-000123,0.273776376795
ACH-000127,0.299260787323
ACH-000128,0.41683305371
ACH-000132,0.229486877163
ACH-000133,0.303232855829
ACH-000137,0.363236507574
ACH-000138,0.24807919968699998
ACH-000142,0.336319751535
ACH-000143,0.0718768832203
ACH-000146,0.29626962794
ACH-000148,0.131268861746
ACH-000150,0.09646871759600001
ACH-000152,0.117326781982
ACH-000153,0.340115146857
ACH-000159,0.34375893981100003
ACH-000160,0.202390463865
ACH-000163,0.151235515081
ACH-000167,-0.10627285905400001
ACH-000168,0.289841940786
ACH-000169,0.23851629765000001
ACH-000178,0.33351726486600003
ACH-000182,0.19434465905499998
ACH-000183,0.297547002165
ACH-000188,0.199354116404
ACH-000189,0.39683364249499997
ACH-000190,0.029622837045999998
ACH-000198,0.24856200525400002
ACH-000204,0.346831083508
ACH-000206,0.484856561649
ACH-000207,0.336569547144
ACH-000211,0.270969643744
ACH-000215,0.250885014657
ACH-000221,0.413319304369
ACH-000222,0.44937615956699994
ACH-000223,0.162102317224
ACH-000226,0.162691980991
ACH-000227,-0.057972080760399995
ACH-000228,0.085526693432
ACH-000231,0.262510590007
ACH-000232,0.183714629025
ACH-000233,0.16823012991300001
ACH-000234,0.255607584851
ACH-000235,0.228797364692
ACH-000237,0.29312929140099997
ACH-000238,0.366202406062
