,LRP1B (53353)
ACH-000004,-0.3529723463
ACH-000007,-0.29484819376
ACH-000009,-0.252400046454
ACH-000011,-0.248205813004
ACH-000012,-0.339309174208
ACH-000013,-0.163350196546
ACH-000014,-0.245410331866
ACH-000015,-0.19316053380999998
ACH-000017,-0.13758070370699998
ACH-000018,-0.376180878183
ACH-000019,-0.473219565868
ACH-000021,-0.191478842373
ACH-000022,-0.31910959885699997
ACH-000025,-0.167647072802
ACH-000028,-0.315910580929
ACH-000030,-0.16967098542
ACH-000035,-0.20425854982
ACH-000036,-0.257657981545
ACH-000037,-1.04142893424
ACH-000039,-0.318540400116
ACH-000040,-0.266508803487
ACH-000041,-0.31990156958
ACH-000042,-0.215979098242
ACH-000045,-0.00447945290864
ACH-000047,-0.15929067306800002
ACH-000052,-0.43976886225100004
ACH-000053,-0.17537553442899997
ACH-000054,-0.302427263622
ACH-000055,-0.26810784276
ACH-000060,-0.291245554994
ACH-000067,-0.35810407400399996
ACH-000070,-0.45771317347199997
ACH-000075,-0.147087115027
ACH-000078,-0.331601178618
ACH-000082,-0.29753478001899997
ACH-000085,-0.155997623252
ACH-000086,-0.314737729973
ACH-000087,-0.170325961853
ACH-000092,-0.40850257722499994
ACH-000095,-0.461553424877
ACH-000097,-0.18783216994000002
ACH-000098,-0.49361869124799995
ACH-000099,-0.260863065384
ACH-000108,-0.0722295280337
ACH-000113,-0.106489963095
ACH-000115,-0.221802304164
ACH-000116,-0.400059083345
ACH-000118,-0.23363242070700002
ACH-000120,-0.42676286170500005
ACH-000123,-0.424151779455
ACH-000127,-0.236688162795
ACH-000128,-0.42184287306400003
ACH-000132,-0.49891709016099994
ACH-000133,-0.284629856732
ACH-000137,-0.35962924037199995
ACH-000138,-0.32708619001
ACH-000142,-0.324941094065
ACH-000143,-0.299593603403
ACH-000146,-0.219587756228
ACH-000148,-0.452171164023
ACH-000150,-0.146925892124
ACH-000152,-0.322525032067
ACH-000153,-0.5200052948699999
ACH-000159,-0.24344643072900002
ACH-000160,-0.6029704964989999
ACH-000163,-0.126383442727
ACH-000167,-0.0223542264397
ACH-000168,-0.377803999652
ACH-000169,-0.16756137421199999
