,CYHR1 (50626)
ACH-000004,-0.311611299397
ACH-000007,-0.33242041937100003
ACH-000009,-0.337595535282
ACH-000011,-0.132774199555
ACH-000012,-0.210081063926
ACH-000013,-0.236886054716
ACH-000014,-0.329528967848
ACH-000015,-0.11501171009099999
ACH-000017,-0.404117999232
ACH-000018,-0.33845314964199996
ACH-000019,-0.214478302169
ACH-000021,-0.295480834917
ACH-000022,-0.324791468428
ACH-000025,-0.238873253234
ACH-000028,-0.232796172725
ACH-000030,-0.235093074465
ACH-000035,-0.141905866395
ACH-000036,-0.370437744159
ACH-000037,-0.261615326144
ACH-000039,-0.346767307125
ACH-000040,-0.39409308150399996
ACH-000041,-0.31272595556
ACH-000042,-0.423128788123
ACH-000045,-0.16418799648600002
ACH-000047,-0.276870895509
ACH-000052,-0.014987513914999999
ACH-000053,-0.130519342777
ACH-000054,-0.535989024862
ACH-000055,-0.18401611053599998
ACH-000060,-0.425873924249
ACH-000067,-0.283271970631
ACH-000070,-0.385922124507
ACH-000075,-0.168423109084
ACH-000078,-0.505060099911
ACH-000082,-0.5279238823969999
ACH-000085,-0.201123895522
ACH-000086,-0.104599116023
ACH-000087,-0.211958305421
ACH-000092,-0.471496851203
ACH-000095,-0.160118236611
ACH-000097,-0.361896026338
ACH-000098,-0.37747629912299996
ACH-000099,-0.334950096318
ACH-000108,-0.38888205128200004
ACH-000113,-0.33881799639399995
ACH-000115,-0.557544291499
ACH-000116,-0.37999954977300004
ACH-000118,-0.199102166142
ACH-000120,-0.396183901208
ACH-000123,-0.29790047408500003
ACH-000127,-0.444963488597
ACH-000128,-0.37580514775
ACH-000132,-0.311894821674
ACH-000133,-0.314035265278
ACH-000137,-0.213570155801
ACH-000138,-0.040980614386300004
ACH-000142,-0.251702647066
ACH-000143,-0.388545669679
ACH-000146,-0.368993483881
ACH-000148,-0.30694821553199997
ACH-000150,-0.521012666264
ACH-000152,-0.33898881087800004
ACH-000153,-0.182702305865
ACH-000159,-0.312191986011
ACH-000160,-0.308348862448
ACH-000163,-0.352491954696
ACH-000167,-0.143845843201
ACH-000168,-0.23236201645100002
ACH-000169,-0.265680331807
