,PRR23D2 (100133251)
ACH-000004,0.139804721652
ACH-000007,-0.0221751977624
ACH-000009,0.115692304488
ACH-000011,0.136757917834
ACH-000012,0.11368380669000001
ACH-000013,0.163792518808
ACH-000014,0.13147763328
ACH-000015,0.22560635621199998
ACH-000017,0.07316899141239999
ACH-000018,0.151693235135
ACH-000019,0.352844823925
ACH-000021,0.291418770347
ACH-000022,-0.04567153245180001
ACH-000025,-0.13042083849199998
ACH-000028,0.287776732742
ACH-000030,0.10147985272500001
ACH-000035,0.0360522280846
ACH-000036,0.10902866543600001
ACH-000037,0.033781092541
ACH-000039,0.0385957411725
ACH-000040,0.0585926316643
ACH-000041,0.166633850891
ACH-000042,0.227233098431
ACH-000045,-0.107150790711
ACH-000047,0.15924208019000002
ACH-000052,0.20221922698800002
ACH-000053,0.104729788505
ACH-000054,0.174320834118
ACH-000055,0.152731144969
ACH-000060,0.177841416488
ACH-000067,0.0516925039094
ACH-000070,0.21905582460499998
ACH-000075,0.0246028474853
ACH-000078,-0.203417098436
ACH-000082,-0.6790919422949999
ACH-000085,-0.195915189364
ACH-000086,0.21233535806200002
ACH-000087,0.11381831470499999
ACH-000092,0.040061825168400005
ACH-000095,0.241013433811
ACH-000097,0.162017688601
ACH-000098,0.17226221441700001
ACH-000099,0.107205638321
ACH-000108,0.133181778536
ACH-000113,-0.010869668103200001
ACH-000115,0.20711919059
ACH-000116,0.0908705048102
ACH-000118,0.144997143069
ACH-000120,0.122000423593
ACH-000123,0.189085147696
ACH-000127,0.27058180191799996
ACH-000128,-0.027784915624199998
ACH-000132,0.117390618007
ACH-000133,0.08638011444180001
ACH-000137,0.030375658819400003
ACH-000138,0.169838280963
ACH-000142,0.04798472073369999
ACH-000143,-0.00829013228311
ACH-000146,0.051023770888300006
ACH-000148,0.22274680329
ACH-000150,0.00648721111376
ACH-000152,0.0473283407763
ACH-000153,-0.07144058149289999
ACH-000159,0.013656405984100001
ACH-000160,0.46099825384
ACH-000163,-0.00586318505722
ACH-000167,-0.19845306690499998
ACH-000168,-0.21703987598299998
ACH-000169,-0.046259467376300004
ACH-000178,-0.22472202196899999
ACH-000182,0.188722240885
ACH-000183,0.22332907268899999
ACH-000188,0.15803316146500002
ACH-000189,0.239000611415
ACH-000190,0.230877209475
ACH-000198,-0.045665433214999995
ACH-000204,0.205053876069
ACH-000206,0.13291709626599998
ACH-000207,0.0404529082782
ACH-000211,0.125572848847
ACH-000215,0.194347611523
ACH-000221,0.390622468249
ACH-000222,0.0428554792069
ACH-000223,0.116900620686
ACH-000226,0.132570404379
ACH-000227,-0.11533043006799999
ACH-000228,0.0660167925983
ACH-000231,0.062381434556300006
ACH-000232,0.19587451658799998
ACH-000233,0.025683870624799997
ACH-000234,0.09040775123929999
ACH-000235,0.209170143343
ACH-000237,0.0657100150566
ACH-000238,-0.01586881536
ACH-000243,-0.31344446864799996
ACH-000244,0.19913551544100003
ACH-000246,0.101347565213
ACH-000248,0.35451914603100004
ACH-000250,-0.0939010960777
ACH-000251,0.39508409806
ACH-000253,-0.0711348774436
ACH-000255,0.304040142311
