,GUCA1C (9626)
ACH-000004,0.032659552984700004
ACH-000007,-0.218792405792
ACH-000009,0.00263118288512
ACH-000011,0.14124903066
ACH-000012,0.004423717766560001
ACH-000013,0.07934075834649999
ACH-000014,-0.151851966196
ACH-000015,-0.015308621210300001
ACH-000017,-0.00199251936619
ACH-000018,-0.0137926968705
ACH-000019,-0.11822351041200001
ACH-000021,-0.0385707305771
ACH-000022,-0.03585079010409999
ACH-000025,-0.0421552405822
ACH-000028,0.026045906591900002
ACH-000030,-0.0321236281137
ACH-000035,0.132677313872
ACH-000036,0.0934742643561
ACH-000037,0.0235900176749
ACH-000039,-0.16711951298900002
ACH-000040,-0.080449172291
ACH-000041,-0.051182755668099995
ACH-000042,-0.039319177511999995
ACH-000045,0.129687619544
ACH-000047,0.00144645408728
ACH-000052,-0.036463408219900004
ACH-000053,0.0198866480364
ACH-000054,-0.0815458669255
ACH-000055,0.129788679534
ACH-000060,0.0438036948285
ACH-000067,-0.0786392687555
ACH-000070,-0.0397212263292
ACH-000075,0.233906991954
ACH-000078,-0.0376087494309
ACH-000082,0.054415725207000006
ACH-000085,-0.0775624206744
ACH-000086,-0.08265856051710001
ACH-000087,-0.030203877162
ACH-000092,0.0243064984392
ACH-000095,-0.0120454618442
ACH-000097,-0.0354380284609
ACH-000098,0.062139557446
ACH-000099,-0.0173945892215
ACH-000108,-0.12021970093
ACH-000113,0.0299998180621
ACH-000115,0.0970665766871
ACH-000116,0.113818515886
ACH-000118,0.00545617747853
ACH-000120,0.130923880462
ACH-000123,0.00751885399311
ACH-000127,-0.0233848750336
ACH-000128,-0.19712628679699998
ACH-000132,0.07556493294660001
ACH-000133,0.0799937934761
ACH-000137,0.0007281096907340001
ACH-000138,-0.010706905612000002
ACH-000142,-0.00440346429791
ACH-000143,0.0313662253792
ACH-000146,0.040999665132800005
ACH-000148,0.044637787823299996
ACH-000150,0.0762039054504
ACH-000152,0.0025868492804600003
ACH-000153,0.150430001015
ACH-000159,-0.16390383388399998
ACH-000160,-0.146955285273
ACH-000163,0.0674945056891
ACH-000167,0.00372649205612
ACH-000168,0.152565827013
ACH-000169,-0.127187171628
ACH-000178,0.0692801453608
