,MARK4 (57787)
ACH-000363,0.00731587411951
ACH-000364,-0.309681868752
ACH-000365,-0.061078629483199996
ACH-000366,-0.23899828417100002
ACH-000368,-0.0667299540751
ACH-000374,-0.0262567444035
ACH-000375,-0.25367268292899997
ACH-000376,-0.053410004198900005
ACH-000381,0.0400155275586
ACH-000383,-0.0983953075942
ACH-000387,-0.0714962375806
ACH-000389,-0.278299969128
ACH-000390,-0.11058926712600001
ACH-000393,-0.464692832945
ACH-000395,-0.383160338753
ACH-000397,-0.20112791497299998
ACH-000401,-0.198702737014
ACH-000402,-0.39934178184
ACH-000403,-0.12384439232000001
ACH-000404,-0.29076754411
ACH-000406,-0.0566090311522
ACH-000407,-0.20905373486900003
ACH-000408,-0.414138183734
ACH-000410,-0.195028193663
ACH-000411,-0.0390391001385
ACH-000414,-0.0787043759743
ACH-000415,-0.09008881725410002
ACH-000416,-0.101646688192
ACH-000420,-0.202348492977
ACH-000421,-0.131368063992
ACH-000424,-0.0564560725921
ACH-000425,-0.135701613717
ACH-000426,-0.214961785319
ACH-000427,-0.14532992687000001
ACH-000433,-0.206412603527
ACH-000436,-0.177087293785
ACH-000444,-0.081498280777
ACH-000445,-0.113803585843
ACH-000448,-0.165444239103
ACH-000450,-0.09214315637010001
ACH-000452,-0.21800513441599997
ACH-000454,-0.18717786330699998
ACH-000458,-0.23270643879500003
ACH-000459,-0.0956739062858
ACH-000460,-0.14424064701300002
ACH-000461,-0.024115899887
ACH-000463,-0.039665650189699996
ACH-000464,-0.132104721189
ACH-000466,-0.18642858344799998
ACH-000467,0.0598156603747
ACH-000468,-0.0669007207191
ACH-000469,-0.09231290400429999
ACH-000470,0.0172829765785
ACH-000471,-0.36858819227399997
ACH-000472,-0.08497954916480001
ACH-000473,-0.13964318199200002
ACH-000475,-0.0686020154763
ACH-000476,-0.177161141458
ACH-000477,-0.125599927687
ACH-000480,-0.161727362656
ACH-000481,-0.104653006401
ACH-000483,-0.22918550544
ACH-000484,-0.19944605498799997
ACH-000485,-0.339429187171
ACH-000486,-0.141479234091
ACH-000487,-0.18837167815000003
ACH-000488,-0.07343030382289999
ACH-000490,-0.160161701458
ACH-000491,-0.201507664615
ACH-000495,0.0389139980669
ACH-000496,0.09426265709960001
ACH-000499,-0.025700928710599997
ACH-000500,0.356762656459
ACH-000502,-0.00683692053592
ACH-000503,0.305091467408
ACH-000505,-0.06386642161759999
ACH-000507,-0.082678674856
ACH-000510,-0.214994354412
ACH-000511,-0.0297451169592
ACH-000512,-0.226126086166
ACH-000516,-0.276112261969
ACH-000517,-0.13819658359
ACH-000518,-0.22443858274
ACH-000520,-0.18711582165100002
ACH-000521,-0.057335707420699995
ACH-000522,-0.09490557000430001
ACH-000524,-0.145692713819
ACH-000527,-0.118647660496
ACH-000528,0.040711212675900006
ACH-000537,-0.27445925430999996
ACH-000541,-0.189522785609
ACH-000542,0.0140485790463
ACH-000544,-0.16618550541899998
ACH-000545,-0.23644297870099998
ACH-000547,-0.08602283210629999
ACH-000548,-0.0761488632024
ACH-000549,0.0125264812766
ACH-000550,-0.1031108317
ACH-000552,-0.158591232414
ACH-000556,-0.324908575346
ACH-000557,-0.22634010140500002
ACH-000570,-0.19655615984400002
ACH-000571,-0.32080764643000004
ACH-000573,-0.187173521888
ACH-000576,-0.156612661025
ACH-000580,-0.271927252176
