,SH3BP5L (80851)
ACH-000004,0.100259468953
ACH-000007,-0.29555576995099997
ACH-000009,-0.30629277903700003
ACH-000011,-0.028430724097899998
ACH-000012,0.08890920011180001
ACH-000013,-0.0961178171313
ACH-000014,-0.216302817214
ACH-000015,-0.0561759476388
ACH-000017,0.162626086762
ACH-000018,-0.149285978391
ACH-000019,0.110112282213
ACH-000021,-0.044180168464000004
ACH-000022,-0.019022562953599997
ACH-000025,0.0116506920755
ACH-000028,-0.00381462011191
ACH-000030,-0.0669207653524
ACH-000035,0.06070390987000001
ACH-000036,-0.0519356470029
ACH-000037,-0.332950286162
ACH-000039,-0.22230463874899997
ACH-000040,-0.11507259327
ACH-000041,0.021903964193500002
ACH-000042,-0.0319930377054
ACH-000045,-0.107982153463
ACH-000047,-0.17824177236900002
ACH-000052,-0.24230950269999998
ACH-000053,-0.224610009835
ACH-000054,-0.118615472402
ACH-000055,-0.153652317916
ACH-000060,-0.0882454144207
ACH-000067,-0.0244653335285
ACH-000070,-0.287940220995
ACH-000075,-0.0775414697423
ACH-000078,-0.173972067236
ACH-000082,-0.22571983543699997
ACH-000085,-0.407993792719
ACH-000086,0.035110469428500005
ACH-000087,0.0959472861437
ACH-000092,-0.07383994816219999
ACH-000095,-0.14959007138
ACH-000097,-0.045651010462499995
ACH-000098,-0.19414078628800002
ACH-000099,-0.0620099063605
ACH-000108,-0.265829244606
ACH-000113,-0.15522523344699998
ACH-000115,0.23853415539
ACH-000116,-0.145592606673
ACH-000118,-0.08777434024
ACH-000120,-0.16713207343
ACH-000123,-0.0726795163975
ACH-000127,-0.00933191183005
ACH-000128,-0.0817185346194
ACH-000132,-0.107570985287
ACH-000133,0.00586780051753
ACH-000137,-0.0677806237327
ACH-000138,-0.0143450904189
ACH-000142,0.013862883631500001
ACH-000143,-0.0179239554075
ACH-000146,-0.188025074771
ACH-000148,-0.129841285592
ACH-000150,-0.036135331164899996
ACH-000152,-0.0037026392995100003
ACH-000153,-0.11544837888000001
ACH-000159,-0.0584889964623
ACH-000160,0.057371389502800005
ACH-000163,0.0245456159601
ACH-000167,0.0313120615338
ACH-000168,-0.09375762587770001
ACH-000169,0.06970003887889999
ACH-000178,-0.0404049350814
ACH-000182,-0.0558511710966
ACH-000183,-0.09862954614430001
ACH-000188,-0.262360429212
ACH-000189,-0.324544617143
ACH-000190,-0.0132860044524
ACH-000198,-0.123885467162
ACH-000204,-0.12942223633
ACH-000206,0.22717044394699998
ACH-000207,-0.159316329487
ACH-000211,-0.0137735742995
ACH-000215,-0.0566375989117
ACH-000221,0.116888585163
ACH-000222,-0.158168773642
ACH-000223,-0.022254942544
ACH-000226,0.11005577204299999
ACH-000227,0.122810525519
ACH-000228,0.028365543848700003
ACH-000231,-0.0906358639772
ACH-000232,-0.16450451976
ACH-000233,-0.412207698966
ACH-000234,-0.04305302280519999
ACH-000235,-0.044873224395199994
ACH-000237,-0.23599209719300002
ACH-000238,-0.45400710322899995
ACH-000243,0.0014492538519999998
ACH-000244,-0.0278508236422
ACH-000246,-0.237160363414
ACH-000248,0.0428432753864
ACH-000250,-0.162497929406
ACH-000251,0.121543550843
ACH-000253,-0.14352163685900002
ACH-000255,-0.0523987248367
ACH-000256,-0.056440964701
ACH-000257,-0.151213017078
ACH-000258,-0.6135844471940001
ACH-000259,-0.075885552762
ACH-000260,-0.121758579726
ACH-000261,-0.253345209515
ACH-000262,0.0676585761619
ACH-000263,-0.0054929643299700005
ACH-000264,-0.0392673950168
ACH-000265,0.0159716092478
ACH-000266,-0.151978413672
ACH-000272,-0.149334685548
ACH-000273,-0.062190813762999994
ACH-000274,-0.037179844962
ACH-000277,-0.0052529852816800005
ACH-000278,0.0202453363265
ACH-000279,-0.0212678265703
ACH-000280,-0.0492434561263
ACH-000281,-0.143165694992
ACH-000288,-0.142542374659
ACH-000291,-0.0314332845196
ACH-000293,-0.12619566002000002
ACH-000294,0.050193396405800006
ACH-000295,-0.604049713685
ACH-000296,-0.0228608676845
ACH-000302,-0.0236900957246
ACH-000304,0.11627799489299999
ACH-000307,-0.092074481834
ACH-000308,-0.19026883385600002
ACH-000310,-0.104510760938
ACH-000311,-0.16113931759000003
ACH-000312,0.000306380717342
ACH-000315,-0.0166729619582
ACH-000316,-0.0846823242013
ACH-000317,-0.33045559117400003
ACH-000318,-0.12313429178400001
ACH-000319,-0.07656895123480001
ACH-000320,0.0552704969731
ACH-000322,-0.20089724923
ACH-000323,0.042543456710900006
ACH-000324,0.08194109951589999
ACH-000329,-0.165344454446
ACH-000330,-0.08160094298449999
ACH-000331,-0.04257582231430001
ACH-000332,-0.0295275571091
ACH-000334,-0.222401379698
ACH-000335,0.0186309731405
ACH-000336,-0.199087529908
ACH-000337,-0.352767170279
ACH-000339,-0.0698694677658
ACH-000341,0.13017822239
ACH-000348,-0.0128489358604
ACH-000350,-0.0373694041136
ACH-000352,-0.047521999642000004
ACH-000356,0.053468087971800006
ACH-000361,-0.182438286466
ACH-000362,0.008187431830560001
ACH-000363,-0.045189516472899996
ACH-000364,-0.00714886396946
ACH-000365,0.0102584160257
ACH-000366,0.043761115716000006
ACH-000368,-0.193096215814
ACH-000374,-0.016736202657899997
ACH-000375,-0.331184315601
ACH-000376,-0.057612201001
ACH-000381,0.13834123568700002
ACH-000383,-0.19548207076
ACH-000387,-0.0328435607912
ACH-000389,-0.18242255945
ACH-000390,0.0641826008993
ACH-000393,-0.00422788516821
ACH-000395,0.0505106558409
ACH-000397,-0.10200966533099999
ACH-000401,-0.150884293021
ACH-000402,-0.35174849330799995
ACH-000403,-0.04918924316980001
ACH-000404,-0.205531220751
ACH-000406,-0.0515769780533
ACH-000407,-0.210753682854
ACH-000408,-0.187568832344
ACH-000410,0.013891538296299999
ACH-000411,-0.12841365566
ACH-000414,0.0599709526033
ACH-000415,0.160823717227
ACH-000416,-0.0847443861288
ACH-000420,-0.37108325640900003
ACH-000421,0.0329332506699
ACH-000424,-0.102861878481
ACH-000425,-0.0425734336107
ACH-000426,0.07953346741219999
ACH-000427,0.061007961192699994
ACH-000433,-0.421814957344
ACH-000436,0.165956267143
ACH-000444,-0.10032583449100001
ACH-000445,-0.19462081207899998
ACH-000448,-0.15817057506100002
ACH-000450,0.0327474303723
ACH-000452,-0.0117532269931
ACH-000454,-0.192229170079
ACH-000458,-0.11223755496400001
ACH-000459,-0.438408127494
ACH-000460,-0.111043368805
ACH-000461,-0.00414099472298
ACH-000463,-0.281749585458
ACH-000464,-0.18562554954
ACH-000466,-0.101865791986
ACH-000467,-0.35751662507700005
ACH-000468,0.09695777551689999
ACH-000469,0.0358382946613
ACH-000470,-0.04226934220430001
ACH-000471,-0.0844964766387
ACH-000472,-0.140491238583
ACH-000473,-0.360705085149
ACH-000475,-0.0927451855197
ACH-000476,-0.148955619277
ACH-000477,-0.15176680278899998
ACH-000480,-0.0027747404515300004
ACH-000481,0.020185493749099996
ACH-000483,-0.28929580300200003
ACH-000484,-0.265605024866
ACH-000485,0.12291426317500001
ACH-000486,-0.0741452170835
ACH-000487,-0.134595590338
ACH-000488,-0.145451463937
ACH-000490,-0.100464955625
ACH-000491,0.0492005957377
ACH-000495,-0.0190258430906
ACH-000496,-0.08187360941380001
ACH-000499,-0.040546915631800004
ACH-000500,-0.206761865014
ACH-000502,-0.141702176195
ACH-000503,0.0165257217313
ACH-000505,-0.26396198572900004
ACH-000507,0.092188898893
ACH-000510,-0.251329962869
ACH-000511,-0.240451630255
ACH-000512,-0.333076776822
ACH-000516,-0.127845648473
ACH-000517,-0.156104990776
ACH-000518,0.0634591073007
ACH-000520,-0.0140291202912
ACH-000521,-0.171047665981
ACH-000522,-0.088344011707
ACH-000524,-0.11457569453
ACH-000527,-0.17522685428399998
ACH-000528,-0.119643684495
ACH-000537,-0.37407648221100004
ACH-000541,-0.35322117446900003
ACH-000542,-0.0484809045504
ACH-000544,-0.014205146695900001
ACH-000545,-0.0684944589794
ACH-000547,0.0182831831266
ACH-000548,-0.164328110934
ACH-000549,-0.130501318208
ACH-000550,-0.13713096266799998
ACH-000552,-0.274188129819
ACH-000556,-0.040694557972699996
ACH-000557,-0.07178565984410001
ACH-000570,-0.0522469630877
ACH-000571,-0.168078358742
ACH-000573,-0.161685016317
ACH-000576,-0.337990830967
ACH-000580,-0.282150243132
ACH-000584,-0.128640327995
ACH-000585,-0.0787553442505
ACH-000588,-0.11265404384000001
ACH-000589,-0.06946293972060001
ACH-000591,0.17715517594500002
ACH-000593,-0.10947163053600001
ACH-000600,-0.034225575816200005
ACH-000601,-0.266364704382
ACH-000604,-0.0379410656224
ACH-000605,-0.038708960204400004
ACH-000606,-0.00612232535267
ACH-000608,-0.0317809635085
ACH-000614,0.0765262915552
ACH-000616,-0.16673436474199999
ACH-000618,0.060845768529000005
ACH-000619,-0.106894284649
ACH-000620,-0.14814025305700002
ACH-000621,-0.35315932294200003
ACH-000622,-0.013686217617500001
ACH-000623,-0.00339277384793
ACH-000624,-0.0607598099261
ACH-000627,-0.08914420492239998
ACH-000630,-0.191313975299
ACH-000632,-0.198523762441
ACH-000633,-0.0893090774103
ACH-000637,0.0133588227085
ACH-000638,0.0340702877015
ACH-000646,-0.293281450551
ACH-000647,-0.0417422240396
ACH-000648,-0.43522898975
ACH-000649,-0.12765554536499998
ACH-000651,0.0117975919114
ACH-000652,-0.16990356469
ACH-000653,0.06996928349239999
ACH-000657,-0.154881490537
ACH-000658,-0.0260766743009
ACH-000661,-0.0658342446762
ACH-000662,-0.0374315457206
ACH-000663,-0.212684286317
ACH-000665,-0.06189399138019999
ACH-000671,-0.07420845961280001
ACH-000673,-0.0253991035904
ACH-000676,0.0038031861733500002
ACH-000677,-0.110278932392
ACH-000681,0.181655955428
ACH-000682,-0.027579680616
ACH-000683,-0.0318926061932
ACH-000684,-0.09932725207789998
ACH-000688,-0.0518442615566
ACH-000693,0.008609946675469998
ACH-000694,0.00198315483945
ACH-000695,0.03722227754580001
ACH-000696,-0.08993685696329999
ACH-000697,-0.16958599908799998
ACH-000699,-0.220745223746
ACH-000701,-0.12405788303099999
ACH-000706,-0.182452514736
ACH-000711,-0.0021615856979
ACH-000713,0.111012168404
ACH-000714,-0.005483132359909999
ACH-000718,-0.18715934893199998
ACH-000720,-0.0739046370583
ACH-000721,-0.17526641100499998
ACH-000724,-0.104368054712
ACH-000725,0.120247350038
ACH-000732,0.010352511285
ACH-000734,-0.18294317927700002
ACH-000735,-0.10008387252499999
ACH-000736,-0.011170477595799998
ACH-000738,0.07254160194749999
ACH-000746,0.09387528833830001
ACH-000747,-0.0179670437692
ACH-000748,-0.20089138829199998
ACH-000753,-0.215696072834
ACH-000756,-0.243128565411
ACH-000757,-0.0697284374387
ACH-000758,0.00788314268304
ACH-000760,-0.06987739216239999
ACH-000763,0.137770104287
ACH-000764,0.10095334047700001
ACH-000765,0.02840403192
ACH-000766,-0.0147274782704
ACH-000767,0.0147812893395
ACH-000768,-0.138390670643
ACH-000769,-0.0116445982825
ACH-000770,-0.0401582294006
ACH-000771,-0.288819656135
ACH-000773,-0.143405457349
ACH-000776,0.0886371439048
ACH-000777,0.0149957045404
ACH-000778,-0.0764650865997
ACH-000781,-0.0840482771266
ACH-000782,-0.213693042976
ACH-000783,-0.6453295525289999
ACH-000784,0.0805963532698
ACH-000785,-0.275253935265
ACH-000787,-0.207725236683
ACH-000788,-0.077258424418
ACH-000791,-0.0428372201279
ACH-000792,-0.11735221070900001
ACH-000794,-0.0257368419749
ACH-000796,-0.17122324830400001
ACH-000799,-0.31404458190400003
ACH-000800,-0.16343814723
ACH-000802,-0.0576022507143
ACH-000804,-0.047350716606900004
ACH-000805,-0.252826727018
ACH-000809,-0.231309446234
ACH-000810,0.152611657308
ACH-000811,-0.219698188296
ACH-000817,-0.149954912099
ACH-000819,-0.158842136452
ACH-000820,-0.150425290538
ACH-000821,0.251003118334
ACH-000822,-0.128416219646
ACH-000823,-0.1548706265
ACH-000824,-0.028523948066099997
ACH-000827,-0.219269760629
ACH-000829,-0.217145823345
ACH-000831,0.08915144468389999
ACH-000832,-0.09335866680299999
ACH-000833,-0.23731842906999998
ACH-000834,-0.0168164174204
ACH-000835,-0.111394631042
ACH-000836,-0.182548318977
ACH-000837,-0.06725062235809999
ACH-000838,-0.218295142888
ACH-000839,0.15124254282
ACH-000840,-0.25161751834199997
ACH-000841,0.0770514696402
ACH-000843,-0.145755179584
ACH-000846,-0.014235196890100001
ACH-000847,-0.166971922213
ACH-000848,-0.21123616192000003
ACH-000849,-0.10345784775
ACH-000851,-0.11120810347999999
ACH-000855,-0.0951245081965
ACH-000856,-0.185648269093
ACH-000858,-0.179857986076
ACH-000859,-0.106167333867
ACH-000861,-0.011808471663200001
ACH-000862,-0.142232487631
ACH-000865,-0.0458824405005
ACH-000866,-0.0961754775593
ACH-000867,-0.101070116892
ACH-000869,0.035953421526
ACH-000872,-0.08732659804889999
ACH-000873,0.0836793368585
ACH-000876,-0.124655979304
ACH-000878,0.191244716528
ACH-000880,-0.23204560655200002
ACH-000881,-0.100265824737
ACH-000882,-0.0765900934578
ACH-000884,0.018154736216400003
ACH-000885,-0.310038031184
ACH-000887,-0.0529580955253
ACH-000888,-0.143819402062
ACH-000889,-0.0813762456954
ACH-000890,-0.0231987181888
ACH-000896,-0.0054539594275
ACH-000898,-0.0230206407462
ACH-000900,0.08397987557489998
ACH-000901,-0.07610102016289999
ACH-000905,-0.089133881402
ACH-000906,-0.10671959607999999
ACH-000907,-0.10650640850500001
ACH-000910,-0.343895934974
ACH-000911,-0.162467785526
ACH-000912,-0.21913863468199998
ACH-000913,-0.09568893318150001
ACH-000915,-0.19887499363400002
ACH-000916,-0.0111449006965
ACH-000917,-0.043807244988
ACH-000921,-0.147624067376
ACH-000924,-0.253946667183
ACH-000926,-0.19094391691100002
ACH-000928,-0.18408849390999998
ACH-000929,-0.05394079825899999
ACH-000932,-0.210450452256
ACH-000935,0.0394416111573
ACH-000936,-0.0315723418225
ACH-000937,-0.16326319133
ACH-000938,-0.11149959098099999
ACH-000939,-0.0446487906453
ACH-000941,0.0398978115598
ACH-000943,-0.202783106565
ACH-000946,-0.202898899784
ACH-000947,-0.14782732126599998
ACH-000948,-0.331764046275
ACH-000950,-0.024180233269
ACH-000953,-0.14223902136
ACH-000957,0.203950050401
ACH-000958,-0.36237153403300004
ACH-000960,-0.105128058114
ACH-000963,0.0118486832284
ACH-000968,-0.0757047876064
ACH-000969,0.143580577969
ACH-000973,-0.038882489115
ACH-000974,-0.20507203699299997
ACH-000975,-0.184056763558
ACH-000976,0.045182794099
ACH-000978,-0.307648825126
ACH-000980,-0.074762058069
ACH-000984,-0.308392462225
ACH-000986,-0.0811626513132
ACH-000988,0.0304017353787
ACH-000993,-0.24712266120999998
ACH-000994,0.0818415599444
ACH-000996,-0.254565965019
ACH-001001,-0.084164596797
ACH-001020,-0.314586071363
ACH-001028,-0.13000481508099998
ACH-001031,-0.07459077815210001
ACH-001038,-0.0649695652866
ACH-001048,-0.15051751783700001
ACH-001050,-0.028263111896
ACH-001053,-0.0508267000364
ACH-001054,-0.204961079334
ACH-001061,-0.0103139010095
ACH-001067,-0.279315565482
ACH-001075,-0.17515590473700002
ACH-001096,-0.31365613524
ACH-001128,-0.399934378951
ACH-001134,0.04415009767
ACH-001151,-0.0811548951585
ACH-001163,-0.246644346325
ACH-001164,-0.07254906399910001
ACH-001173,-0.0772729765458
ACH-001183,-0.23409066029
ACH-001184,-0.298707322191
