,MYBPHL (343263)
ACH-000932,-0.29343734132
ACH-000935,-0.159428159607
ACH-000936,-0.449353172531
ACH-000937,-0.17224963945
ACH-000938,-0.283938631464
ACH-000939,-0.20771551068100003
ACH-000941,-0.288969603322
ACH-000943,-0.411831654847
ACH-000946,-0.372366523656
ACH-000947,-0.36546991432
ACH-000948,-0.39176161598700004
ACH-000950,-0.420175037408
ACH-000953,-0.486098917206
ACH-000957,-0.43311598544600005
ACH-000958,-0.297721935048
ACH-000960,-0.33994939318499995
ACH-000963,-0.281933719077
ACH-000968,-0.355888197944
ACH-000969,-0.246195617088
ACH-000973,-0.369470407989
ACH-000974,-0.21221300798
ACH-000975,-0.37833869861999997
ACH-000976,-0.542024480532
ACH-000978,-0.506622358294
ACH-000980,-0.30030424530600003
ACH-000984,-0.33610196839100004
ACH-000986,-0.198281847869
ACH-000988,-0.17248292669799997
ACH-000993,-0.306529692109
ACH-000994,-0.469491554326
ACH-000996,-0.299601092752
ACH-001001,-0.499443036642
ACH-001020,-0.256440425986
ACH-001028,-0.363749343314
ACH-001031,-0.329102797715
ACH-001038,-0.149974966917
ACH-001048,-0.212455280926
ACH-001050,-0.46672235893200004
ACH-001053,-0.524756341546
ACH-001054,-0.396517799427
ACH-001061,-0.307748570636
ACH-001067,-0.220543171839
ACH-001075,-0.442446174185
ACH-001096,-0.405241992599
ACH-001128,-0.0754250093934
ACH-001134,-0.19786613757100002
ACH-001151,-0.15790118437200001
ACH-001163,-0.301622596452
ACH-001164,-0.13329423600600002
ACH-001173,-0.164529898686
ACH-001183,-0.292614748341
ACH-001184,-0.09608168245200001
ACH-001190,-0.26255610482299996
ACH-001192,-0.423009740998
ACH-001193,-0.289183433764
ACH-001196,-0.29066409231699997
ACH-001197,-0.451711876911
ACH-001205,-0.406892182835
ACH-001211,-0.13796572565600002
ACH-001212,-0.629498516108
ACH-001228,-0.46834706435900003
ACH-001232,-0.337860815835
ACH-001239,-0.525681331094
ACH-001274,0.036620917674
ACH-001275,-0.330333700906
ACH-001277,-0.265444866911
ACH-001278,-0.378965330656
ACH-001280,-0.0180061878001
ACH-001283,-0.317488228491
ACH-001289,-0.319775104214
ACH-001295,-0.204865273303
ACH-001300,-0.359236177493
ACH-001301,-0.35339758753899997
ACH-001302,-0.49594473436399994
ACH-001303,-0.280755361483
ACH-001306,-0.384611434146
ACH-001318,-0.41363849776999995
ACH-001322,-0.5124333040569999
ACH-001328,-0.270604969365
ACH-001332,-0.29951959135
ACH-001333,-0.476559219017
ACH-001336,-0.359484247218
ACH-001340,-0.228663355403
ACH-001346,-0.46479073922200004
ACH-001353,-0.388629324512
ACH-001354,-0.258106287321
ACH-001367,-0.561866477217
ACH-001368,-0.376247038266
ACH-001374,-0.00749943993926
ACH-001375,-0.22424468516600002
ACH-001377,-0.315058722854
ACH-001380,-0.367574201497
ACH-001391,-0.198519755853
ACH-001407,-0.47593034281900004
ACH-001408,-0.348473575936
ACH-001413,-0.14458255504599998
ACH-001430,-0.27841592664500003
ACH-001431,-0.239765576486
ACH-001450,-0.382187216645
ACH-001496,-0.38211559743
ACH-001500,-0.5910021457729999
ACH-001521,-0.284187599532
ACH-001523,-0.024481303008300002
ACH-001532,-0.337728621321
ACH-001536,-0.126744843101
ACH-001550,-0.0957605080801
ACH-001552,-0.351537142371
ACH-001554,-0.38946753182599997
ACH-001645,-0.08050566344539999
ACH-001654,-0.258532816611
ACH-001715,-0.524389903873
ACH-001735,-0.311315874046
ACH-001736,-0.197756256243
ACH-001737,-0.00261128928587
ACH-001740,-0.35147621081299996
ACH-001745,-0.400863158006
ACH-001750,-0.172900819055
ACH-001765,-0.213998745332
ACH-001956,-0.199549060502
ACH-001957,-0.17799943660999998
