,LRRC8E (80131)
ACH-000004,-0.39321214088
ACH-000007,-0.0771446607305
ACH-000009,-0.034620875345300006
ACH-000011,-0.10531929120200001
ACH-000012,-0.11522201877699999
ACH-000013,-0.222795144366
ACH-000014,-0.229744068782
ACH-000015,-0.25299177459000005
ACH-000017,-0.144302323262
ACH-000018,-0.20718265909699998
ACH-000019,-0.0673239564866
ACH-000021,-0.222131098088
ACH-000022,-0.127883643114
ACH-000025,-0.215765201228
ACH-000028,-0.148502678462
ACH-000030,-0.12390056950600001
ACH-000035,-0.0867414450904
ACH-000036,-0.237909809474
ACH-000037,-0.07956808337889999
ACH-000039,0.13931379493899998
ACH-000040,-0.07351388057689999
ACH-000041,-0.247066598809
ACH-000042,-0.066818912814
ACH-000045,-0.191814909491
ACH-000047,-0.310500229313
ACH-000052,-0.149694288864
ACH-000053,-0.0947830021191
ACH-000054,-0.258763344366
ACH-000055,-0.1611634873
ACH-000060,0.014209992707200001
ACH-000067,-0.43061923473999997
ACH-000070,-0.156855808787
ACH-000075,0.23976771748000003
ACH-000078,0.0660542191596
ACH-000082,-0.20625053966499998
ACH-000085,-0.09728835745789999
ACH-000086,-0.21863035669599998
ACH-000087,-0.33840459489299995
ACH-000092,-0.18874859356899998
ACH-000095,-0.116377811686
ACH-000097,-0.055530969183900006
ACH-000098,-0.336172381558
ACH-000099,-0.00992061772071
ACH-000108,-0.10932779173599999
ACH-000113,-0.156234653097
ACH-000115,-0.215142761641
ACH-000116,-0.0339593827193
ACH-000118,-0.129992406975
ACH-000120,-0.17656817101599998
ACH-000123,-0.045612569635199995
ACH-000127,-0.216762409373
ACH-000128,-0.08272031614639999
ACH-000132,-0.202341271497
ACH-000133,-0.153176456513
ACH-000137,-0.175555065925
ACH-000138,-0.054225001852699996
ACH-000142,-0.266696593607
ACH-000143,-0.41825259507
ACH-000146,-0.053746223303300006
ACH-000148,-0.0031974075870800003
ACH-000150,-0.108744380207
ACH-000152,0.00049256848889
ACH-000153,-0.0515327852877
ACH-000159,-0.0725199803521
ACH-000160,-0.103742457851
