,IL1RL1 (9173)
ACH-000262,0.11510051950099999
ACH-000263,0.329117911807
ACH-000264,0.15716015047
ACH-000265,-0.0173201730789
ACH-000266,0.0971854349737
ACH-000272,-0.0904108267093
ACH-000273,0.141837888754
ACH-000274,0.180711393193
ACH-000277,0.129897976745
ACH-000278,0.15878786444499998
ACH-000279,0.165294849421
ACH-000280,0.125461777329
ACH-000281,0.197496925376
ACH-000288,0.0611282681912
ACH-000291,0.017538699368
ACH-000293,0.133899883583
ACH-000294,-0.00367558874158
ACH-000295,-0.0703010901827
ACH-000296,0.20554684459199998
ACH-000302,0.13234902008
ACH-000304,-0.049530788626300004
ACH-000307,0.176210154028
ACH-000308,0.047467403022099994
ACH-000310,-0.011993605705600001
ACH-000311,0.015388533200700001
ACH-000312,0.139075627418
ACH-000315,0.18849736982999998
ACH-000316,0.069128413371
ACH-000317,0.099559147081
ACH-000318,-0.00383942245834
ACH-000319,0.045173623569599995
ACH-000320,-0.0474176715623
ACH-000322,0.162748517102
ACH-000323,0.259070097798
ACH-000324,0.07237748837789999
ACH-000329,0.025211033471
ACH-000330,0.0429302301217
ACH-000331,0.247476238354
ACH-000332,0.139290501591
ACH-000334,-0.0550450369816
ACH-000335,0.166395337027
ACH-000336,0.0914560324052
ACH-000337,0.178852394141
ACH-000339,0.046449853143800006
ACH-000341,0.0351978408554
ACH-000348,0.07512619910889999
ACH-000350,0.0949822863163
ACH-000352,0.115771751603
ACH-000356,0.21635934333700002
ACH-000361,0.054365343431599995
ACH-000362,-0.0722591341805
ACH-000363,0.165503264022
ACH-000364,0.153964482017
ACH-000365,0.100213529908
ACH-000366,0.19747394311299998
ACH-000368,0.102523239111
ACH-000374,0.109902625267
ACH-000375,0.179451727
ACH-000376,0.14260155782
ACH-000381,0.0868504020692
ACH-000383,0.0971286045912
ACH-000387,0.0830287620313
ACH-000389,0.181245375572
ACH-000390,0.0713934447615
ACH-000393,0.0828828049658
ACH-000395,0.024420359035999997
ACH-000397,0.19608006120299998
ACH-000401,-0.00649413576443
ACH-000402,0.06640742660019999
ACH-000403,0.13791206442600001
ACH-000404,0.256076256734
ACH-000406,0.06793966297199999
ACH-000407,0.125687450097
ACH-000408,0.0932788909241
ACH-000410,0.116680417291
ACH-000411,0.0805530968222
ACH-000414,0.0568216841878
ACH-000415,0.0724709064347
