,KCNK4 (50801)
ACH-000004,-0.30070832943799997
ACH-000007,-0.441623183507
ACH-000009,-0.325078882956
ACH-000011,-0.7270924702830001
ACH-000012,-0.354595999683
ACH-000013,-0.46755305603200004
ACH-000014,-0.22643419593400002
ACH-000015,-0.271871056173
ACH-000017,-0.434316124063
ACH-000018,-0.528163884814
ACH-000019,-0.576724604547
ACH-000021,-0.466775923182
ACH-000022,-0.241958991637
ACH-000025,-0.447623081544
ACH-000028,-0.45528994318599997
ACH-000030,-0.423368662186
ACH-000035,-0.338496677536
ACH-000036,-0.589134843589
ACH-000037,-0.39444544179700003
ACH-000039,-0.572284107393
ACH-000040,-0.35798555891
ACH-000041,-0.3943090679
ACH-000042,-0.373049934274
ACH-000045,-0.651154573034
ACH-000047,-0.45067375704499996
ACH-000052,-0.312308486719
ACH-000053,-0.418985389642
ACH-000054,-0.39824796545900004
ACH-000055,-0.441451763619
ACH-000060,-0.305837825312
ACH-000067,-0.36384585748899995
ACH-000070,-0.189331663827
ACH-000075,-0.496151534777
ACH-000078,-0.43177896312799996
ACH-000082,-0.47837590253999995
ACH-000085,-0.7895291103759999
ACH-000086,-0.39152588089100004
ACH-000087,-0.365459716968
ACH-000092,-0.354583696655
ACH-000095,-0.401287337653
ACH-000097,-0.237254973869
ACH-000098,-0.36965465146
ACH-000099,-0.325182944476
ACH-000108,-0.44160412450400005
ACH-000113,-0.39850580824500004
ACH-000115,-0.482602797288
ACH-000116,-0.364431860361
ACH-000118,-0.503908554562
ACH-000120,-0.393959548366
ACH-000123,-0.407526764172
ACH-000127,-0.37507608303999995
ACH-000128,-0.27196621613899996
ACH-000132,-0.21350990178399998
ACH-000133,-0.369609282064
ACH-000137,-0.654665022446
ACH-000138,-0.45695783237800003
ACH-000142,-0.378108471879
ACH-000143,-0.639844235822
ACH-000146,-0.276831509993
ACH-000148,-0.39102062559699996
ACH-000150,-0.408331097162
ACH-000152,-0.34825427945
ACH-000153,-0.40691424534599996
ACH-000159,-0.22155355914299998
ACH-000160,-0.548156726951
ACH-000163,-0.423505655684
ACH-000167,-0.3107957774
ACH-000168,-0.38849387861699997
ACH-000169,-0.325018982244
ACH-000178,-0.201569513187
ACH-000182,-0.402373924504
ACH-000183,-0.311956814257
ACH-000188,-0.458814518452
ACH-000189,-0.676741265174
ACH-000190,-0.571868204914
ACH-000198,-0.395007631096
ACH-000204,-0.233310921934
ACH-000206,-0.445391554173
ACH-000207,-0.43283261608900003
ACH-000211,-0.256274740437
ACH-000215,-0.354287991096
ACH-000221,-0.289873688387
ACH-000222,-0.369983311948
ACH-000223,-0.38820138439
ACH-000226,-0.48486577994900004
ACH-000227,-0.28190954717300004
ACH-000228,-0.606588539617
ACH-000231,-0.38375623566100003
ACH-000232,-0.292077986907
ACH-000233,-0.403144729391
ACH-000234,-0.581747048318
ACH-000235,-0.388408147881
ACH-000237,-0.40713163433399996
ACH-000238,-0.507552546809
ACH-000243,-0.186117642835
ACH-000244,-0.35747291132299996
ACH-000246,-0.212830893407
ACH-000248,-0.23338956276099998
ACH-000250,-0.336348740824
ACH-000251,-0.396543327874
ACH-000253,-0.295824984062
ACH-000255,-0.54444945932
ACH-000256,-0.779720971518
ACH-000257,-0.0999304932229
ACH-000258,-0.108565716501
ACH-000259,-0.373221799688
ACH-000260,-0.465223546858
ACH-000261,-0.421094467825
ACH-000262,-0.4658327743
ACH-000263,-0.427222738302
ACH-000264,-0.382145138162
ACH-000265,-0.33887301174900003
ACH-000266,-0.29919106060199996
ACH-000272,-0.21315783872699998
ACH-000273,-0.530135104654
ACH-000274,-0.193257526621
ACH-000277,-0.15349670569499999
ACH-000278,-0.34275542180299995
ACH-000279,-0.367341341166
ACH-000280,-0.446923516526
ACH-000281,-0.464000100677
ACH-000288,-0.317723062947
ACH-000291,-0.221328889626
ACH-000293,-0.0737499879876
ACH-000294,-0.423597776645
ACH-000295,-0.41591561016
ACH-000296,-0.544399444034
ACH-000302,-0.34074117077200006
ACH-000304,-0.167673774455
ACH-000307,-0.339089594031
ACH-000308,-0.503982556872
ACH-000310,-0.445539141769
ACH-000311,-0.32619522999899997
ACH-000312,-0.257952013175
ACH-000315,-0.267720035682
ACH-000316,-0.692678177272
ACH-000317,-0.41036433933
ACH-000318,-0.629065630005
ACH-000319,-0.25921885518000004
ACH-000320,-0.269392537372
ACH-000322,-0.579859176729
ACH-000323,-0.413508658631
ACH-000324,-0.325423189931
ACH-000329,-0.328121909912
ACH-000330,-0.42955114632799996
ACH-000331,-0.150665008387
ACH-000332,-0.466625923507
ACH-000334,-0.506616671229
ACH-000335,-0.0484228930719
ACH-000336,-0.421719471945
ACH-000337,-0.461141086049
ACH-000339,-0.36878707731399996
ACH-000341,-0.478040124891
ACH-000348,-0.289319868787
ACH-000350,-0.243305778398
ACH-000352,-0.278182309399
ACH-000356,-0.44576795115
ACH-000361,-0.63184409828
ACH-000362,-0.41450344317800003
ACH-000363,-0.367770160477
ACH-000364,-0.534471708578
ACH-000365,-0.40898404654200005
ACH-000366,-0.530420298179
ACH-000368,-0.318802390819
ACH-000374,-0.46786492680799996
ACH-000375,-0.302851264487
ACH-000376,-0.579482498812
ACH-000381,-0.565188415218
ACH-000383,-0.41834788100500003
ACH-000387,-0.329594288536
ACH-000389,-0.35789499394599994
ACH-000390,-0.36354983726999995
ACH-000393,-0.17868188205899999
ACH-000395,-0.56909000211
ACH-000397,-0.273044618683
ACH-000401,-0.444951478514
ACH-000402,-0.0441260785752
ACH-000403,-0.367559310297
ACH-000404,-0.330303816822
ACH-000406,-0.40584800980700003
ACH-000407,-0.196644036579
ACH-000408,-0.6963416051569999
ACH-000410,-0.416289131884
ACH-000411,-0.30843406714099997
ACH-000414,-0.301779349809
ACH-000415,-0.5481431339280001
ACH-000416,-0.338082317911
ACH-000420,-0.477073112729
ACH-000421,-0.27799393931
ACH-000424,-0.487468912876
ACH-000425,-0.35844846985
ACH-000426,-0.136213120897
ACH-000427,-0.215609113372
ACH-000433,-0.452262214165
ACH-000436,-0.7033650556059999
ACH-000444,-0.339745825623
ACH-000445,-0.40728228468500005
ACH-000448,-0.260228233562
ACH-000450,-0.6593463030160001
ACH-000452,-0.41097994442900004
ACH-000454,-0.53275405455
ACH-000458,-0.370537851779
ACH-000459,-0.28596506663800003
ACH-000460,-0.387509748459
ACH-000461,-0.53329774368
ACH-000463,-0.395096203598
ACH-000464,-0.892855163387
ACH-000466,-0.198341189829
ACH-000467,-0.256619566221
ACH-000468,-0.457889525347
ACH-000469,-0.39772632606799996
ACH-000470,-0.6045651206780001
ACH-000471,-0.5009896726399999
ACH-000472,-0.307904692237
ACH-000473,-0.34280102115999994
ACH-000475,-0.300107101955
ACH-000476,-0.390704951098
ACH-000477,0.014648781776999999
ACH-000480,-0.284740204417
ACH-000481,-0.339981280417
ACH-000483,-0.183016969571
ACH-000484,-0.202273612128
ACH-000485,-0.42745214829800005
ACH-000486,-0.499062314534
ACH-000487,-0.425518517214
ACH-000488,-0.409518668312
ACH-000490,-0.384769522284
ACH-000491,-0.451875335671
ACH-000495,-0.468478036902
ACH-000496,-0.398480203721
ACH-000499,-0.597212313391
ACH-000500,-0.662290916884
ACH-000502,-0.413330759129
ACH-000503,-0.281422410699
ACH-000505,-0.296901489581
ACH-000507,-0.47333037887100005
ACH-000510,-0.422986791673
ACH-000511,-0.42762994040200003
ACH-000512,-0.854801105626
ACH-000516,-0.407925912968
ACH-000517,-0.395886010376
ACH-000518,-0.38578163878300004
ACH-000520,-0.425227598775
ACH-000521,-0.181188550192
ACH-000522,-0.36404861166999997
ACH-000524,-0.407393949129
ACH-000527,-0.292670465262
ACH-000528,-0.40844634322800005
ACH-000537,-0.23478416385200002
ACH-000541,-0.48355100151
ACH-000542,-0.35071624354000003
ACH-000544,-0.592795009507
ACH-000545,-0.539958974988
ACH-000547,-0.028756803591200003
ACH-000548,-0.507121927891
ACH-000549,-0.541239744532
ACH-000550,-0.104406851165
ACH-000552,-0.34273899331299995
ACH-000556,-0.387475054909
ACH-000557,-0.409547315255
ACH-000570,-0.527784324139
ACH-000571,-0.34586714262699997
ACH-000573,-0.250267099231
ACH-000576,-0.328825644337
ACH-000580,-0.478903945158
ACH-000584,-0.37878791894599995
ACH-000585,-0.40669486790799997
ACH-000588,-0.543639063355
ACH-000589,-0.276748619902
ACH-000591,-0.119631265285
ACH-000593,-0.47032944063500004
ACH-000600,-0.654151058611
ACH-000601,-0.328419091625
ACH-000604,-0.6466136900280001
ACH-000605,-0.384607004147
ACH-000606,-0.424744072031
ACH-000608,-0.495678090803
ACH-000614,-0.597420119835
ACH-000616,-0.403937624076
ACH-000618,-0.47122368890199995
ACH-000619,-0.694170634107
ACH-000620,-0.325433365044
ACH-000621,-0.370156376182
ACH-000622,-0.251957718286
ACH-000623,-0.406634726999
ACH-000624,-0.316481563274
ACH-000627,-0.112856276077
ACH-000630,-0.400828389844
ACH-000632,-0.35113413368100005
ACH-000633,-0.254891199635
ACH-000637,-0.5442453557320001
ACH-000638,-0.316459501111
ACH-000646,-0.154005677394
ACH-000647,-0.34148467882399997
ACH-000648,-0.255403292111
ACH-000649,-0.468268537667
ACH-000651,-0.474520050477
ACH-000652,-0.0330660178009
ACH-000653,-0.40401437299099996
ACH-000657,-0.38642044246299995
ACH-000658,-0.429344696622
ACH-000661,-0.410662890238
ACH-000662,-0.31641143461
ACH-000663,-0.430348742796
ACH-000665,-0.503237855846
ACH-000671,-0.5933385447789999
ACH-000673,-0.33746992627300004
ACH-000676,-0.37691510543300005
ACH-000677,-0.23722858897100002
ACH-000681,-0.46292835905699997
ACH-000682,-0.393264363001
ACH-000683,-0.476330748069
ACH-000684,-0.33853695424999997
ACH-000688,-0.218668015803
ACH-000693,-0.658034172425
ACH-000694,-0.405121445119
ACH-000695,-0.353813438489
ACH-000696,-0.405482652386
ACH-000697,-0.0685028636942
ACH-000699,-0.240897670614
ACH-000701,-0.376347126969
ACH-000706,-0.506667681029
ACH-000711,-0.45282924278700004
ACH-000713,-0.657651828233
ACH-000714,-0.22482930631499998
ACH-000718,-0.363814572259
