,FIG4 (9896)
ACH-000004,-0.21108863195500002
ACH-000007,-0.469091047972
ACH-000009,-0.16895388496199998
ACH-000011,-0.363184963458
ACH-000012,-0.07039275128330001
ACH-000013,-0.194580114441
ACH-000014,-0.236937375443
ACH-000015,-0.12824460500999998
ACH-000017,-0.36684266473000005
ACH-000018,-0.0835290621605
ACH-000019,0.05600176025359999
ACH-000021,-0.527883942401
ACH-000022,-0.26719367536
ACH-000025,-0.23583173896600002
ACH-000028,-0.095862379347
ACH-000030,-0.18676014213
ACH-000035,-0.24243056617400002
ACH-000036,-0.174921613037
ACH-000037,0.106887672013
ACH-000039,-0.30233513992
ACH-000040,-0.226335300897
ACH-000041,-0.17865944947999998
ACH-000042,-0.270701361821
ACH-000045,-0.0341033149776
ACH-000047,-0.385168238816
ACH-000052,-0.147816486839
ACH-000053,-0.119226628685
ACH-000054,-0.338303712895
ACH-000055,-0.0882103586221
ACH-000060,-0.18661638015299997
ACH-000067,-0.320500042748
ACH-000070,-0.34748464832500003
ACH-000075,-0.281981948556
ACH-000078,-0.23322339548700002
ACH-000082,-0.165362650971
ACH-000085,-0.607767580366
ACH-000086,-0.189076615361
ACH-000087,-0.288701003254
ACH-000092,-0.237034639034
ACH-000095,-0.171892031875
ACH-000097,-0.0626878295648
ACH-000098,-0.08749989869210001
ACH-000099,-0.414362815721
ACH-000108,-0.36967859282300003
ACH-000113,-0.188162463118
ACH-000115,-0.131762932939
ACH-000116,-0.42968929112599996
ACH-000118,-0.248559369029
ACH-000120,-0.257667319624
ACH-000123,-0.260544584034
ACH-000127,-0.130792560562
ACH-000128,-0.159768015564
ACH-000132,-0.28351077055999996
ACH-000133,-0.0515942030681
ACH-000137,-0.149543202173
ACH-000138,-0.721363940703
ACH-000142,-0.35847428353699995
ACH-000143,-0.297019267694
ACH-000146,-0.169072291751
ACH-000148,-0.170395633869
ACH-000150,-0.126017271467
ACH-000152,-0.0472175009248
ACH-000153,-0.317099112033
ACH-000159,-0.301191710797
ACH-000160,-0.477327268689
ACH-000163,0.0107582145047
ACH-000167,-0.14471149201
ACH-000168,0.00437938818968
ACH-000169,-0.34553701835999995
ACH-000178,-0.263190248314
ACH-000182,-0.560403465324
ACH-000183,-0.337754165844
ACH-000188,-0.653744264155
ACH-000189,-0.17841068336100002
ACH-000190,-0.192814890738
ACH-000198,-0.11392412574699999
ACH-000204,-0.272015978721
ACH-000206,-0.117597311885
ACH-000207,0.12364985034800001
ACH-000211,-0.38108631611999993
ACH-000215,-0.0805282656741
ACH-000221,-0.252051320993
ACH-000222,-0.170600061781
ACH-000223,-0.18513840149099997
ACH-000226,-0.0226296339697
ACH-000227,-0.36305814108400003
ACH-000228,-0.12458534647
ACH-000231,-0.11786605322999999
ACH-000232,-0.058101802609400004
ACH-000233,-0.327218094515
ACH-000234,-0.196396363933
ACH-000235,-0.12282514047
ACH-000237,-0.19346208106499999
ACH-000238,-0.291480099788
ACH-000243,0.102546710682
ACH-000244,-0.0636939244519
ACH-000246,-0.41537383313000004
ACH-000248,-0.472633363199
ACH-000250,-0.669394869345
ACH-000251,-0.338856759458
ACH-000253,-0.270180291625
ACH-000255,-0.0371419697243
ACH-000256,-0.311501446344
ACH-000257,-0.39803844205399996
ACH-000258,-0.24924723101799998
ACH-000259,-0.122922092671
ACH-000260,-0.11621378994300001
ACH-000261,-0.250576503303
ACH-000262,-0.134966385195
ACH-000263,-0.201488041926
ACH-000264,-0.152769869896
ACH-000265,-0.272058989839
ACH-000266,-0.26220508661499997
ACH-000272,-0.33272569935199997
ACH-000273,-0.154812387005
ACH-000274,-0.268700498451
ACH-000277,-0.206519027555
ACH-000278,-0.215054454345
ACH-000279,-0.24364484719700003
ACH-000280,-0.442329757127
ACH-000281,-0.00657500384505
ACH-000288,-0.0529442082835
ACH-000291,-0.0733540798074
ACH-000293,-0.266795661477
ACH-000294,-0.41400384464699996
ACH-000295,-0.48421442063600006
ACH-000296,-0.203056897588
ACH-000302,-0.218398956422
ACH-000304,-0.21167784455400002
ACH-000307,-0.271724881932
ACH-000308,-0.217728495807
ACH-000310,-0.371128274323
ACH-000311,-0.440583516275
ACH-000312,-0.184744275722
ACH-000315,-0.140590449235
ACH-000316,-0.152286082755
ACH-000317,-0.356736043521
ACH-000318,-0.0221621296742
ACH-000319,-0.0916870793131
ACH-000320,-0.37552619868000003
ACH-000322,-0.265715174396
ACH-000323,0.0865695008922
ACH-000324,-0.308989801479
ACH-000329,-0.085154181009
ACH-000330,-0.09044791121160001
ACH-000331,-0.0885450070338
ACH-000332,-0.0407491620997
ACH-000334,-0.340938888269
ACH-000335,-0.11159545794299999
ACH-000336,-0.11436759773800001
ACH-000337,-0.09384280101430001
ACH-000339,-0.441783946144
ACH-000341,-0.158040330656
ACH-000348,-0.18574662436500003
ACH-000350,-0.513410758279
ACH-000352,-0.215169021804
ACH-000356,-0.17857093278499997
ACH-000361,-0.265921861799
ACH-000362,-0.0963076339961
ACH-000363,-0.0484639572276
ACH-000364,-0.0853977221115
ACH-000365,-0.48395644705799995
ACH-000366,-0.192192944822
ACH-000368,-0.228779868142
ACH-000374,-0.144477221543
ACH-000375,-0.177270712266
ACH-000376,-0.159543608932
ACH-000381,-0.104862337484
ACH-000383,-0.22497160294799998
ACH-000387,-0.254911210694
ACH-000389,-0.48840147125100003
ACH-000390,-0.214574905333
ACH-000393,-0.228381968442
ACH-000395,-0.154800694855
ACH-000397,-0.388340801069
ACH-000401,-0.11249677943
ACH-000402,-0.010965756435100001
ACH-000403,-0.308601558088
ACH-000404,-0.336232193002
ACH-000406,-0.128428532496
ACH-000407,-0.245490145829
ACH-000408,-0.0288323690161
ACH-000410,-0.168756237078
ACH-000411,-0.12658191239
ACH-000414,-0.5549336917509999
ACH-000415,-0.339369816688
ACH-000416,-0.125051778525
ACH-000420,-0.332087681668
ACH-000421,-0.259051788045
ACH-000424,-0.033573716377
ACH-000425,-0.122436228478
ACH-000426,-0.231176598972
ACH-000427,-0.10775324843
ACH-000433,-0.064129509825
