,ITGA2B (3674)
ACH-000004,-0.148757045642
ACH-000007,-0.0601795517926
ACH-000009,-0.17213684464
ACH-000011,-0.20074416780999998
ACH-000012,-0.143819679759
ACH-000013,-0.321071133636
ACH-000014,-0.28279803451200003
ACH-000015,-0.20995794471
ACH-000017,-0.0941925324391
ACH-000018,-0.148137582477
ACH-000019,-0.0775582392027
ACH-000021,-0.196734943022
ACH-000022,-0.08908417697000001
ACH-000025,-0.335314067376
ACH-000028,-0.14719136088600002
ACH-000030,-0.350565737459
ACH-000035,-0.13131443077899999
ACH-000036,-0.207848381015
ACH-000037,-0.0404744321976
ACH-000039,-0.112678313493
ACH-000040,-0.267432886342
ACH-000041,-0.151613457814
ACH-000042,-0.29577604778
ACH-000045,-0.073921585942
ACH-000047,-0.196600514124
ACH-000052,-0.262267802898
ACH-000053,-0.17663592054699997
ACH-000054,-0.09642499329160001
ACH-000055,-0.258001556758
ACH-000060,-0.401693122688
ACH-000067,-0.37931791389200004
ACH-000070,-0.26063923393800004
ACH-000075,-0.288315279664
ACH-000078,-0.246632749112
ACH-000082,-0.161486622484
ACH-000085,-0.272314852176
ACH-000086,-0.279963817831
ACH-000087,-0.18634202718899998
ACH-000092,-0.291670289287
ACH-000095,-0.283951854666
ACH-000097,-0.237927566226
ACH-000098,-0.271536347187
ACH-000099,-0.17701651448
ACH-000108,-0.0890327588366
ACH-000113,-0.25990287348700003
ACH-000115,-0.257125334701
ACH-000116,-0.24836389321
ACH-000118,-0.188283077943
ACH-000120,-0.17078932212900003
ACH-000123,-0.301294871508
ACH-000127,-0.242099667661
ACH-000128,-0.251244115042
ACH-000132,-0.209248624474
ACH-000133,-0.223201338131
ACH-000137,-0.251942874001
ACH-000138,-0.419225686703
ACH-000142,-0.5318868795130001
ACH-000143,-0.24590122579799997
ACH-000146,-0.117920785327
ACH-000148,-0.33796450698700004
ACH-000150,-0.393440993921
ACH-000152,-0.42972376351
ACH-000153,-0.0894529968542
ACH-000159,0.106301559595
ACH-000160,-0.0972066975616
ACH-000163,-0.295882818593
ACH-000167,-0.583529699003
ACH-000168,-0.316003634668
ACH-000169,-0.21361561391699999
ACH-000178,-0.177361015161
ACH-000182,-0.24309909531800003
ACH-000183,-0.24766343133699997
ACH-000188,-0.24055321590599998
ACH-000189,-0.49657183650200004
ACH-000190,-0.22950103129500002
ACH-000198,-0.193246900658
ACH-000204,-0.0971311502363
ACH-000206,-0.178399900037
ACH-000207,-0.21755372037700002
ACH-000211,-0.443198027952
ACH-000215,-0.237196961941
ACH-000221,-0.199979090609
ACH-000222,-0.353726109522
ACH-000223,-0.23067287981600001
ACH-000226,-0.23799435586999998
ACH-000227,-0.351904324852
ACH-000228,-0.258832066975
ACH-000231,-0.32656823761
ACH-000232,-0.18848670363699999
ACH-000233,-0.269089375709
ACH-000234,-0.394188797792
ACH-000235,-0.27965474815200003
ACH-000237,-0.203231246122
ACH-000238,-0.449528947364
ACH-000243,-0.34019630582800003
ACH-000244,-0.5338255212340001
ACH-000246,-0.195979229908
ACH-000248,-0.301053919371
ACH-000250,-0.162605258487
ACH-000251,-0.483949018103
ACH-000253,-0.311743750732
ACH-000255,-0.237583619203
ACH-000256,-0.318821030574
ACH-000257,-0.00470185948404
ACH-000258,-0.15606486020500002
ACH-000259,-0.324971651882
ACH-000260,-0.282582728856
ACH-000261,-0.349436361924
ACH-000262,-0.295537161846
ACH-000263,-0.000345899521745
ACH-000264,-0.19999003357700001
ACH-000265,-0.27159707498
ACH-000266,-0.178484765071
ACH-000272,-0.164059182413
ACH-000273,-0.281234985096
ACH-000274,-0.403603297106
ACH-000277,-0.23280356245499997
ACH-000278,-0.154275069845
ACH-000279,-0.304169931058
ACH-000280,-0.26031177907200004
ACH-000281,-0.198701506402
ACH-000288,-0.488988262417
ACH-000291,-0.110618700011
ACH-000293,-0.43649996693800003
ACH-000294,-0.310969138758
ACH-000295,-0.294342358953
ACH-000296,-0.147559834407
ACH-000302,-0.21189914130399998
ACH-000304,-0.438584235305
ACH-000307,-0.224884395326
ACH-000308,-0.160530527806
ACH-000310,-0.43449778098999997
ACH-000311,-0.17360311660799999
ACH-000312,-0.33711298725100003
ACH-000315,-0.06884146767560001
ACH-000316,-0.310572083272
ACH-000317,0.014543314837
ACH-000318,-0.35525489954000006
ACH-000319,-0.300691610823
ACH-000320,-0.142235841093
ACH-000322,-0.367163079369
ACH-000323,-0.19711648703200002
ACH-000324,-0.25816735193100004
ACH-000329,-0.42975940922899997
ACH-000330,-0.0793326520702
ACH-000331,-0.26330742265900003
