,GANAB (23193)
ACH-000004,-0.458534286724
ACH-000007,-0.440740218499
ACH-000009,-0.449751809445
ACH-000011,-0.686111159129
ACH-000012,-0.118107939167
ACH-000013,-0.189415907391
ACH-000014,0.0687335083127
ACH-000015,-0.21798208032400002
ACH-000017,-0.270879789856
ACH-000018,-0.525226233178
ACH-000019,-0.181118179227
ACH-000021,-0.211994087117
ACH-000022,-0.141738002935
ACH-000025,-0.486416368927
ACH-000028,-0.23217450131099998
ACH-000030,-0.302850856125
ACH-000035,-0.24416996509
ACH-000036,-0.245865483556
ACH-000037,-0.33196719326499996
ACH-000039,-0.17676826699
ACH-000040,-0.115476480834
ACH-000041,-0.050874323896900005
ACH-000042,-0.60164014788
ACH-000045,0.32633653853300004
ACH-000047,-0.206242773558
ACH-000052,-0.495887029812
ACH-000053,0.069620917774
ACH-000054,-0.252718924526
ACH-000055,-0.35988066438
ACH-000060,-0.338702625215
ACH-000067,-0.132841673633
ACH-000070,-0.508932004824
ACH-000075,-0.256701368959
ACH-000078,-0.19931007105300003
ACH-000082,-0.46016223016
ACH-000085,-0.22503460726
ACH-000086,-0.5229884099350001
ACH-000087,-0.15659589446699998
ACH-000092,-0.5252044617880001
ACH-000095,-0.09986630246349999
ACH-000097,-0.166557481833
ACH-000098,-0.36308660376900004
ACH-000099,-0.509206691248
ACH-000108,-0.5985135281189999
ACH-000113,-0.474484724273
ACH-000115,-0.531458520576
ACH-000116,-0.215566970383
ACH-000118,-0.618578559061
ACH-000120,-0.210938357139
ACH-000123,-0.376868990835
ACH-000127,-0.38793406305
ACH-000128,-0.450785134934
ACH-000132,-0.542615966928
ACH-000133,-0.545803634532
ACH-000137,-0.261004215283
ACH-000138,-0.277025778244
ACH-000142,-0.262450464357
ACH-000143,-0.046849277865000004
ACH-000146,0.0772004289843
ACH-000148,-0.09990388455039999
ACH-000150,-0.658837416863
ACH-000152,-0.28236272772300003
ACH-000153,-0.477003406384
ACH-000159,0.114600513493
ACH-000160,-0.179799069302
ACH-000163,-0.261429663838
ACH-000167,-0.38866625867399995
ACH-000168,-0.275367082276
ACH-000169,-0.289409087934
ACH-000178,-0.619257336403
ACH-000182,-0.0405145575054
ACH-000183,-0.253802147376
ACH-000188,-0.407980591423
ACH-000189,-0.34600396135
ACH-000190,-0.31651961042800003
ACH-000198,0.164414360442
ACH-000204,-0.407389314138
ACH-000206,-0.383027135034
ACH-000207,-0.199327112262
ACH-000211,-0.385927798243
ACH-000215,-0.08983944513699998
ACH-000221,-0.12749715263
ACH-000222,-0.469387124559
ACH-000223,-0.25988520170400004
ACH-000226,-0.171112963143
ACH-000227,-0.40176479932
ACH-000228,-0.35873209467699996
ACH-000231,-0.21137261994800002
