,GTF2H2C (728340)
ACH-000004,-0.7070855050049999
ACH-000007,-0.560583731747
ACH-000009,-0.715442347835
ACH-000011,-0.7443336420129999
ACH-000012,-0.622954972403
ACH-000013,-0.7612581006
ACH-000014,-0.753983195415
ACH-000015,-0.807741809143
ACH-000017,-0.582010787256
ACH-000018,-0.590558375198
ACH-000019,-0.582910644972
ACH-000021,-0.685761944188
ACH-000022,-0.587645577124
ACH-000025,-0.639738774239
ACH-000028,-0.675101068238
ACH-000030,-0.705835145773
ACH-000035,-1.00384582719
ACH-000036,-0.680856399218
ACH-000037,-0.7797968936380001
ACH-000039,-0.794914073318
ACH-000040,-0.7467451597849999
ACH-000041,-0.898281846316
ACH-000042,-0.66209578633
ACH-000045,-0.596072651274
ACH-000047,-0.696699692642
ACH-000052,-0.782011388379
ACH-000053,-0.49390598116400003
ACH-000054,-0.657039653198
ACH-000055,-0.546966189454
ACH-000060,-0.6592112713930001
ACH-000067,-0.531428935179
ACH-000070,-0.780578966375
ACH-000075,-0.655513698046
ACH-000078,-0.771608163905
ACH-000082,-0.6156378393940001
ACH-000085,-0.578918810046
ACH-000086,-0.602380621051
ACH-000087,-0.691778429356
ACH-000092,-0.50457636312
ACH-000095,-0.675936292257
ACH-000097,-0.662103672507
ACH-000098,-0.895791519681
ACH-000099,-0.762115169903
ACH-000108,-0.849716428226
ACH-000113,-0.5390000661
ACH-000115,-0.62597432024
ACH-000116,-0.8229755412049999
ACH-000118,-0.642183760804
ACH-000120,-0.48322958232600005
ACH-000123,-0.544376295274
ACH-000127,-0.640667349018
ACH-000128,-0.8463142651710001
ACH-000132,-0.606383218984
ACH-000133,-0.623745449869
ACH-000137,-0.791234848671
ACH-000138,-0.7716672109909999
ACH-000142,-0.647898474265
ACH-000143,-0.5490767340899999
ACH-000146,-0.6428123609790001
ACH-000148,-0.6903005030339999
ACH-000150,-0.768731842313
ACH-000152,-0.690545849706
ACH-000153,-0.682486491674
ACH-000159,-0.636584741363
ACH-000160,-0.516294479126
ACH-000163,-0.772441974919
ACH-000167,-0.700822068706
ACH-000168,-0.7132539933859999
ACH-000169,-0.65836475442
ACH-000178,-0.680679946038
