,PTGER3 (5733)
ACH-000004,-0.666357456102
ACH-000007,-0.13730279310000001
ACH-000009,-0.167639197591
ACH-000011,-0.26555857837499997
ACH-000012,-0.14862055054099998
ACH-000013,-0.242860662694
ACH-000014,-0.13548788215500002
ACH-000015,-0.21246283275800001
ACH-000017,-0.0556357711645
ACH-000018,-0.485155475771
ACH-000019,-0.496036539961
ACH-000021,-0.43287399954899997
ACH-000022,-0.431980601531
ACH-000025,-0.339236083903
ACH-000028,-0.135878890686
ACH-000030,-0.268229652214
ACH-000035,-0.377286257853
ACH-000036,-0.231646397601
ACH-000037,-0.354607239798
ACH-000039,-0.41139478187
ACH-000040,-0.239871333548
ACH-000041,-0.23744733624400002
ACH-000042,0.0286670175765
ACH-000045,-0.160218085106
ACH-000047,-0.0202020128434
ACH-000052,-0.277235830438
ACH-000053,-0.18701804774
ACH-000054,-0.24991217259799997
ACH-000055,-0.403674090317
ACH-000060,-0.191954319985
ACH-000067,-0.131265582518
ACH-000070,-0.293659316127
ACH-000075,-0.203888073204
ACH-000078,-0.433746838069
ACH-000082,-0.198492826235
ACH-000085,-0.227551114817
ACH-000086,-0.387511294481
ACH-000087,-0.320148987876
ACH-000092,-0.453046976301
ACH-000095,-0.221524123583
ACH-000097,-0.131521565846
ACH-000098,-0.252292245649
ACH-000099,-0.132917814212
ACH-000108,-0.265150791447
ACH-000113,-0.140087939568
ACH-000115,-0.284098979885
ACH-000116,-0.11338869918099999
ACH-000118,-0.20170236199900002
ACH-000120,-0.364999405556
ACH-000123,-0.0334881896013
ACH-000127,-0.261092632354
ACH-000128,-0.160885302614
ACH-000132,-0.297875811271
ACH-000133,-0.342672549823
ACH-000137,-0.6159969505489999
ACH-000138,-0.13920405170999997
ACH-000142,-0.342476774249
ACH-000143,-0.292796346128
ACH-000146,-0.14846087112
ACH-000148,-0.13372746635500002
ACH-000150,-0.281246944823
ACH-000152,-0.281331742388
ACH-000153,0.252209025305
ACH-000159,-0.292650823753
ACH-000160,-0.350783682512
ACH-000163,-0.0642865088949
ACH-000167,-0.133758068143
ACH-000168,-0.168089308261
ACH-000169,-0.162750732502
ACH-000178,-0.26013374894499997
ACH-000182,-0.100874477696
ACH-000183,-0.377656849429
ACH-000188,-0.258168888102
ACH-000189,-0.17580474660599998
ACH-000190,-0.296466527443
ACH-000198,-0.19137372137000003
ACH-000204,-0.43989431876900004
ACH-000206,-0.666156676108
ACH-000207,-0.465303366949
ACH-000211,-0.0999394989617
ACH-000215,-0.284303047926
ACH-000221,-0.378265820239
ACH-000222,0.019044218869000002
ACH-000223,-0.40103680663
ACH-000226,-0.306288412131
ACH-000227,-0.0982544019496
ACH-000228,-0.15471541626
ACH-000231,-0.207563062932
ACH-000232,-0.24406801886799998
ACH-000233,-0.0628741943907
ACH-000234,-0.147913079561
ACH-000235,-0.204158175026
ACH-000237,-0.34786271102399996
ACH-000238,-0.44963459611400003
ACH-000243,-0.167722399958
ACH-000244,-0.262853804812
ACH-000246,-0.32502629408100003
ACH-000248,-0.154536163405
ACH-000250,-0.135144125433
ACH-000251,-0.29902323837
ACH-000253,-0.234468518599
ACH-000255,-0.227645150449
ACH-000256,-0.215144839074
ACH-000257,-0.325951532895
ACH-000258,0.149925572621
ACH-000259,-0.293085492543
ACH-000260,-0.324619438869
ACH-000261,-0.280619596553
ACH-000262,-0.246818373968
ACH-000263,-0.588359569349
ACH-000264,-0.280976392852
ACH-000265,-0.344034060226
ACH-000266,-0.173113409021
ACH-000272,-0.221175947572
ACH-000273,-0.314151399388
ACH-000274,-0.309461243199
ACH-000277,-0.239228325893
ACH-000278,-0.430983478016
ACH-000279,-0.479180880524
ACH-000280,-0.33390788699
ACH-000281,-0.0171832269945
ACH-000288,-0.260954262338
ACH-000291,-0.214297214086
ACH-000293,-0.127474401376
ACH-000294,-0.0416030173134
ACH-000295,-0.241828489742
ACH-000296,-0.118665649209
ACH-000302,-0.340943726069
ACH-000304,-0.365043571711
ACH-000307,-0.166240745569
ACH-000308,-0.177287235126
ACH-000310,-0.45655241752400005
ACH-000311,-0.280454581276
ACH-000312,-0.0960669151677
ACH-000315,0.203702832223
ACH-000316,-0.17698748343499998
ACH-000317,-0.299227909824
ACH-000318,-0.32622557120400003
ACH-000319,-0.34756944081299995
ACH-000320,-0.50246120699
