,RETSAT (54884)
ACH-000004,-0.05287974760419999
ACH-000007,-0.100618481127
ACH-000009,-0.217130709682
ACH-000011,-0.160980327126
ACH-000012,-0.122595111689
ACH-000013,-0.210305186895
ACH-000014,-0.16432228804000001
ACH-000015,-0.020204409419
ACH-000017,-0.0644039443029
ACH-000018,-0.131387553504
ACH-000019,-0.179153770659
ACH-000021,-0.31217649134500003
ACH-000022,-0.175662313546
ACH-000025,-0.016884056205
ACH-000028,-0.152642087566
ACH-000030,-0.173460607042
ACH-000035,-0.315589658155
ACH-000036,-0.259469584184
ACH-000037,-0.19619165986900003
ACH-000039,-0.10490806220799999
ACH-000040,-0.0786277766878
ACH-000041,-0.137763307133
ACH-000042,-0.27745270053000004
ACH-000045,-0.044718670751
ACH-000047,0.09072484771360001
ACH-000052,-0.187878839569
ACH-000053,-0.268206863771
ACH-000054,-0.21995220495099999
ACH-000055,-0.24836411757100002
ACH-000060,-0.00357677690765
ACH-000067,-0.212035361038
ACH-000070,-0.07253796687260002
ACH-000075,-0.35141176986699996
ACH-000078,-0.276435696498
ACH-000082,-0.0193899005457
ACH-000085,-0.163901879237
ACH-000086,-0.114989727081
ACH-000087,-0.547443565222
ACH-000092,-0.554422888483
ACH-000095,-0.0531549341789
ACH-000097,-0.218700672318
ACH-000098,-0.149101826741
ACH-000099,-0.0577389146525
ACH-000108,-0.15915343895700002
ACH-000113,-0.165940610863
ACH-000115,-0.0245739335764
ACH-000116,-0.104917249003
ACH-000118,-0.17636937517700002
ACH-000120,-0.045912819874800004
ACH-000123,-0.317958626225
ACH-000127,-0.285339594666
ACH-000128,-0.0247474727206
ACH-000132,-0.00826596389558
ACH-000133,-0.298008481115
ACH-000137,0.0559103615063
ACH-000138,-0.015404751505799999
ACH-000142,-0.18228225303800002
ACH-000143,-0.134303140371
ACH-000146,-0.148598781526
ACH-000148,-0.0163603615738
ACH-000150,-0.330365082865
ACH-000152,-0.306262220123
ACH-000153,-0.00919923683242
ACH-000159,-0.16286794319
ACH-000160,-0.103885416151
ACH-000163,-0.322143998494
ACH-000167,-0.263044035213
ACH-000168,-0.158980888211
ACH-000169,-0.116641169068
ACH-000178,-0.20931284767299999
ACH-000182,-0.0824526766394
ACH-000183,-0.18503254682700002
ACH-000188,-0.202941643091
ACH-000189,-0.272132459962
ACH-000190,-0.254956386243
ACH-000198,-0.215495157436
ACH-000204,-0.044398511031900005
ACH-000206,-0.0649925305546
ACH-000207,-0.136223700413
ACH-000211,-0.255325626982
ACH-000215,-0.148745018866
ACH-000221,-0.104936400987
ACH-000222,-0.17409041130199998
ACH-000223,-0.39423454231399996
ACH-000226,-0.257255007588
ACH-000227,-0.24582700855099998
ACH-000228,-0.423108470873
ACH-000231,-0.15875336668
ACH-000232,-0.16015161526
ACH-000233,-0.15064374790899998
ACH-000234,0.042400919906800005
ACH-000235,-0.049883447659
ACH-000237,-0.36900099820200005
ACH-000238,-0.157225563957
ACH-000243,-0.160000825288
ACH-000244,0.0336491186713
ACH-000246,-0.026793563939099995
ACH-000248,-0.0780180190186
ACH-000250,-0.0785053337039
ACH-000251,-0.286604399932
ACH-000253,-0.179089593233
ACH-000255,-0.13268656379000002
ACH-000256,-0.267822627252
ACH-000257,-0.11528853731699999
ACH-000258,0.0393107607816
ACH-000259,-0.129092851486
ACH-000260,-0.137267365844
ACH-000261,-0.138107994831
ACH-000262,-0.331589935117
ACH-000263,-0.11522866699100001
ACH-000264,-0.153291523737
ACH-000265,-0.173251480066
ACH-000266,-0.111557681649
ACH-000272,-0.392458289608
ACH-000273,-0.247738446813
ACH-000274,-0.08183246153580001
ACH-000277,-0.0889527047982
ACH-000278,-0.225619939747
ACH-000279,-0.237684786811
ACH-000280,-0.137589922617
ACH-000281,-0.14297369614299998
ACH-000288,-0.302730854088
ACH-000291,-0.13165534249299998
ACH-000293,-0.35449198509499996
ACH-000294,-0.08558862156260001
ACH-000295,-0.15139714349199998
ACH-000296,-0.424125914515
ACH-000302,-0.09083023015349999
ACH-000304,-0.240254182483
ACH-000307,-0.133095735541
ACH-000308,-0.10015093042
ACH-000310,-0.1159764806
ACH-000311,-0.126015962816
ACH-000312,-0.220622556264
ACH-000315,-0.249109575533
ACH-000316,-0.0445487376828
ACH-000317,-0.0819088442712
ACH-000318,-0.424332573839
ACH-000319,-0.11015685357899999
ACH-000320,-0.17812953690299999
ACH-000322,-0.155426899945
ACH-000323,-0.231795376236
ACH-000324,-0.10461392240700002
ACH-000329,-0.042562128690099996
ACH-000330,-0.232786370352
ACH-000331,-0.2397641014
ACH-000332,-0.0463955720041
ACH-000334,-0.159100139023
ACH-000335,-0.358468160026
ACH-000336,-0.176306259914
ACH-000337,-0.0151797564417
ACH-000339,-0.0821386404587
ACH-000341,-0.310983455252
ACH-000348,-0.0770946466844
ACH-000350,-0.130711364522
ACH-000352,-0.14611279032
ACH-000356,-0.059660347347499997
ACH-000361,0.034189008540599995
ACH-000362,-0.230600927672
ACH-000363,-0.0088118828963
ACH-000364,-0.120227346195
