,RNF145 (153830)
ACH-000463,-0.2544775755
ACH-000464,-0.215305745101
ACH-000466,-0.0499246028704
ACH-000467,-0.153450477094
ACH-000468,-0.44561633881499996
ACH-000469,-0.303850526749
ACH-000470,-0.187852898792
ACH-000471,-0.273072225449
ACH-000472,-0.119299107888
ACH-000473,-0.0232218804421
ACH-000475,-0.121042643401
ACH-000476,-0.245359942047
ACH-000477,-0.24308240162500003
ACH-000480,0.006281790001180001
ACH-000481,-0.40710547663900004
ACH-000483,-0.48017097055
ACH-000484,-0.299591833082
ACH-000485,-0.202729470842
ACH-000486,0.00659737316105
ACH-000487,-0.00897864495878
ACH-000488,-0.057117138954300005
ACH-000490,-0.243508263645
ACH-000491,-0.475406516563
ACH-000495,-0.577537508487
ACH-000496,-0.50392929873
ACH-000499,-0.212637347217
ACH-000500,-0.4332654302100001
ACH-000502,-0.053866804400199995
ACH-000503,-0.540390960484
ACH-000505,-0.172819927205
ACH-000507,-0.258887624147
ACH-000510,-0.39450135762500005
ACH-000511,-0.25835889531
ACH-000512,-0.0653966353091
ACH-000516,-0.190871698685
ACH-000517,-0.37716295937399996
ACH-000518,-0.0953046201042
ACH-000520,-0.33881412357600005
ACH-000521,-0.413943020094
ACH-000522,-0.512597637382
ACH-000524,-0.296743555876
ACH-000527,-0.315259621917
ACH-000528,-0.177878786374
ACH-000537,0.0653079198419
ACH-000541,-0.484576053969
ACH-000542,-0.496281623199
ACH-000544,-0.35230689576700003
ACH-000545,-0.179023087069
ACH-000547,0.10806125612800001
ACH-000548,-0.203432881959
ACH-000549,0.165285663259
ACH-000550,-0.16524895125800002
ACH-000552,-0.060933170339
ACH-000556,0.118934733542
ACH-000557,0.00185463491381
ACH-000570,-0.458710763498
ACH-000571,-0.554520831814
ACH-000573,-0.272651685397
ACH-000576,0.149250232373
ACH-000580,-0.217214353764
ACH-000584,-0.144962791382
ACH-000585,-0.182542882365
ACH-000588,-0.0790833555844
ACH-000589,-0.038754273641900004
ACH-000591,-0.23975961845899998
ACH-000593,-0.279639068777
ACH-000600,-0.344595285036
ACH-000601,-0.112693644729
ACH-000604,-0.23303717128899998
ACH-000605,-0.253017917514
ACH-000606,-0.298254736247
ACH-000608,-0.31828435579799996
ACH-000614,-0.169426650861
ACH-000616,-0.142598721574
ACH-000618,-0.11984550555199999
ACH-000619,-0.0623332550514
ACH-000620,-0.39304579112300003
ACH-000621,-0.253419266563
ACH-000622,-0.32567068293900003
ACH-000623,-0.147925021317
ACH-000624,-0.437236406954
ACH-000627,-0.23425231472600003
ACH-000630,-0.10954639695900001
ACH-000632,-0.620778233825
ACH-000633,0.025038448199400005
ACH-000637,-0.277712807222
ACH-000638,-0.41826919054300005
ACH-000646,-0.0613196581108
ACH-000647,-0.36730764806
ACH-000648,-0.293659862052
ACH-000649,-0.498571103193
ACH-000651,-0.207037839006
ACH-000652,0.00279688636628
ACH-000653,-0.112986791059
ACH-000657,-0.255367430583
ACH-000658,0.0123659443211
ACH-000661,-0.0548192429797
ACH-000662,-0.09081997568389999
ACH-000663,-0.275900167463
ACH-000665,-0.28670668544399996
ACH-000671,-0.361450736514
ACH-000673,-0.118042007523
ACH-000676,-0.0663333882799
ACH-000677,-0.40818236577100003
ACH-000681,-0.153404036997
ACH-000682,-0.246553368145
ACH-000683,-0.133553147094
ACH-000684,-0.392296026583
ACH-000688,-0.17492799216899999
ACH-000693,-0.17640743377
ACH-000694,-0.300902040579
ACH-000695,-0.104476696443
ACH-000696,-0.13973276254
ACH-000697,-0.182080036216
ACH-000699,-0.243978126665
ACH-000701,0.0770254269862
ACH-000706,-0.154369862482
ACH-000711,-0.20828005269000002
ACH-000713,-0.24798545203000003
ACH-000714,0.024230675646700003
ACH-000718,-0.0858017560456
ACH-000720,-0.23365892062899998
ACH-000721,-0.37907989108999995
ACH-000724,0.0760932322276
ACH-000725,-0.140064813457
ACH-000732,-0.125324635055
ACH-000734,-0.119215913861
ACH-000735,-0.09847938299069998
ACH-000736,-0.319544068843
ACH-000738,-0.09421769653920001
ACH-000746,0.04384466706830001
ACH-000747,-0.340634174581
ACH-000748,-0.160654190521
ACH-000753,-0.158663060691
ACH-000756,-0.084110756724
ACH-000757,-0.253539106698
ACH-000758,-0.130202606821
ACH-000760,-0.118996673533
