,NSRP1 (84081)
ACH-000004,-0.431021368628
ACH-000007,-0.35779323799400004
ACH-000009,-0.713489497564
ACH-000011,-0.30101384332
ACH-000012,-0.668587677655
ACH-000013,-0.41789774294200005
ACH-000014,-0.24139926630199998
ACH-000015,-0.154678109438
ACH-000017,-0.306147357837
ACH-000018,-0.119602831994
ACH-000019,-0.583437573674
ACH-000021,-0.552640694124
ACH-000022,-0.339145328927
ACH-000025,-0.40700879196199996
ACH-000028,-0.649999069367
ACH-000030,-0.448390596272
ACH-000035,-0.32554462495299996
ACH-000036,-0.122772126723
ACH-000037,-0.6404113846339999
ACH-000039,-0.326759535321
ACH-000040,-0.35577199376900004
ACH-000041,-0.33732518442500004
ACH-000042,-0.396491501199
ACH-000045,-0.219129831242
ACH-000047,-0.309038100836
ACH-000052,-0.460212163989
ACH-000053,-0.563300547408
ACH-000054,-0.37969771444899997
ACH-000055,-0.34346804126
ACH-000060,-0.411217767088
ACH-000067,-0.357605809203
ACH-000070,-0.47306372725699997
ACH-000075,-0.25336586291499996
ACH-000078,-0.53018552322
ACH-000082,-0.672209857814
ACH-000085,-0.19727685030900002
ACH-000086,-0.470293298241
ACH-000087,-0.466845169643
ACH-000092,-0.668783926074
ACH-000095,-0.151253891447
ACH-000097,-0.557076124391
ACH-000098,-0.365203540754
ACH-000099,-0.49806070814099995
ACH-000108,-0.721201364086
ACH-000113,-0.370026109293
ACH-000115,-0.121497637932
ACH-000116,-0.617851240986
ACH-000118,-0.8010124332170001
ACH-000120,-0.46649471965000006
ACH-000123,-0.37755896355999996
ACH-000127,-0.238504132121
ACH-000128,-0.0344698039256
ACH-000132,-0.804817259867
ACH-000133,-0.24973835140700001
ACH-000137,-0.383410840164
ACH-000138,-0.435972048631
ACH-000142,-0.339980727243
ACH-000143,-0.431296834266
ACH-000146,-0.427758762354
ACH-000148,-0.45430381178
ACH-000150,-0.676816129086
ACH-000152,-0.792682401241
ACH-000153,-0.424011405545
ACH-000159,-0.40651752516199996
ACH-000160,-0.500106483265
ACH-000163,-0.505314404222
ACH-000167,-0.65863621009
ACH-000168,-0.42047485419799996
ACH-000169,-0.262029296104
ACH-000178,-0.356046428598
ACH-000182,-0.46731866223499996
ACH-000183,-0.577949186854
ACH-000188,-0.47585188791
ACH-000189,-0.296775434118
ACH-000190,-0.7983636589759999
ACH-000198,-0.437286036721
ACH-000204,-0.777651667044
ACH-000206,-0.42163785356
ACH-000207,-0.574644582502
ACH-000211,-0.184568046155
ACH-000215,-0.30006605217599996
ACH-000221,-0.570098248481
ACH-000222,-0.37590246196000004
ACH-000223,-0.490306142967
ACH-000226,-0.5869154153499999
ACH-000227,-0.5529986960000001
