,PTP4A2 (8073)
ACH-000004,-0.23929883175500002
ACH-000007,-0.376610635875
ACH-000009,-0.283811777097
ACH-000011,-0.340999382345
ACH-000012,-0.462786231821
ACH-000013,-0.23832616546799998
ACH-000014,-0.6125716979510001
ACH-000015,-0.38487894867399997
ACH-000017,-0.72074979325
ACH-000018,-0.342145785202
ACH-000019,-0.0482927145389
ACH-000021,-0.28303901168400003
ACH-000022,-0.35254700115000004
ACH-000025,-0.308045330043
ACH-000028,-0.09966514903939999
ACH-000030,-0.331106014852
ACH-000035,-0.7145477035209999
ACH-000036,-0.360684323735
ACH-000037,-0.7023039679180001
ACH-000039,-0.35228944207900004
ACH-000040,-0.273257431061
ACH-000041,-0.38754856030199997
ACH-000042,-1.0232753766399998
ACH-000045,-0.466336867843
ACH-000047,-0.169150401601
ACH-000052,-0.38293401262500004
ACH-000053,-0.26006061290800003
ACH-000054,-0.275633490955
ACH-000055,-0.0751023406933
ACH-000060,-0.406526511049
ACH-000067,-0.428922200184
ACH-000070,-0.304058539654
ACH-000075,-0.10901958907999999
ACH-000078,-0.448125280068
ACH-000082,-0.288374922399
ACH-000085,-0.213763814067
ACH-000086,-0.357732589234
ACH-000087,-0.137503574111
ACH-000092,-0.249835850369
ACH-000095,-0.529216168562
ACH-000097,-0.609816364005
ACH-000098,-0.238397270828
ACH-000099,-0.155358296536
ACH-000108,-0.779301472136
ACH-000113,-0.291589245155
ACH-000115,-0.29606079020799997
ACH-000116,-0.132446583771
ACH-000118,-0.249223643149
ACH-000120,-0.23613818267499997
ACH-000123,-0.26600866988899996
ACH-000127,-0.265546249656
ACH-000128,-0.33596172475599995
ACH-000132,-0.273519773491
ACH-000133,-0.237802309598
ACH-000137,-0.27271354505199996
ACH-000138,-0.563987288617
ACH-000142,-0.843150399138
ACH-000143,-0.156263959206
ACH-000146,-0.254465793536
ACH-000148,-0.326594552001
ACH-000150,-0.48662026831699995
ACH-000152,-0.355486250764
ACH-000153,-0.257349196467
ACH-000159,-0.140035994266
ACH-000160,-0.436452692598
ACH-000163,-0.210392406569
ACH-000167,-0.173727937447
ACH-000168,-0.37344031617
ACH-000169,-0.470492507719
ACH-000178,-0.20904736587
ACH-000182,-0.083370323719
ACH-000183,-0.39531180951300005
ACH-000188,-0.23731633014400003
ACH-000189,-0.184744631049
ACH-000190,0.0437046212754
ACH-000198,-0.21000684505199999
ACH-000204,-0.346915637718
ACH-000206,-0.22400632679000002
ACH-000207,-0.443194935083
ACH-000211,-0.327787252852
ACH-000215,-0.25932699900600004
ACH-000221,-0.40058654286300005
ACH-000222,-0.9367929237710001
ACH-000223,-0.24260369588599998
ACH-000226,-0.409560372579
ACH-000227,-0.445588874231
ACH-000228,-0.23944246138
ACH-000231,-0.33465618768100003
ACH-000232,-0.35820153078
ACH-000233,-0.159861442145
ACH-000234,-0.17215475922200002
ACH-000235,-0.477914892302
ACH-000237,-0.0392148560235
ACH-000238,-0.533945423715
ACH-000243,-0.319565131914
ACH-000244,0.018406462206700003
ACH-000246,-0.157836657246
ACH-000248,-0.22226160854200003
ACH-000250,-0.38090162847900005
ACH-000251,-0.41063082339199997
ACH-000253,-0.17722630159299999
ACH-000255,-0.576035135333
ACH-000256,-0.39555782042900006
ACH-000257,-0.248661815402
ACH-000258,-0.17479268012899998
ACH-000259,-0.5136022459290001
ACH-000260,-0.26529499297200004
ACH-000261,-0.231747232426
ACH-000262,-0.289142229261
ACH-000263,-0.707294749164
ACH-000264,-0.334729199
ACH-000265,-0.44926931615099996
ACH-000266,-0.876921147163
ACH-000272,-0.284008451301
ACH-000273,-0.508483483238
ACH-000274,-0.466745906404
ACH-000277,-0.37161670258199997
ACH-000278,-0.166484741782
ACH-000279,-0.42875455050300004
ACH-000280,-0.24987292571400002
ACH-000281,-0.233748401516
ACH-000288,-0.468105108135
ACH-000291,-0.310231167291
ACH-000293,-0.176649762428
ACH-000294,-0.254810260129
ACH-000295,-0.56074149099
ACH-000296,-0.48509958105800005
ACH-000302,-0.554749143492
ACH-000304,-0.332338525076
ACH-000307,-0.7858206401189999
ACH-000308,-0.49444288655100005
ACH-000310,-0.491140968099
ACH-000311,-0.301426484276
ACH-000312,-0.43778515097
ACH-000315,-0.338336800289
ACH-000316,-0.592196303496
ACH-000317,-0.217664508016
ACH-000318,-0.5797691882689999
ACH-000319,-0.480889577876
ACH-000320,-0.519827314941
ACH-000322,-0.336268192659
ACH-000323,-0.408693326502
ACH-000324,-0.407148803042
ACH-000329,-0.460814443913
ACH-000330,-0.531345153534
ACH-000331,-0.24186890630199998
ACH-000332,-0.48869386620300004
ACH-000334,-0.948880999133
ACH-000335,-0.276505481785
ACH-000336,-0.148739379521
ACH-000337,-0.44476783215899995
ACH-000339,-0.19438870895399998
ACH-000341,-0.406458087141
ACH-000348,-0.44191174556199997
ACH-000350,-0.309520718423
ACH-000352,-0.585160851379
ACH-000356,-0.243303073278
ACH-000361,-0.22340198031599998
ACH-000362,-0.356852951849
ACH-000363,-0.528600869765
ACH-000364,-0.477565100816
ACH-000365,-0.636281960407
ACH-000366,-0.337974826139
ACH-000368,-0.424803082464
ACH-000374,-0.13746547955900001
ACH-000375,-0.43453572383199995
ACH-000376,-0.266315174091
ACH-000381,-0.465831798084
ACH-000383,-0.474717264199
ACH-000387,-0.541202823003
ACH-000389,-0.097298092459
ACH-000390,-0.150438769439
ACH-000393,-0.169260670997
ACH-000395,-0.49160173455300005
ACH-000397,-0.45583219250699997
ACH-000401,-0.640836071973
ACH-000402,-0.188961414597
ACH-000403,-0.624495222521
ACH-000404,-0.141706330996
ACH-000406,-0.563945483975
ACH-000407,-0.385502821728
ACH-000408,-0.28353676438000003
ACH-000410,-0.304190308855
ACH-000411,-0.273706787179
ACH-000414,-0.25245331422899997
ACH-000415,-0.491145975553
ACH-000416,-0.266812013543
ACH-000420,-0.256939610834
ACH-000421,-0.30679812582800003
ACH-000424,-0.905463063873
ACH-000425,-0.35356918225
ACH-000426,-0.183765942056
ACH-000427,-0.09407315155950001
ACH-000433,-0.251785732533
ACH-000436,-0.420386036879
ACH-000444,-0.195588271351
ACH-000445,-0.157739668739
ACH-000448,-0.164832169925
ACH-000450,-0.177765437991
ACH-000452,-0.48070227168000007
ACH-000454,-0.39567101122500004
ACH-000458,-0.270567477532
ACH-000459,-0.0887362461266
ACH-000460,-0.469521153305
ACH-000461,-0.229719085658
ACH-000463,-0.19701587676100002
ACH-000464,-0.443139379749
ACH-000466,-0.19412415610599998
ACH-000467,-0.389766066921
ACH-000468,-0.34743731010300005
ACH-000469,-0.176270433433
ACH-000470,-0.21143120133699997
ACH-000471,-0.48768869015699995
ACH-000472,-0.20229792719599998
ACH-000473,-0.39779465313
ACH-000475,-0.25523729260600003
ACH-000476,-0.378036819663
ACH-000477,-0.361599302824
ACH-000480,-0.20993213520399998
ACH-000481,-0.486887481187
ACH-000483,-0.175629157436
ACH-000484,-0.101670056404
ACH-000485,-0.424131211425
ACH-000486,-0.201488159591
ACH-000487,-0.767451168864
