,EPOR (2057)
ACH-000004,-0.0473045535547
ACH-000007,-0.32040301877
ACH-000009,-0.009247295732729999
ACH-000011,0.119315921256
ACH-000012,-0.077227733156
ACH-000013,-0.10976226205600001
ACH-000014,-0.251891698318
ACH-000015,-0.113143106151
ACH-000017,-0.206695499105
ACH-000018,-0.524584092938
ACH-000019,-0.22518635887699998
ACH-000021,-0.131498404891
ACH-000022,-0.166902695059
ACH-000025,-0.168966046129
ACH-000028,-0.24639849272599998
ACH-000030,-0.179396163837
ACH-000035,-0.137719390365
ACH-000036,0.00184156883516
ACH-000037,0.299442264137
ACH-000039,0.134940600365
ACH-000040,-0.215688890547
ACH-000041,-0.293357804527
ACH-000042,-0.0162939968893
ACH-000045,-0.226369882378
ACH-000047,-0.0535817968961
ACH-000052,0.013869569707899999
ACH-000053,-0.058282635462699996
ACH-000054,-0.0367114111593
ACH-000055,-0.028617915129499998
ACH-000060,-0.0786396599858
ACH-000067,-0.12153674252499999
ACH-000070,-0.139557093795
ACH-000075,-0.423816009777
ACH-000078,-0.053480862067800006
ACH-000082,-0.0817636671364
ACH-000085,-0.198227907161
ACH-000086,-0.34738056055699995
ACH-000087,-0.0772050745396
ACH-000092,-0.259588934127
ACH-000095,-0.089704814057
ACH-000097,-0.0377316737022
ACH-000098,-0.329120618212
ACH-000099,-0.0646128001958
ACH-000108,-0.13406760510500002
ACH-000113,-0.06970937647739998
ACH-000115,-0.279101757009
ACH-000116,-0.170770305337
ACH-000118,-0.274238880096
ACH-000120,-0.00643267050439
ACH-000123,-0.160582601521
ACH-000127,-0.240670387843
ACH-000128,-0.394720188245
ACH-000132,-0.327878264133
ACH-000133,-0.0809594777743
ACH-000137,-0.335522400216
ACH-000138,-0.267793599022
ACH-000142,-0.23721130364
ACH-000143,0.0365095836307
ACH-000146,-0.25682703204
ACH-000148,0.00492454008426
ACH-000150,-0.0767348856349
ACH-000152,-0.15249939374000002
ACH-000153,0.188341511096
ACH-000159,-0.18609705615400002
ACH-000160,-0.15645160396299998
ACH-000163,-0.00698020796433
ACH-000167,-0.213056004475
ACH-000168,0.052879162448000006
ACH-000169,-0.0643090568733
ACH-000178,-0.11756786709000001
ACH-000182,-0.147460751807
ACH-000183,-0.205004170321
ACH-000188,-0.409035786943
ACH-000189,-0.0043166222514100005
ACH-000190,-0.046853109512199995
ACH-000198,-0.0743943902626
ACH-000204,-0.460355435388
ACH-000206,-0.012407929967700002
ACH-000207,-0.148215269734
ACH-000211,-0.07774322843380001
ACH-000215,0.038908145122800004
ACH-000221,-0.176932773243
ACH-000222,-0.13918191815
ACH-000223,-0.228546675236
ACH-000226,0.0199702052875
ACH-000227,-0.134952115472
ACH-000228,-0.141574245579
ACH-000231,-0.10215065161
ACH-000232,-0.24854749119600003
ACH-000233,-0.140810067857
ACH-000234,-0.285669182311
ACH-000235,-0.186110479604
ACH-000237,-0.0820578577621
ACH-000238,-0.12678006999299998
ACH-000243,-0.108330847181
ACH-000244,0.12319113721200001
ACH-000246,-0.029137763552099998
ACH-000248,-0.301777914416
ACH-000250,-0.186268743871
ACH-000251,-0.257623576508
ACH-000253,-0.36435001227799996
ACH-000255,-0.213627590983
ACH-000256,-0.19431237656800002
ACH-000257,-0.0251236391338
ACH-000258,-0.046504993143300005
ACH-000259,-0.0164848513838
ACH-000260,-0.173515217614
ACH-000261,-0.0948339482365
ACH-000262,-0.119860702426
ACH-000263,-0.272158716466
ACH-000264,-0.15852239052300002
ACH-000265,-0.119897176547
ACH-000266,-0.104455986551
