,CBLL1 (79872)
ACH-000004,-0.45483449640100004
ACH-000007,-0.613870696493
ACH-000009,-0.9077707342910001
ACH-000011,-0.42729517533
ACH-000012,-0.442611065256
ACH-000013,-0.481194675499
ACH-000014,-0.847700237703
ACH-000015,-0.303197876247
ACH-000017,-0.352098642505
ACH-000018,-0.36451867536399996
ACH-000019,-0.837010008066
ACH-000021,-0.6787589526350001
ACH-000022,-0.7054257232800001
ACH-000025,-0.428887205971
ACH-000028,-0.7200834628849999
ACH-000030,-0.42143775709200004
ACH-000035,-0.432096612629
ACH-000036,-0.47084194030000004
ACH-000037,-0.5934273485580001
ACH-000039,-0.8525281847949999
ACH-000040,-0.21497830436700002
ACH-000041,-0.31165891684700003
ACH-000042,-0.602457670248
ACH-000045,-0.699813828187
ACH-000047,-0.479850268389
ACH-000052,-0.9078553849429999
ACH-000053,-0.7585974169349999
ACH-000054,-0.257615770994
ACH-000055,-0.851348792062
ACH-000060,-0.64939245612
ACH-000067,-0.700528432597
ACH-000070,-0.481978973721
ACH-000075,-0.31181570669799996
ACH-000078,-0.549613491363
ACH-000082,-0.834519402008
ACH-000085,-0.7256869665369999
ACH-000086,-0.40468028607100004
ACH-000087,-0.614038467866
ACH-000092,-0.503379493921
ACH-000095,-0.931909745554
ACH-000097,-0.7893967810250001
ACH-000098,-0.26652159497
ACH-000099,-0.7771029210670001
ACH-000108,-0.909485226961
ACH-000113,-0.789217267772
ACH-000115,-0.639550957585
ACH-000116,-0.635998631158
ACH-000118,-0.507624157677
ACH-000120,-0.650053248539
ACH-000123,-0.448781313846
ACH-000127,-0.38598689693300003
ACH-000128,-1.1120650601100002
ACH-000132,-0.782133842733
ACH-000133,-0.76309921408
ACH-000137,-0.521068521458
ACH-000138,-0.736038202121
ACH-000142,-0.6809793514560001
ACH-000143,-0.737266339797
ACH-000146,-0.533604233602
ACH-000148,-0.323794775918
ACH-000150,-0.418501056161
ACH-000152,-0.9012294062180001
ACH-000153,-0.40418601885899996
ACH-000159,-0.679397519145
ACH-000160,-0.30168472595199997
ACH-000163,-0.33536846983699997
ACH-000167,-0.447481343782
ACH-000168,-0.8297046887530001
ACH-000169,-0.6962067072050001
ACH-000178,-0.599785285049
ACH-000182,-0.6796224277699999
ACH-000183,-0.711918936947
ACH-000188,-0.936312871604
ACH-000189,-0.60118645097
ACH-000190,-0.645025621622
ACH-000198,-0.768211841616
ACH-000204,-0.415527879064
ACH-000206,-0.45670046912699996
ACH-000207,-0.0157031023885
ACH-000211,-0.712533160266
ACH-000215,-0.532627014567
ACH-000221,-0.501497852901
ACH-000222,-0.7208176773
ACH-000223,-0.584829873319
ACH-000226,-0.720909251879
ACH-000227,-0.7917765815760001
ACH-000228,-0.495423038822
ACH-000231,-0.354803099806
ACH-000232,-0.611417384596
ACH-000233,-0.453018795141
ACH-000234,-0.8038987165829999
ACH-000235,-0.6214433750339999
ACH-000237,-0.7186725680789999
ACH-000238,-0.581817117324
ACH-000243,-0.609359198967
ACH-000244,-0.379796233666
ACH-000246,-0.6642549636280001
ACH-000248,-0.5907480495840001
ACH-000250,-0.721995510786
ACH-000251,-0.553917344377
ACH-000253,-0.675298262457
ACH-000255,-0.621018818809
ACH-000256,-0.682082292761
ACH-000257,-0.752038305202
ACH-000258,-0.731901718226
ACH-000259,-0.5900238290950001
ACH-000260,-0.7336323970949999
ACH-000261,-0.18556271605099997
ACH-000262,-0.547740771498
ACH-000263,-0.7334617195440001
ACH-000264,-0.392239303103
ACH-000265,-0.476395179696
ACH-000266,-0.5695220507240001
ACH-000272,-0.8166569917000001
ACH-000273,-0.7122151438169999
ACH-000274,-0.820532022597
ACH-000277,-0.15723210335100002
ACH-000278,-0.797110059257
ACH-000279,-0.636315307629
ACH-000280,-0.372307686998
ACH-000281,-0.5898262071399999
ACH-000288,-0.6932893157969999
ACH-000291,-0.7309976005490001
ACH-000293,-0.726762370226
ACH-000294,-0.636527948356
ACH-000295,-0.520698208033
ACH-000296,-0.82325166858
ACH-000302,-0.48597320915200004
ACH-000304,-0.300855063552
ACH-000307,-0.412178604895
ACH-000308,-0.842899526474
ACH-000310,-0.39970913457400004
ACH-000311,-0.393667723249
ACH-000312,-0.834571480159
ACH-000315,-0.237052647376
ACH-000316,-0.45012471181900005
ACH-000317,-0.681110481031
ACH-000318,-0.605023002746
ACH-000319,-0.725324117706
ACH-000320,-0.50219468633
ACH-000322,-0.602616131477
ACH-000323,-0.678132008374
ACH-000324,-0.569020598654
ACH-000329,-0.159751171049
ACH-000330,-0.85782072965
ACH-000331,-0.6723075634899999
ACH-000332,-0.207656188938
ACH-000334,-0.580052067798
ACH-000335,-0.888991414368
ACH-000336,-0.682299920009
ACH-000337,-0.775921416774
ACH-000339,-0.572430014304
ACH-000341,-0.748096451601
ACH-000348,-0.6730805982860001
ACH-000350,-0.596894964748
ACH-000352,-0.38336847423
ACH-000356,-0.465058789493
ACH-000361,-0.078599538612
ACH-000362,-0.833837998453
