,AKIRIN1 (79647)
ACH-000004,-0.117040176141
ACH-000007,-0.18201933417
ACH-000009,-0.42885106869499995
ACH-000011,-0.690554127104
ACH-000012,-0.21687758683699998
ACH-000013,-0.39135346229199997
ACH-000014,-0.922765995482
ACH-000015,-0.446583620237
ACH-000017,-0.08738172421869998
ACH-000018,-0.44684543232600005
ACH-000019,-0.30780658308200004
ACH-000021,-0.415182768823
ACH-000022,-0.225692919626
ACH-000025,-0.577367897381
ACH-000028,-0.407576866934
ACH-000030,-0.180456184487
ACH-000035,-0.5225672779199999
ACH-000036,-0.397176402263
ACH-000037,-0.38157768945500004
ACH-000039,-0.325813872238
ACH-000040,-0.40096516673
ACH-000041,-0.40878597004699996
ACH-000042,-0.5328213540300001
ACH-000045,-0.40429387543399997
ACH-000047,-0.25427947779300003
ACH-000052,-0.489906503285
ACH-000053,-0.00880278878265
ACH-000054,-0.390290604398
ACH-000055,-0.765484751559
ACH-000060,-0.60594385768
ACH-000067,-0.355776266457
ACH-000070,-0.447952401703
ACH-000075,-0.550801073163
ACH-000078,-0.495896080627
ACH-000082,-0.315923554015
ACH-000085,-0.019902694877
ACH-000086,-0.178816707854
ACH-000087,-0.441096996731
ACH-000092,-0.572541624219
ACH-000095,-0.41965739678999997
ACH-000097,-0.602689229251
ACH-000098,-0.390824378565
ACH-000099,-0.292635269804
ACH-000108,-0.15027271628699998
ACH-000113,-0.350515446869
ACH-000115,-0.291530083183
ACH-000116,-0.54387685552
ACH-000118,-0.30853569806
ACH-000120,-0.135063381683
ACH-000123,-0.611204814076
ACH-000127,-0.261986003387
ACH-000128,-0.426825603729
ACH-000132,-0.50372831493
ACH-000133,-0.44346295652400003
ACH-000137,-0.28224537857099996
ACH-000138,-0.40042515967500003
ACH-000142,-0.397987831532
ACH-000143,-0.5160423348250001
ACH-000146,-0.20125670298099999
ACH-000148,-0.359276900281
ACH-000150,-0.8739831639700002
ACH-000152,-0.34512555136100004
ACH-000153,-0.933913867875
ACH-000159,-0.45127843608499996
ACH-000160,-0.486584268181
ACH-000163,-0.504883512351
ACH-000167,-0.288421314943
ACH-000168,-0.145086842342
ACH-000169,-0.603215045172
ACH-000178,-0.417478993076
ACH-000182,-0.450382508704
ACH-000183,-0.355674152734
ACH-000188,-0.271428154542
ACH-000189,-0.647056620828
ACH-000190,-0.125252166317
