,PWP2 (5822)
ACH-000004,-1.28444747721
ACH-000007,-1.0777239514
ACH-000009,-1.5178018423100001
ACH-000011,-1.48360861318
ACH-000012,-1.27054453892
ACH-000013,-1.2920239902600001
ACH-000014,-1.32923238558
ACH-000015,-1.39786481199
ACH-000017,-1.3881884908500002
ACH-000018,-1.51613746474
ACH-000019,-1.37988753268
ACH-000021,-1.0728217009799998
ACH-000022,-1.4167218348800001
ACH-000025,-1.44938451138
ACH-000028,-1.44002081679
ACH-000030,-1.38352458872
ACH-000035,-1.26895216228
ACH-000036,-1.35257845268
ACH-000037,-2.11815201655
ACH-000039,-1.29495053298
ACH-000040,-1.51244453095
ACH-000041,-1.2224334392
ACH-000042,-1.17133072247
ACH-000045,-1.41832221804
ACH-000047,-1.32628620025
ACH-000052,-1.5194680825100002
ACH-000053,-1.33569233568
ACH-000054,-1.2564825793
ACH-000055,-1.6412588721999999
ACH-000060,-1.6335988841999998
ACH-000067,-1.59669676563
ACH-000070,-1.4979661736200003
ACH-000075,-1.68900240433
ACH-000078,-1.4297513934000001
ACH-000082,-1.59011043478
ACH-000085,-1.49224025437
ACH-000086,-1.56522485649
ACH-000087,-1.20126800229
ACH-000092,-1.34103200496
ACH-000095,-1.4574031306
ACH-000097,-1.4132312355399999
ACH-000098,-1.5384680884600002
ACH-000099,-1.42607155281
ACH-000108,-1.37367936764
ACH-000113,-1.41467281797
ACH-000115,-0.879083453205
ACH-000116,-1.4624326295200003
ACH-000118,-1.07931728948
ACH-000120,-1.29700264329
ACH-000123,-1.19951707235
ACH-000127,-1.64129564257
ACH-000128,-1.5655315074899998
ACH-000132,-1.7844409662
ACH-000133,-1.4515978894400001
ACH-000137,-1.42104111811
ACH-000138,-1.42339976222
ACH-000142,-1.5798832102899998
ACH-000143,-1.33068577186
ACH-000146,-1.4756390794799998
ACH-000148,-1.26987430099
ACH-000150,-1.64570221414
ACH-000152,-1.3585622294400002
ACH-000153,-1.0162202557100002
ACH-000159,-1.6123039733700002
ACH-000160,-1.9004068378099999
ACH-000163,-1.3906510455599999
ACH-000167,-1.7611627612599998
ACH-000168,-1.3167107548499999
ACH-000169,-1.50118556947
ACH-000178,-1.4263222785299998
ACH-000182,-1.35226540004
ACH-000183,-1.31337495007
ACH-000188,-1.50408660417
ACH-000189,-1.5348035379299998
ACH-000190,-1.4455043669299998
ACH-000198,-1.28624046714
ACH-000204,-1.3679837855
ACH-000206,-1.08750322631
ACH-000207,-1.3498842796200001
ACH-000211,-1.4880751241799999
ACH-000215,-1.7059644128
ACH-000221,-1.3820795169600002
ACH-000222,-1.21046145515
ACH-000223,-1.40087400921
ACH-000226,-1.33774712249
ACH-000227,-1.60211003818
ACH-000228,-1.2870628014299998
ACH-000231,-1.6879945161
ACH-000232,-1.34936972194
ACH-000233,-1.35954098004
ACH-000234,-1.5430221877099999
ACH-000235,-1.32472155692
ACH-000237,-1.41110775895
ACH-000238,-1.4681389384099999
ACH-000243,-1.14146063414
ACH-000244,-1.3274983102700002
ACH-000246,-1.22304356514
ACH-000248,-1.32556805699
ACH-000250,-1.6525689329299997
ACH-000251,-1.53218359451
ACH-000253,-1.36899981526
ACH-000255,-1.23867501885
ACH-000256,-1.6258359917899998
ACH-000257,-1.41616249901
ACH-000258,-1.4240883295700002
ACH-000259,-1.2709066656499999
ACH-000260,-1.08551724716
ACH-000261,-1.3548340916
ACH-000262,-1.4713767267200002
ACH-000263,-1.5421394322
ACH-000264,-1.32162705974
ACH-000265,-1.21684886172
ACH-000266,-1.11324851541
ACH-000272,-1.2993905290799999
ACH-000273,-1.4369668251199998
ACH-000274,-1.50527035284
ACH-000277,-1.3560380279
ACH-000278,-1.73653647164
ACH-000279,-1.32186336829
ACH-000280,-1.33007097392
ACH-000281,-1.74722770025
ACH-000288,-1.5457379176100001
ACH-000291,-1.37197705141
ACH-000293,-1.2223027421400001
ACH-000294,-1.3947237326
ACH-000295,-1.64941176095
ACH-000296,-1.41944562144
ACH-000302,-1.83299637676
ACH-000304,-1.49702720372
ACH-000307,-1.6538818914700002
ACH-000308,-1.5541037846599999
ACH-000310,-1.54283121625
ACH-000311,-1.10544945547
ACH-000312,-1.30039965124
ACH-000315,-1.5330599394799997
ACH-000316,-1.29755356544
ACH-000317,-1.3727421220700002
ACH-000318,-1.49835286978
ACH-000319,-1.50180984787
ACH-000320,-1.37605215213
ACH-000322,-1.5362622214100001
ACH-000323,-1.44195799301
ACH-000324,-1.37202603636
ACH-000329,-1.51481096139
ACH-000330,-1.18007091024
ACH-000331,-1.3380363277
ACH-000332,-1.29747862211
ACH-000334,-1.50617303541
ACH-000335,-1.6419910065099999
