,GTF3C4 (9329)
ACH-000004,-0.7040564865629999
ACH-000007,-0.560748198306
ACH-000009,-0.597056196628
ACH-000011,-0.8119841393610001
ACH-000012,-0.594046748628
ACH-000013,-0.5202961700559999
ACH-000014,-0.780792810112
ACH-000015,-0.8190669670399999
ACH-000017,-0.573468229369
ACH-000018,-0.7473994954250001
ACH-000019,-0.321750057946
ACH-000021,-0.681455951376
ACH-000022,-0.6920142089569999
ACH-000025,-0.6822234010699999
ACH-000028,-0.45184835649899996
ACH-000030,-0.451592135002
ACH-000035,-0.709790810815
ACH-000036,-0.553508218007
ACH-000037,-0.670267179763
ACH-000039,-0.788934891447
ACH-000040,-0.6791699013220001
ACH-000041,-0.549165246059
ACH-000042,-0.6899856419670001
ACH-000045,-0.666215612291
ACH-000047,-0.560994773022
ACH-000052,-0.83082822482
ACH-000053,-0.445841277644
ACH-000054,-0.659644647745
ACH-000055,-0.9736352742380001
ACH-000060,-0.751268879894
ACH-000067,-0.79000164683
ACH-000070,-0.651002013539
ACH-000075,-0.770714580315
ACH-000078,-0.142893231394
ACH-000082,-0.559335102798
ACH-000085,-0.966844742615
ACH-000086,-0.65988481873
ACH-000087,-0.50968599106
ACH-000092,-0.43227197276
ACH-000095,-0.376109401312
ACH-000097,-0.372265149974
ACH-000098,-0.894992819504
ACH-000099,-0.586578454964
ACH-000108,-0.847582794841
ACH-000113,-0.55799938829
ACH-000115,-0.233440868956
ACH-000116,-0.463131075316
ACH-000118,-0.643273816542
ACH-000120,-0.42540375022699994
ACH-000123,-0.673171353592
ACH-000127,-0.543222338882
ACH-000128,-0.612386903503
ACH-000132,-0.814085090376
ACH-000133,-0.69651420015
ACH-000137,-0.7601742065579999
ACH-000138,-0.633893543743
ACH-000142,-0.421935466428
ACH-000143,-0.565098451041
ACH-000146,-0.45377394840400004
ACH-000148,-0.7055683154019999
ACH-000150,-0.572281575337
ACH-000152,-0.5021889235729999
ACH-000153,-0.795178178896
ACH-000159,-0.625487952002
ACH-000160,-0.09279513260460001
ACH-000163,-0.622104442649
ACH-000167,-0.482037475283
ACH-000168,-0.98095756176
ACH-000169,-0.536792211504
ACH-000178,-0.8266755735760001
ACH-000182,-0.429008414285
ACH-000183,-0.963545469963
ACH-000188,-0.309896689431
ACH-000189,-0.8320120893999999
ACH-000190,-0.457129229439
ACH-000198,-0.547218124408
ACH-000204,-0.614152542948
ACH-000206,-0.7262823836069999
ACH-000207,-0.5571384528369999
ACH-000211,-0.519861141905
ACH-000215,-0.535065077305
ACH-000221,-0.55007076202
ACH-000222,-0.485040426772
ACH-000223,-0.5067579042729999
ACH-000226,-0.6451491351699999
ACH-000227,-0.431981851772
ACH-000228,-0.89544889634
ACH-000231,-0.6590130892580001
ACH-000232,-0.514949673717
ACH-000233,-0.667463432036
ACH-000234,-0.581215407845
ACH-000235,-0.661792995386
ACH-000237,-0.607874263861
ACH-000238,-0.7046169790189999
ACH-000243,-0.457710815462
ACH-000244,-0.13715182763599998
ACH-000246,-0.857979021152
ACH-000248,-0.800034717599
ACH-000250,-0.62682986066
ACH-000251,-0.292841120914
ACH-000253,-0.555676840437
ACH-000255,-0.959865384944
ACH-000256,-0.46988423009900004
ACH-000257,-0.5288231418379999
ACH-000258,-0.975764422007
