,ZFP41 (286128)
ACH-000004,0.029021491234
ACH-000007,0.08544673074069999
ACH-000009,-0.04609226800369999
ACH-000011,-0.019363456065
ACH-000012,-0.0864721170591
ACH-000013,0.040189799826300006
ACH-000014,-0.444784712441
ACH-000015,0.170624451879
ACH-000017,0.00314473876363
ACH-000018,-0.07478825238530001
ACH-000019,0.0437866646385
ACH-000021,-0.0234500572947
ACH-000022,-0.00461988514365
ACH-000025,-0.146580999107
ACH-000028,0.0030498444864800003
ACH-000030,-0.0770757251813
ACH-000035,0.0355816920746
ACH-000036,-0.193558892278
ACH-000037,-0.56770360544
ACH-000039,-0.316746443054
ACH-000040,-0.0487399027656
ACH-000041,0.0120287057344
ACH-000042,-0.09166817101510001
ACH-000045,0.07697475263999999
ACH-000047,-0.271113918824
ACH-000052,-0.21440976979899998
ACH-000053,-0.176063089912
ACH-000054,-0.223218810548
ACH-000055,-0.22070642649500002
ACH-000060,-0.262282753051
ACH-000067,0.0426829697047
ACH-000070,-0.00113338868414
ACH-000075,-0.0140306979093
ACH-000078,-0.0390210053217
ACH-000082,-0.146364871194
ACH-000085,-0.11587175707599999
ACH-000086,0.0296220648007
ACH-000087,-0.370630817134
ACH-000092,-0.257094174479
ACH-000095,0.0240256310438
ACH-000097,-0.0726347531834
ACH-000098,-0.247500260251
ACH-000099,-0.09813206253969999
ACH-000108,-0.267664337079
ACH-000113,-0.06353872881559999
ACH-000115,-0.118449515687
ACH-000116,-0.059217355432400004
ACH-000118,-0.24345099778
ACH-000120,-0.054217287647099995
ACH-000123,-0.205147900339
ACH-000127,0.0215467362406
ACH-000128,-0.030330726776799998
ACH-000132,-0.137960250966
ACH-000133,-0.0628352861934
ACH-000137,-0.140269279849
ACH-000138,-0.0170301812595
ACH-000142,-0.11513297004100001
ACH-000143,-0.12034785843800001
ACH-000146,-0.041454869717800005
ACH-000148,-0.159048755683
ACH-000150,-0.559836071345
ACH-000152,-0.0251583948448
ACH-000153,-0.059112865654499996
ACH-000159,-0.101935123153
ACH-000160,-0.09769484766629999
ACH-000163,-0.06521386432199999
ACH-000167,-0.00928040830769
ACH-000168,-0.022617133480400002
ACH-000169,-0.12661440983799999
ACH-000178,-0.21204045658100001
ACH-000182,-0.0995017828328
ACH-000183,-0.147985416157
ACH-000188,-0.215407691787
ACH-000189,-0.132987493683
ACH-000190,-0.0676071369685
ACH-000198,-0.043202118450699996
ACH-000204,0.114125288899
ACH-000206,-0.128546205893
ACH-000207,-0.0284915136122
ACH-000211,-0.148923253597
