,CENPH (64946)
ACH-000004,-0.652258644652
ACH-000007,-0.832554721398
ACH-000009,-0.8002899499889999
ACH-000011,-0.7324333458600001
ACH-000012,-0.8392154956389999
ACH-000013,-0.6819183714679999
ACH-000014,-0.9892312072409999
ACH-000015,-0.925617191319
ACH-000017,-0.797198918521
ACH-000018,-0.770013529578
ACH-000019,-0.773771269888
ACH-000021,-0.769461384634
ACH-000022,-0.683560130431
ACH-000025,-0.686455245214
ACH-000028,-0.8449050877240001
ACH-000030,-0.8608734404520001
ACH-000035,-0.7928525398090001
ACH-000036,-0.7204001405
ACH-000037,-0.876585506035
ACH-000039,-1.2526796719600002
ACH-000040,-0.662372167635
ACH-000041,-0.912742606763
ACH-000042,-0.904486915588
ACH-000045,-0.825850121927
ACH-000047,-0.8985650397570001
ACH-000052,-0.67176331853
ACH-000053,-0.8495572705329999
ACH-000054,-0.8419730717899999
ACH-000055,-0.793289662462
ACH-000060,-0.683568104245
ACH-000067,-0.505855815053
ACH-000070,-0.6262566386990001
ACH-000075,-0.7579338083660001
ACH-000078,-1.1384539381
ACH-000082,-0.589481788625
ACH-000085,-0.460899255195
ACH-000086,-0.416408069473
ACH-000087,-0.435387466406
ACH-000092,-0.689127368194
ACH-000095,-1.092345855
ACH-000097,-0.621708648589
ACH-000098,-0.476357924011
ACH-000099,-0.990156521157
ACH-000108,-0.756578223388
ACH-000113,-0.862669416874
ACH-000115,-0.917404399267
ACH-000116,-1.15648968946
ACH-000118,-0.7258412166600001
ACH-000120,-1.1472701872600002
ACH-000123,-0.845900379118
ACH-000127,-0.815654362647
ACH-000128,-0.7607578203059999
ACH-000132,-0.9271496603939999
ACH-000133,-0.649836579018
ACH-000137,-0.6965261602339999
ACH-000138,-0.631654239479
ACH-000142,-0.7780424444840001
ACH-000143,-1.1012552441799999
ACH-000146,-0.920879139137
ACH-000148,-0.859570326318
ACH-000150,-0.840870925394
ACH-000152,-0.7482117811
ACH-000153,-0.8666839700579999
ACH-000159,-0.658648971103
ACH-000160,-0.42365813515699996
ACH-000163,-0.773975938851
ACH-000167,-0.0102627796166
ACH-000168,-0.55898146337
ACH-000169,-0.7361005729019999
ACH-000178,-0.694277589952
ACH-000182,-0.8491364204180001
ACH-000183,-0.783684797295
ACH-000188,-0.783014600393
ACH-000189,-0.64163271533
ACH-000190,-0.243014099515
ACH-000198,-0.980078108679
ACH-000204,-0.9926068403049999
ACH-000206,-1.04271198296
ACH-000207,-0.848422218381
ACH-000211,-0.760931676887
ACH-000215,-0.8824279764090001
ACH-000221,-0.8873623137029999
ACH-000222,-1.01133788656
ACH-000223,-1.01546786355
ACH-000226,-0.832909775779
ACH-000227,-0.595282297349
ACH-000228,-0.806941400072
ACH-000231,-0.49776728123400005
ACH-000232,-0.811144190381
ACH-000233,-0.6829677917649999
ACH-000234,-1.09635298256
ACH-000235,-0.976266081747
ACH-000237,-0.810553629678
ACH-000238,-0.632865728699
ACH-000243,-0.9106534060770001
ACH-000244,-0.774483594262
ACH-000246,-0.751989063884
ACH-000248,-0.640424862065
ACH-000250,-0.518566543997
ACH-000251,-0.6583687828620001
ACH-000253,-0.8539192222579999
ACH-000255,-0.70659372381
ACH-000256,-0.788383268091
ACH-000257,-1.1648769570200002
ACH-000258,-0.8664761836399999
ACH-000259,-0.859319434813
ACH-000260,-0.8794740044850001
ACH-000261,-0.714751210303
ACH-000262,-0.800029484238
ACH-000263,-0.737368790016
ACH-000264,-0.768241748915
ACH-000265,-0.967601392698
ACH-000266,-1.00450276217
ACH-000272,-1.03953678568
ACH-000273,-0.64282705041
ACH-000274,-0.853647870507
ACH-000277,-0.807616251069
ACH-000278,-0.992408790659
ACH-000279,-0.8385806279800001
ACH-000280,-0.737468846767
ACH-000281,-0.747428842224
ACH-000288,-0.526439864246
ACH-000291,-0.592130878292
ACH-000293,-0.5681525114239999
ACH-000294,-0.897848320764
ACH-000295,-0.329315613404
ACH-000296,-1.03169564863
ACH-000302,-0.913088052713
ACH-000304,-0.9147816614899998
ACH-000307,-0.519277841984
ACH-000308,-0.68836128691
ACH-000310,-1.51678260261
ACH-000311,-0.833477830598
ACH-000312,-0.902898549718
ACH-000315,-0.933100136538
ACH-000316,-0.6480687180870001
ACH-000317,-0.896749471301
ACH-000318,-0.741099830428
ACH-000319,-0.870705926963
ACH-000320,-0.8676938899400001
ACH-000322,-0.8463760381290001
ACH-000323,-0.569640698021
ACH-000324,-0.943866169257
ACH-000329,-0.781632337265
ACH-000330,-1.0498179853899998
ACH-000331,-0.811907395354
ACH-000332,-0.781431032245
ACH-000334,-1.04031890008
ACH-000335,-0.886287174577
ACH-000336,-0.8676823751710001
ACH-000337,-0.47018494092
ACH-000339,-1.02994817563
ACH-000341,-1.0382005094700002
ACH-000348,-0.8578213995990001
ACH-000350,-1.00420971543
ACH-000352,-0.8709239135860001
ACH-000356,-0.78381666162
ACH-000361,-0.9094427579819999
ACH-000362,-0.92683323764
ACH-000363,-0.37541772411799995
ACH-000364,-0.594691177772
ACH-000365,-0.8610522849240001
ACH-000366,-0.7330515603640001
ACH-000368,-0.7449334056129999
ACH-000374,-0.816186903783
ACH-000375,-0.741291513875
ACH-000376,-0.598461518209
ACH-000381,-0.9120355316399998
ACH-000383,-0.5601356218469999
ACH-000387,-0.9172307931170001
ACH-000389,-0.824930107735
ACH-000390,-0.751206922102
ACH-000393,-0.761811252462
ACH-000395,-0.9351598228419999
ACH-000397,-0.9044213128890001
ACH-000401,-0.683490197114
ACH-000402,-1.25224596523
ACH-000403,-0.5485721051829999
ACH-000404,-0.8948215354510001
ACH-000406,-0.8851766365029999
ACH-000407,-0.776353234513
ACH-000408,-0.471104586409
ACH-000410,-0.836508241318
ACH-000411,-0.8347237504330001
ACH-000414,-1.1028082366299998
ACH-000415,-0.7842706458600001
ACH-000416,-0.946874597425
ACH-000420,-1.08675397087
ACH-000421,-0.82160757163
ACH-000424,-0.46237909089699997
ACH-000425,-0.9821029045190001
ACH-000426,-1.0191425433299999
ACH-000427,-0.320107398757
ACH-000433,-0.670295060696
ACH-000436,-0.9720442775720001
ACH-000444,-0.781933320101
ACH-000445,-0.685064502615
ACH-000448,-0.957597690362
ACH-000450,-0.819274046573
ACH-000452,-0.722149144761
ACH-000454,-0.7569979158210001
ACH-000458,-0.7757613851340001
ACH-000459,-0.584657389853
ACH-000460,-0.782502702535
ACH-000461,-0.43977343198700003
ACH-000463,-0.6304089327579999
ACH-000464,-0.708421892095
ACH-000466,-0.602390377472
ACH-000467,-0.882494384703
