,FOLR2 (2350)
ACH-000004,0.190788016435
ACH-000007,0.358359900454
ACH-000009,0.06766996516780001
ACH-000011,0.12160560072200001
ACH-000012,-0.158186141103
ACH-000013,-0.08365586874719999
ACH-000014,0.268615838753
ACH-000015,0.209034489632
ACH-000017,-0.09012260000219999
ACH-000018,-0.104953130011
ACH-000019,-0.45131475343099997
ACH-000021,0.04861740440909999
ACH-000022,-0.0194350624429
ACH-000025,0.100112304473
ACH-000028,-0.0821076655921
ACH-000030,-0.12168000871
ACH-000035,0.146907939844
ACH-000036,-0.0225891513428
ACH-000037,-0.05440227050419999
ACH-000039,-0.0255854327623
ACH-000040,-0.187926476839
ACH-000041,-0.174665877632
ACH-000042,-0.0758009417257
ACH-000045,-0.21291065732
ACH-000047,-0.112319352625
ACH-000052,-0.13855428491900001
ACH-000053,-0.07149556070110001
ACH-000054,-0.10923983230699999
ACH-000055,-0.160167765643
ACH-000060,-0.145963760798
ACH-000067,0.233377497699
ACH-000070,0.0264264233046
ACH-000075,0.013363538711000001
ACH-000078,-0.053183379754599996
ACH-000082,-0.30225695546
ACH-000085,-0.04674776189569999
ACH-000086,-0.175819504922
ACH-000087,-0.27157643614
ACH-000092,0.0236318238359
ACH-000095,-0.0407912075024
ACH-000097,-0.190039195095
ACH-000098,-0.055469780720800006
ACH-000099,0.0651746574652
ACH-000108,-0.0038165745924
ACH-000113,-0.0983637797425
ACH-000115,0.17382419377
ACH-000116,-0.154259747746
ACH-000118,-0.21130832557999998
ACH-000120,-0.145822297247
ACH-000123,0.050477438778599996
ACH-000127,-0.059118465462999994
ACH-000128,0.0142011210381
ACH-000132,-0.10868095626299999
ACH-000133,-0.025065618598599997
ACH-000137,-0.00581974232246
ACH-000138,-0.37496769102399996
ACH-000142,0.005883455048260001
ACH-000143,-0.0988812239048
ACH-000146,-0.0604580276475
ACH-000148,0.021264379404099996
ACH-000150,0.136078750144
ACH-000152,0.12947103263499998
ACH-000153,-0.159445249279
ACH-000159,0.0170031238233
ACH-000160,-0.466620675254
ACH-000163,0.0150963116884
