,TBCB (1155)
ACH-000004,-1.4777284987700001
ACH-000007,-1.62110374465
ACH-000009,-1.4698834185299998
ACH-000011,-1.81542968785
ACH-000012,-1.22597448452
ACH-000013,-1.6467086895299998
ACH-000014,-1.39280965738
ACH-000015,-1.8680621712799999
ACH-000017,-1.14306554043
ACH-000018,-1.5175255101700003
ACH-000019,-1.7923885256599998
ACH-000021,-1.63505090838
ACH-000022,-1.55191443506
ACH-000025,-1.45825564057
ACH-000028,-1.34443748384
ACH-000030,-1.50440970687
ACH-000035,-1.4508547700799999
ACH-000036,-1.42050509192
ACH-000037,-1.8097551619299999
ACH-000039,-1.393263014
ACH-000040,-1.4893958409499999
ACH-000041,-1.61102358933
ACH-000042,-1.7537923964099997
ACH-000045,-1.3964295951299999
ACH-000047,-1.00200004547
ACH-000052,-1.62142780962
ACH-000053,-1.31018654661
ACH-000054,-1.43643729854
ACH-000055,-1.44087368136
ACH-000060,-1.45955716295
ACH-000067,-1.44499784937
ACH-000070,-1.2319630789700002
ACH-000075,-1.3312516004500001
ACH-000078,-1.62752752492
ACH-000082,-1.68962596456
ACH-000085,-1.5556714420500002
ACH-000086,-1.4170768303999999
ACH-000087,-1.5666132211700001
ACH-000092,-1.38820889351
ACH-000095,-1.1652373025799998
ACH-000097,-1.3566566261700002
ACH-000098,-1.42501439243
ACH-000099,-1.2588247710299998
ACH-000108,-1.4479263857100002
ACH-000113,-1.37648549752
ACH-000115,-1.3210947341
ACH-000116,-1.3757680517299997
ACH-000118,-1.59751346199
ACH-000120,-1.43470457536
ACH-000123,-1.57514873088
ACH-000127,-1.33801750585
ACH-000128,-1.4392177079799997
ACH-000132,-1.5597132774899998
ACH-000133,-1.68565025662
ACH-000137,-1.44619225546
ACH-000138,-1.42967003225
ACH-000142,-1.62740530664
ACH-000143,-1.5673701425
ACH-000146,-1.51216168933
ACH-000148,-1.56604175451
ACH-000150,-1.7612296035
ACH-000152,-1.3316551565
ACH-000153,-1.14180577412
ACH-000159,-1.22016875071
ACH-000160,-2.0720867313299998
ACH-000163,-1.41716282079
ACH-000167,-2.04907893127
ACH-000168,-1.6178049285499998
ACH-000169,-1.42385656645
ACH-000178,-1.65201762826
ACH-000182,-1.5367727305599999
ACH-000183,-1.5787658147499999
ACH-000188,-1.4049913421399998
ACH-000189,-1.54198453589
ACH-000190,-1.4919614613299998
ACH-000198,-1.23938317552
ACH-000204,-1.35008276637
ACH-000206,-2.015558715
ACH-000207,-2.02183954225
ACH-000211,-1.36496673255
ACH-000215,-1.4358858871399998
ACH-000221,-1.47741801032
ACH-000222,-1.5846550269
ACH-000223,-1.68815717933
ACH-000226,-1.52124916407
ACH-000227,-1.3645254600999999
ACH-000228,-1.33468599069
ACH-000231,-1.1998136314299999
ACH-000232,-1.4104763002
ACH-000233,-1.70833286717
ACH-000234,-1.36822170536
ACH-000235,-1.45768131962
ACH-000237,-1.6258913977399998
ACH-000238,-1.4306065750999999
ACH-000243,-1.40979223742
ACH-000244,-1.70893287931
ACH-000246,-1.47007247674
ACH-000248,-1.7627537570599998
ACH-000250,-1.27671619326
ACH-000251,-1.72104105925
ACH-000253,-1.54628308046
ACH-000255,-1.39337766303
ACH-000256,-1.3420210880399999
ACH-000257,-0.910159262181
ACH-000258,-0.9060495450689999
ACH-000259,-1.47970566989
ACH-000260,-1.41468419283
ACH-000261,-1.5465381990399998
ACH-000262,-1.53210969097
ACH-000263,-1.09275839719
ACH-000264,-1.3774813668900001
ACH-000265,-1.5109245345700002
ACH-000266,-1.6217241919799998
ACH-000272,-1.2373996164799999
ACH-000273,-1.4358161711000001
ACH-000274,-1.5412529629299998
ACH-000277,-1.55114001869
ACH-000278,-1.67796247076
ACH-000279,-1.27527005208
ACH-000280,-1.69478331684
ACH-000281,-1.51240173901
ACH-000288,-1.37399256324
ACH-000291,-1.35829282209
ACH-000293,-1.3867425185799998
ACH-000294,-1.6309958919799998
ACH-000295,-1.70109232481
ACH-000296,-1.42349181681
ACH-000302,-1.05192823449
ACH-000304,-1.0285194328
ACH-000307,-1.41157786064
ACH-000308,-1.64337439514
ACH-000310,-0.9969866372299999
ACH-000311,-1.2235459507100002
ACH-000312,-1.55541569096
ACH-000315,-1.5133643147600002
ACH-000316,-1.2429415776700001
ACH-000317,-0.9054813924709999
ACH-000318,-1.5207926127899998
ACH-000319,-1.37547849782
ACH-000320,-1.3868122495700002
ACH-000322,-1.2402795789299998
ACH-000323,-1.45263874567
ACH-000324,-1.32032680377
ACH-000329,-1.6445996174700002
ACH-000330,-1.4054891534
ACH-000331,-1.4827765725600002
ACH-000332,-1.3579276926
ACH-000334,-0.8019828630079999
ACH-000335,-1.46289242244
ACH-000336,-1.7007833927399998
ACH-000337,-1.24518050457
ACH-000339,-1.40270549601
ACH-000341,-1.9793803520500002
ACH-000348,-1.5525640178400002
ACH-000350,-1.74686767175
ACH-000352,-1.42360963786
ACH-000356,-1.42722684504
ACH-000361,-1.3257302643200002
ACH-000362,-1.3318806756700001
ACH-000363,-1.5914344167200003
ACH-000364,-1.5624048939500002
ACH-000365,-1.5321019284200001
ACH-000366,-1.6444612153100002
ACH-000368,-1.42919577659
ACH-000374,-1.33393848296
ACH-000375,-1.4425798038100002
ACH-000376,-1.43710335855
ACH-000381,-1.2897360241299998
ACH-000383,-1.15087938829
ACH-000387,-1.10087026577
ACH-000389,-1.2121916185
ACH-000390,-1.70481214037
ACH-000393,-1.4847831512600003
ACH-000395,-1.23612047466
ACH-000397,-1.60703400261
ACH-000401,-1.4121121249700002
ACH-000402,-1.5744811369999998
ACH-000403,-1.3836405138999999
ACH-000404,-1.72949138917
ACH-000406,-1.3678288653200001
ACH-000407,-1.20158058757
ACH-000408,-1.5461534321000001
ACH-000410,-1.54878989501
ACH-000411,-1.3476803686200003
ACH-000414,-1.48984989095
ACH-000415,-1.51062560916
ACH-000416,-1.37328259103
ACH-000420,-1.28308894557
ACH-000421,-1.23317895763
ACH-000424,-1.3653879099500001
ACH-000425,-1.4594606352500001
ACH-000426,-1.44414231499
ACH-000427,-1.05952500482
ACH-000433,-1.2778134324600001
ACH-000436,-1.54502698544
ACH-000444,-1.59871604991
ACH-000445,-1.72181585488
ACH-000448,-1.2892109529
ACH-000450,-1.4014904366
ACH-000452,-1.2595754392899998
ACH-000454,-1.59599672495
ACH-000458,-1.4949420782499998
ACH-000459,-1.10414128058
ACH-000460,-1.15395806142
ACH-000461,-1.2780034337700001
ACH-000463,-1.51319275161
ACH-000464,-1.56068522288
ACH-000466,-1.7997239946
ACH-000467,-1.41812531284
ACH-000468,-1.3003712677700001
ACH-000469,-1.5696663922100003
ACH-000470,-1.66200832611
ACH-000471,-1.2176299953799998
ACH-000472,-1.7525259335699999
ACH-000473,-1.6176966123299998
ACH-000475,-1.52554582218
ACH-000476,-1.2103419294600002
ACH-000477,-1.85489118653
ACH-000480,-1.3722545557899999
ACH-000481,-0.854874137981
ACH-000483,-1.26814903315
ACH-000484,-1.6169432015399998
ACH-000485,-1.58520190373
ACH-000486,-1.5221883676499999
ACH-000487,-1.29386290016
ACH-000488,-1.52899647878
ACH-000490,-1.28098946218
ACH-000491,-1.14749217673
ACH-000495,-1.41077666704
ACH-000496,-1.38090348287
ACH-000499,-1.30004361171
ACH-000500,-1.62747063125
ACH-000502,-1.33378863674
ACH-000503,-1.5246600659099998
ACH-000505,-1.8154379820900002
ACH-000507,-1.5359524458200002
ACH-000510,-1.41896813644
ACH-000511,-1.34202094225
ACH-000512,-1.53356631674
ACH-000516,-1.5728991655899998
ACH-000517,-1.2121019175799999
ACH-000518,-1.47522908058
ACH-000520,-1.2902362546100001
ACH-000521,-1.6555392710699999
ACH-000522,-1.3570558851499999
ACH-000524,-1.07944181787
ACH-000527,-1.25142201917
ACH-000528,-1.4461685341100001
ACH-000537,-1.31616081952
ACH-000541,-1.7548447232700002
