,AVPR1B (553)
ACH-000004,-0.118206177449
ACH-000007,-0.376295523901
ACH-000009,-0.126754376052
ACH-000011,-0.0310995516987
ACH-000012,-0.222643941452
ACH-000013,-0.35990849256499996
ACH-000014,-0.255741451953
ACH-000015,-0.005231454707720001
ACH-000017,-0.267660006553
ACH-000018,0.20796964551600003
ACH-000019,-0.185040125222
ACH-000021,-0.214155042579
ACH-000022,-0.037590830458
ACH-000025,-0.18224790446699998
ACH-000028,-0.33118910906800003
ACH-000030,-0.014347922439800001
ACH-000035,-0.0570616179991
ACH-000036,-0.15811212699899999
ACH-000037,-0.055556162066
ACH-000039,0.00803118898854
ACH-000040,-0.25959750256999997
ACH-000041,0.00043638061926999996
ACH-000042,-0.24977303312899998
ACH-000045,-0.18736094239300002
ACH-000047,-0.132954586742
ACH-000052,-0.08707829151259999
ACH-000053,-0.214274188259
ACH-000054,-0.0700144481862
ACH-000055,-0.357052102472
ACH-000060,-0.141256286506
ACH-000067,0.0947123952355
ACH-000070,-0.16301290417
ACH-000075,-0.189334838053
ACH-000078,-0.056776194847499996
ACH-000082,-0.226835550763
ACH-000085,-0.191239953224
ACH-000086,-0.326996011501
ACH-000087,0.0985425073038
ACH-000092,-0.0866816595915
ACH-000095,0.0298218480984
ACH-000097,-0.220923755178
ACH-000098,-0.094839356607
ACH-000099,-0.214269870565
ACH-000108,-0.0783104742689
ACH-000113,-0.17156514776
ACH-000115,0.0120190883345
ACH-000116,-0.06617161070069999
ACH-000118,-0.129312072017
ACH-000120,-0.09794147799410001
ACH-000123,-0.0280120571779
ACH-000127,-0.0833159327771
ACH-000128,-0.0346841001167
ACH-000132,-0.387210324573
ACH-000133,-0.16095733064200002
ACH-000137,0.00326993817763
ACH-000138,-0.17394233616500002
ACH-000142,-0.288467598816
ACH-000143,-0.20224356805399998
ACH-000146,-0.166143461144
ACH-000148,-0.0928927548083
ACH-000150,-0.18017321954399998
ACH-000152,-0.145454821407
ACH-000153,-0.34658403681199995
ACH-000159,-0.108826243014
ACH-000160,-0.1237718467
ACH-000163,-0.10032054735
