,RAE1 (8480)
ACH-000004,-1.89889265373
ACH-000007,-1.38219225993
ACH-000009,-1.4896848865399999
ACH-000011,-1.4777776187799998
ACH-000012,-1.2916751178700001
ACH-000013,-0.969210607141
ACH-000014,-1.13895080801
ACH-000015,-1.34550694868
ACH-000017,-1.0556641552700001
ACH-000018,-1.07697236414
ACH-000019,-1.19181596037
ACH-000021,-1.59433342091
ACH-000022,-0.961681494628
ACH-000025,-1.343150586
ACH-000028,-1.3207449461399998
ACH-000030,-1.1322764696799998
ACH-000035,-1.15063387502
ACH-000036,-1.3845101148299999
ACH-000037,-0.593358234381
ACH-000039,-1.63717102193
ACH-000040,-1.53970912118
ACH-000041,-1.2036983539100001
ACH-000042,-1.26922259998
ACH-000045,-1.5118326161500002
ACH-000047,-1.55249839335
ACH-000052,-1.1575720272799999
ACH-000053,-1.40199809601
ACH-000054,-1.65967924072
ACH-000055,-1.44948926914
ACH-000060,-1.32553101271
ACH-000067,-1.3345139848
ACH-000070,-1.2724512359
ACH-000075,-1.3858538293399998
ACH-000078,-1.6550035653400001
ACH-000082,-1.7758495724799999
ACH-000085,-1.2493988713700002
ACH-000086,-1.3841541162399997
ACH-000087,-1.42920782123
ACH-000092,-1.3696636015900001
ACH-000095,-1.4696239838299998
ACH-000097,-1.3477887511700002
ACH-000098,-1.59055412872
ACH-000099,-1.48678095881
ACH-000108,-1.56584960694
ACH-000113,-1.45749743437
ACH-000115,-1.5928716350799998
ACH-000116,-1.4817379270700002
ACH-000118,-1.25570626698
ACH-000120,-1.37648444588
ACH-000123,-1.40169676882
ACH-000127,-0.9386475310410001
ACH-000128,-1.38023354708
ACH-000132,-1.28623943411
ACH-000133,-1.40739411625
ACH-000137,-1.7335748726900002
ACH-000138,-1.54622452944
ACH-000142,-1.0754881771
ACH-000143,-1.2056269830700002
ACH-000146,-1.42676105859
ACH-000148,-1.6030918561399998
ACH-000150,-1.01923924134
ACH-000152,-1.5499512428
ACH-000153,-1.37458215305
ACH-000159,-1.53531115428
ACH-000160,-1.50709122227
ACH-000163,-1.25067816463
ACH-000167,-1.94309104405
ACH-000168,-1.1889229959999998
ACH-000169,-1.27299480856
ACH-000178,-1.33097373091
ACH-000182,-1.32305772771
ACH-000183,-1.51257319667
ACH-000188,-1.4858004541999998
ACH-000189,-1.26725765063
ACH-000190,-1.45680032121
ACH-000198,-1.4718380018900001
ACH-000204,-1.43750389497
ACH-000206,-1.32414137622
ACH-000207,-1.1797750061299999
ACH-000211,-1.6727909445
ACH-000215,-1.62502331495
ACH-000221,-1.27189699866
ACH-000222,-1.47821042613
ACH-000223,-1.35624220986
ACH-000226,-1.52068042737
ACH-000227,-1.45147626088
ACH-000228,-1.39202563181
ACH-000231,-1.4255400759299999
ACH-000232,-1.38635892903
ACH-000233,-1.2354647596500001
ACH-000234,-1.30647111562
ACH-000235,-1.19037290957
ACH-000237,-1.3151719894299998
ACH-000238,-1.37012282581
ACH-000243,-1.40371555319
ACH-000244,-1.52918513287
ACH-000246,-1.48152334509
ACH-000248,-1.37694743317
ACH-000250,-1.4959237788600002
ACH-000251,-1.4839713239399999
ACH-000253,-1.4093882063299998
ACH-000255,-1.02458165866
ACH-000256,-1.2866548523999999
ACH-000257,-1.18119105738
ACH-000258,-1.2753541305
