,SIN3A (25942)
ACH-000004,-0.9302195779160001
ACH-000007,-1.093746291
ACH-000009,-1.3336473012899999
ACH-000011,-1.15573966545
ACH-000012,-1.0262330212200002
ACH-000013,-0.680946470389
ACH-000014,-0.853779004709
ACH-000015,-0.803959806808
ACH-000017,-0.653251307295
ACH-000018,-0.6732805086229999
ACH-000019,-0.8048190533949999
ACH-000021,-0.461866858138
ACH-000022,-0.42505929481399995
ACH-000025,-0.989236423241
ACH-000028,-0.810386140801
ACH-000030,-0.984186122516
ACH-000035,-0.8985577252850001
ACH-000036,-0.7393927400579999
ACH-000037,-1.4612038067
ACH-000039,-0.740110534508
ACH-000040,-0.939569950918
ACH-000041,-0.701476561979
ACH-000042,-0.77925769905
ACH-000045,-0.8089039990639999
ACH-000047,-0.511819109677
ACH-000052,-0.843184304538
ACH-000053,-0.7589744503749999
ACH-000054,-0.967146726189
ACH-000055,-0.582749304693
ACH-000060,-0.658009860603
ACH-000067,-0.971824252549
ACH-000070,-1.0020011792
ACH-000075,-0.782716833696
ACH-000078,-0.9351018838200001
ACH-000082,-1.41146023364
ACH-000085,-0.629041395524
ACH-000086,-0.5263357187200001
ACH-000087,-0.872087686684
ACH-000092,-0.7317520825489999
ACH-000095,-0.891673441482
ACH-000097,-0.8870261377069999
ACH-000098,-0.7060966031550001
ACH-000099,-1.0064288757100002
ACH-000108,-0.907983757624
ACH-000113,-0.814113240652
ACH-000115,-1.1818314458299999
ACH-000116,-1.22211453581
ACH-000118,-0.936028240619
ACH-000120,-0.808616749523
ACH-000123,-0.7298897191920001
ACH-000127,-0.7008025061100001
ACH-000128,-1.11480521245
ACH-000132,-1.07889586455
ACH-000133,-0.909598791275
ACH-000137,-0.732000305168
ACH-000138,-0.462513324916
ACH-000142,-0.613508575056
ACH-000143,-0.45352399407399996
ACH-000146,-0.8842448844700002
ACH-000148,-0.869975461819
ACH-000150,-0.783404464279
ACH-000152,-0.48883548493999995
ACH-000153,-0.9826383949519999
ACH-000159,-0.818111109598
ACH-000160,-0.5041599764220001
ACH-000163,-0.5730888404950001
ACH-000167,-0.650355306362
ACH-000168,-0.490885066421
ACH-000169,-0.5977030817010001
ACH-000178,-1.00630480348
ACH-000182,-0.6003054441719999
ACH-000183,-0.730237799056
ACH-000188,-1.02726262744
ACH-000189,-0.70217368117
ACH-000190,-0.618824060274
ACH-000198,-0.954679146778
ACH-000204,-1.11780394701
ACH-000206,-0.39159434718900005
ACH-000207,-1.33621287646
ACH-000211,-0.813079809369
ACH-000215,-0.734743610013
ACH-000221,-0.7435734929699999
ACH-000222,-0.690454800062
ACH-000223,-1.0755416603499999
ACH-000226,-0.9261350744419999
ACH-000227,-1.3770300774700002
ACH-000228,-0.888796803891
ACH-000231,-0.92981552275
ACH-000232,-0.20234079057999999
ACH-000233,-0.881948488068
ACH-000234,-0.7796807838009999
ACH-000235,-0.666743369073
ACH-000237,-0.5392047402319999
ACH-000238,-1.1378342569
ACH-000243,-0.9924541936910001
ACH-000244,-1.02154646801
ACH-000246,-0.8891002725700001
ACH-000248,-1.0682668755700002
ACH-000250,-0.636936306499
ACH-000251,-0.79968100911
ACH-000253,-0.884512524652
ACH-000255,-0.755764148858
ACH-000256,-0.748686492043
ACH-000257,-1.20656586294
ACH-000258,-0.14129539002
ACH-000259,-0.7591706380329999
ACH-000260,-0.9273015203280001
ACH-000261,-0.851868121866
ACH-000262,-0.585315354058
ACH-000263,-1.11187315709
ACH-000264,-0.9046325024609999
ACH-000265,-0.801451859455
ACH-000266,-0.8845962386480001
ACH-000272,-0.750719790546
ACH-000273,-0.838103195697
ACH-000274,-1.09701723812
ACH-000277,-0.183384885036
ACH-000278,-0.7559584343610001
ACH-000279,-0.802360533724
ACH-000280,-0.7168964243960001
ACH-000281,-1.07751443613
ACH-000288,-0.78868219212
ACH-000291,-1.1330413032100002
ACH-000293,-0.720873604424
ACH-000294,-0.535257892504
ACH-000295,-0.842633716766
ACH-000296,-1.19706659608
ACH-000302,-0.72866276397
ACH-000304,-1.02489591386
ACH-000307,-0.7977016142710001
ACH-000308,-0.569994910704
ACH-000310,-0.803626666523
ACH-000311,-0.788528445502
ACH-000312,-0.768144150454
ACH-000315,-0.68780228927
ACH-000316,-0.746265798007
ACH-000317,-0.552795126536
ACH-000318,-0.916698009984
ACH-000319,-1.0793206448000001
ACH-000320,-0.921577302459
ACH-000322,-0.805383188098
ACH-000323,-0.803736692842
ACH-000324,-0.920626267993
ACH-000329,-0.994930640459
ACH-000330,-1.04213494374
ACH-000331,-1.00596238402
ACH-000332,-0.477548983348
ACH-000334,-0.8804751760870001
ACH-000335,-0.7482215013689999
ACH-000336,0.00561430040248
ACH-000337,-0.563640405687
ACH-000339,-0.706370567202
ACH-000341,-0.451724872605
ACH-000348,-0.724274618861
ACH-000350,-0.8622135924259999
ACH-000352,-1.03915942103
ACH-000356,-0.753049648564
ACH-000361,-1.0052806502399998
ACH-000362,-0.6212342172399999
ACH-000363,-1.01938607592
ACH-000364,-0.8674219554170001
ACH-000365,-0.569531703055
ACH-000366,-0.989191093204
ACH-000368,-0.8829506382600001
ACH-000374,-0.865751797011
ACH-000375,-0.253246909831
ACH-000376,-0.575537895854
ACH-000381,-0.56907896074
ACH-000383,-0.43756758431500004
ACH-000387,-0.98396257823
ACH-000389,-0.999929302018
ACH-000390,-0.44698779124399995
ACH-000393,-1.09497123245
ACH-000395,-0.9390251879829999
ACH-000397,-0.713033343048
ACH-000401,-0.622127437318
ACH-000402,-1.11369097258
ACH-000403,-0.547420656398
ACH-000404,-0.610614844657
ACH-000406,-0.528829804155
ACH-000407,-0.847287957315
ACH-000408,-0.5618653482320001
ACH-000410,-1.0695410489100001
ACH-000411,-0.913186628102
ACH-000414,-0.880590368833
ACH-000415,-0.673423941885
ACH-000416,-0.91317975545
ACH-000420,-0.582617596236
ACH-000421,-0.7710775228300001
ACH-000424,-0.948353034147
ACH-000425,-0.9361144483470001
ACH-000426,-0.08604758940510002
ACH-000427,-1.02633116588
ACH-000433,-0.899455649126
ACH-000436,-0.943979759453
ACH-000444,-0.97213719701
ACH-000445,-1.0071278647600002
ACH-000448,-0.683464509209
ACH-000450,-0.5650938810320001
ACH-000452,-0.763476364362
ACH-000454,-0.715646064742
ACH-000458,-0.950039806134
ACH-000459,0.164909068247
ACH-000460,-1.0056577553200001
ACH-000461,-0.8531609240279999
ACH-000463,-0.856056568773
ACH-000464,-0.924807784544
ACH-000466,-0.9067144427220001
ACH-000467,-0.65143554153
ACH-000468,-0.43314254564800003
ACH-000469,-1.07796687716
ACH-000470,-0.671590105579
ACH-000471,-0.512704118975
ACH-000472,-0.7552096960979999
ACH-000473,-0.650026269398
ACH-000475,-0.728118938638
ACH-000476,-0.7776590228910001
ACH-000477,-0.663928403642
ACH-000480,-0.950833437632
ACH-000481,-0.9605180957739999
ACH-000483,-0.998501195095
ACH-000484,-1.1834606896
ACH-000485,-0.47339480656599997
ACH-000486,-0.9546035221160001
ACH-000487,-0.8241911848379999
ACH-000488,-0.737659835087
ACH-000490,-0.879986826331
ACH-000491,-1.08154420894
ACH-000495,-0.80166891496
ACH-000496,-0.8405640447470001
ACH-000499,-0.632238758504
ACH-000500,-0.583670586317
ACH-000502,-0.738323181377
ACH-000503,-0.38482115522699994
ACH-000505,-0.754904803443
ACH-000507,-0.658497781457
ACH-000510,-0.621005336416
ACH-000511,-0.77195511835
ACH-000512,-0.421409908339
ACH-000516,-0.944253373016
ACH-000517,-0.417137135582
ACH-000518,-0.468912019974
ACH-000520,-0.772525922198
ACH-000521,-1.11810926443
ACH-000522,-0.931775962959
ACH-000524,-1.35098364809
ACH-000527,-1.002988405
ACH-000528,-0.9938763520810001
ACH-000537,-0.7353978563570001
ACH-000541,-0.441113983686
ACH-000542,-0.647461730999
ACH-000544,-1.06292402997
ACH-000545,-0.85319810852
ACH-000547,-0.983470424158
ACH-000548,-0.705497032518
ACH-000549,-0.897492059992
ACH-000550,-0.583236440447
ACH-000552,-0.9035282322700001
ACH-000556,-0.71019397318
ACH-000557,-0.15219231747
ACH-000570,-0.8172132659479999
ACH-000571,-0.9639272755700001
ACH-000573,-0.844253965132
ACH-000576,-1.14347474998
ACH-000580,-1.00715464741
ACH-000584,-0.540904373605
ACH-000585,-0.763765777299
ACH-000588,-0.695087051817
ACH-000589,-0.561338857179
ACH-000591,-0.751043990081
ACH-000593,-0.534442667442
ACH-000600,-0.6996309029340001
ACH-000601,-1.13868487275
ACH-000604,-0.531546335546
ACH-000605,-0.9293948767319999
ACH-000606,-0.886110064457
ACH-000608,-0.8385939587019999
ACH-000614,-0.626718110832
ACH-000616,-0.747813778779
ACH-000618,-0.764298556789
ACH-000619,-0.9427804815459999
ACH-000620,-1.1514206777399998
ACH-000621,-1.0337748040299999
ACH-000622,-0.9131384987540001
ACH-000623,-0.49574078688100004
ACH-000624,-0.7763047143430001
ACH-000627,-0.643133738811
