,TPBGL (100507050)
ACH-000004,-0.179576150854
ACH-000007,-0.0345626231719
ACH-000009,-0.328513444467
ACH-000011,-0.596131667056
ACH-000012,-0.28998907165300003
ACH-000013,-0.293658727645
ACH-000014,-0.292634232785
ACH-000015,-0.290874515991
ACH-000017,-0.283108547425
ACH-000018,-0.122209097942
ACH-000019,-0.447298239933
ACH-000021,-0.292215755673
ACH-000022,-0.24822432866900002
ACH-000025,-0.21677609820399998
ACH-000028,-0.42670944454099996
ACH-000030,-0.35452031980099996
ACH-000035,-0.0774278645935
ACH-000036,-0.484087403068
ACH-000037,-0.25822091392700003
ACH-000039,-0.31389733138
ACH-000040,-0.361272018205
ACH-000041,-0.28602196646899997
ACH-000042,-0.374235790867
ACH-000045,-0.37891272306
ACH-000047,-0.278511954424
ACH-000052,-0.508275762681
ACH-000053,-0.207345751371
ACH-000054,-0.18559213608
ACH-000055,-0.349296775269
ACH-000060,-0.267274099453
ACH-000067,-0.20499258986699997
ACH-000070,-0.350531274896
ACH-000075,-0.379442338865
ACH-000078,-0.0896546755893
ACH-000082,-0.434440482928
ACH-000085,-0.33379280556200003
ACH-000086,-0.357207482193
ACH-000087,-0.495769895726
ACH-000092,-0.280046121637
ACH-000095,-0.270409490707
ACH-000097,-0.364153339282
ACH-000098,-0.182994111264
ACH-000099,-0.179612032951
ACH-000108,-0.321596760664
ACH-000113,-0.204206388188
ACH-000115,-0.324391770439
ACH-000116,-0.462114870828
ACH-000118,-0.462979515787
ACH-000120,-0.457430756378
ACH-000123,-0.030354185442599997
ACH-000127,-0.242008154408
ACH-000128,-0.321604456948
ACH-000132,-0.556326326741
ACH-000133,-0.266820183131
ACH-000137,-0.159114943658
ACH-000138,-0.298208225637
ACH-000142,-0.23898196793
ACH-000143,-0.517384341143
ACH-000146,-0.291680937187
ACH-000148,-0.149556177272
ACH-000150,-0.11933091439000001
ACH-000152,-0.21914965676800002
ACH-000153,-0.359039677605
ACH-000159,-0.26174692604600003
ACH-000160,-0.306295655188
ACH-000163,-0.206520113198
ACH-000167,-0.40367032468599995
ACH-000168,-0.12234992325099998
ACH-000169,-0.42867116890900003
ACH-000178,-0.294576717986
ACH-000182,-0.30791906993
ACH-000183,-0.40798102909199996
ACH-000188,-0.510920549726
ACH-000189,-0.386051044317
ACH-000190,-0.0909071372548
ACH-000198,-0.325591238257
ACH-000204,-0.293764925669
ACH-000206,0.0733904355667
ACH-000207,-0.875063471354
ACH-000211,-0.365262964701
ACH-000215,-0.303286014286
ACH-000221,-0.319687129724
ACH-000222,-0.22575524705400002
ACH-000223,-0.190949069543
ACH-000226,-0.334652085277
ACH-000227,-0.277464109887
ACH-000228,-0.678873016063
ACH-000231,-0.399593850986
ACH-000232,-0.32612031035100003
ACH-000233,-0.158687782224
ACH-000234,-0.16778404412599998
ACH-000235,-0.264214979705
ACH-000237,-0.515213192382
ACH-000238,-0.464146841354
ACH-000243,-0.244583132274
ACH-000244,-0.46916063083000004
ACH-000246,-0.302172838375
ACH-000248,-0.17544852749200002
ACH-000250,-0.3469512196
ACH-000251,-0.26849267323000003
ACH-000253,-0.26264320296
ACH-000255,-0.394801655163
ACH-000256,-0.676333906069
ACH-000257,-0.275787444326
ACH-000258,-0.112093660527
ACH-000259,-0.360023054295
ACH-000260,-0.272117794333
ACH-000261,-0.36783046324
ACH-000262,-0.191808146628
ACH-000263,-0.629401640241
ACH-000264,-0.490860879142
ACH-000265,-0.205655302838
ACH-000266,-0.531597608797
ACH-000272,-0.16041292509500002
ACH-000273,-0.384395496968
ACH-000274,-0.193815939487
ACH-000277,-0.195522153822
ACH-000278,-0.560572609249
ACH-000279,-0.300692884065
ACH-000280,-0.0720745053148
ACH-000281,-0.259500342606
ACH-000288,-0.361873024791
ACH-000291,-0.305576193561
ACH-000293,-0.377815595229
ACH-000294,-0.0752446947265
ACH-000295,-0.239772410774
ACH-000296,-0.201336263372
ACH-000302,-0.22008951198600002
ACH-000304,-0.41185484334
ACH-000307,-0.120542500869
ACH-000308,-0.41526805316200005
ACH-000310,-0.0841846345317
ACH-000311,-0.25546050209800003
ACH-000312,-0.481271352779
ACH-000315,-0.362742939994
ACH-000316,-0.250232531523
ACH-000317,-0.388746336872
ACH-000318,-0.369882641064
ACH-000319,-0.381596605726
ACH-000320,-0.26673165578200003
ACH-000322,-0.306750562962
ACH-000323,-0.22014234882
ACH-000324,-0.28785621067
ACH-000329,-0.20269867080499998
ACH-000330,-0.0978053740816
ACH-000331,-0.549650107313
ACH-000332,-0.39045540620999997
ACH-000334,0.080236543838
ACH-000335,-0.48473068950099996
