,DIP2C (22982)
ACH-000004,-0.148814205732
ACH-000007,0.105732017705
ACH-000009,0.107538493145
ACH-000011,0.241433135696
ACH-000012,-0.0114446813464
ACH-000013,0.0946945477952
ACH-000014,0.0961346070802
ACH-000015,0.0705903529559
ACH-000017,0.0062257176331199995
ACH-000018,0.267897282109
ACH-000019,-0.011146350921
ACH-000021,0.009121143400780001
ACH-000022,-0.0234125957424
ACH-000025,0.246553498916
ACH-000028,0.158302184274
ACH-000030,0.00766357655423
ACH-000035,0.157571921607
ACH-000036,0.148544290711
ACH-000037,0.0206413163038
ACH-000039,0.139244780611
ACH-000040,0.184309526532
ACH-000041,0.0484506967792
ACH-000042,0.052571995129500004
ACH-000045,0.0523698325824
ACH-000047,0.271360060897
ACH-000052,0.140958614388
ACH-000053,0.0111180819343
ACH-000054,0.14783733551699998
ACH-000055,0.18037562563
ACH-000060,0.05375747876680001
ACH-000067,0.415722213444
ACH-000070,-0.106981874683
ACH-000075,0.169568790651
ACH-000078,0.15274166246200002
ACH-000082,0.13424190993899998
ACH-000085,0.042270303805099996
ACH-000086,0.176801870863
ACH-000087,0.160650759351
ACH-000092,0.09939410963260001
ACH-000095,0.105625088627
ACH-000097,0.17135895636300003
ACH-000098,0.0302032645408
ACH-000099,0.0833049279405
ACH-000108,0.008776767921569999
ACH-000113,0.128981508784
ACH-000115,0.182966673469
ACH-000116,0.127382117469
ACH-000118,0.11198724014799999
ACH-000120,0.116886934051
ACH-000123,0.110481439537
ACH-000127,0.0832028288232
ACH-000128,0.272825854802
ACH-000132,-0.027725182528400002
ACH-000133,0.224464614894
ACH-000137,0.109052814459
ACH-000138,-0.0521590361812
ACH-000142,0.16042389459200002
ACH-000143,0.194633506584
ACH-000146,-0.0448908680815
ACH-000148,0.344371080207
ACH-000150,0.0246165722786
ACH-000152,0.36059091591799997
ACH-000153,0.0133483015905
ACH-000159,0.16947492804
ACH-000160,0.119102998816
ACH-000163,0.20835138031599998
ACH-000167,0.0967814436177
ACH-000168,0.10620166503499999
ACH-000169,0.107419100386
ACH-000178,0.16198389207699998
ACH-000182,0.0272485607897
ACH-000183,0.0884814451527
ACH-000188,0.0683790501814
ACH-000189,-0.287741571536
ACH-000190,0.136118581667
ACH-000198,0.124712746866
ACH-000204,0.16330002417
ACH-000206,0.118786146519
ACH-000207,0.190191361576
ACH-000211,0.10441689367799999
ACH-000215,0.235312589067
ACH-000221,0.171810402613
ACH-000222,0.0372623828161
ACH-000223,0.19215327611400002
ACH-000226,0.117247555893
ACH-000227,0.061030614311499996
ACH-000228,0.195501468772
ACH-000231,0.11220072624399999
ACH-000232,0.160602508554
ACH-000233,0.108902210064
ACH-000234,0.0129849466021
ACH-000235,0.07746115231089999
ACH-000237,0.07741298645519999
ACH-000238,0.0679924403756
ACH-000243,0.12902366423699999
ACH-000244,0.342699264037
ACH-000246,0.162145166478
ACH-000248,-0.114863012851
ACH-000250,0.21392985873300002
ACH-000251,0.174007262623
ACH-000253,0.10710988452299999
ACH-000255,0.190393648563
ACH-000256,-0.0067967478593100004
ACH-000257,0.07393332807910001
ACH-000258,0.0586714958218
ACH-000259,0.07499059466210001
ACH-000260,0.07391797407100001
ACH-000261,0.0484583424704
ACH-000262,0.35478924348700003
ACH-000263,0.0235521330613
ACH-000264,-0.07468380257410001
ACH-000265,0.166188425663
ACH-000266,-0.0266475684402
ACH-000272,0.176843806358
ACH-000273,-0.042702705021500004
ACH-000274,0.0450854175282
ACH-000277,0.22720961090999997
ACH-000278,0.211843655414
ACH-000279,0.10083659330499999
ACH-000280,0.0374494898987
ACH-000281,-0.00883684980884
ACH-000288,0.044983588765699994
ACH-000291,0.0828120061054
ACH-000293,0.268515159942
ACH-000294,0.148635573684
ACH-000295,-0.298287264023
ACH-000296,0.250814487676
ACH-000302,0.202675381819
ACH-000304,0.565924271662
ACH-000307,0.054221637109699995
ACH-000308,0.076987837879
ACH-000310,-0.07754208480239999
ACH-000311,0.0274064977333
ACH-000312,0.0402031729968
ACH-000315,0.06969816336080001
ACH-000316,0.108910753733
ACH-000317,0.16852167986400002
ACH-000318,0.15209433299300001
ACH-000319,0.105564390083
ACH-000320,0.0724303268353
ACH-000322,0.278284574848
ACH-000323,0.16217085517899998
ACH-000324,0.0628508645142
ACH-000329,0.177965023591
ACH-000330,0.030100101091
ACH-000331,0.0865502583665
ACH-000332,0.08355451531449999
ACH-000334,-0.125143855077
ACH-000335,0.22859269559300002
ACH-000336,0.059925966708500006
ACH-000337,0.399803397874
ACH-000339,0.00343132851149
ACH-000341,0.0016966955979100002
ACH-000348,0.141894232941
ACH-000350,0.13258258858
ACH-000352,0.04908969660680001
ACH-000356,0.22636202941
ACH-000361,0.039914905739699996
