,MEA1 (4201)
ACH-000004,-0.45932020482
ACH-000007,0.07653830066869999
ACH-000009,-0.206127964478
ACH-000011,-0.041510357942
ACH-000012,-0.145855829923
ACH-000013,-0.107985509344
ACH-000014,-0.139806625287
ACH-000015,0.0261867853785
ACH-000017,-0.19970701743
ACH-000018,-0.172171649114
ACH-000019,-0.419127906276
ACH-000021,-0.0140949165444
ACH-000022,-0.109281418981
ACH-000025,-0.24844563788899998
ACH-000028,-0.164253611088
ACH-000030,-0.160989819685
ACH-000035,0.0108484716181
ACH-000036,-0.145614957962
ACH-000037,-0.0775981603275
ACH-000039,-0.21357730614599998
ACH-000040,-0.17844285966200002
ACH-000041,-0.19027386605799998
ACH-000042,-0.00217788298183
ACH-000045,-0.22311331268399998
ACH-000047,-0.00437327531422
ACH-000052,-0.0808139593101
ACH-000053,-0.248413943585
ACH-000054,-0.195613548094
ACH-000055,-0.229994021983
ACH-000060,-0.303632718193
ACH-000067,-0.317545411727
ACH-000070,-0.0701667437848
ACH-000075,-0.589687496523
ACH-000078,-0.31578145567899996
ACH-000082,-0.455979285987
ACH-000085,-0.200966035564
ACH-000086,-0.21732252915800002
ACH-000087,-0.19619262435899998
ACH-000092,-0.17817047782900003
ACH-000095,-0.232065624778
ACH-000097,-0.142838680978
ACH-000098,-0.193382844137
ACH-000099,-0.128774266488
ACH-000108,-0.1261564815
ACH-000113,-0.172685907645
ACH-000115,-0.41036575821500004
ACH-000116,-0.172046115824
ACH-000118,-0.0714720900139
ACH-000120,0.162424556568
ACH-000123,-0.178323019818
ACH-000127,-0.13977800344799998
ACH-000128,-0.391635759419
ACH-000132,-0.167156097963
ACH-000133,-0.17108690114300001
ACH-000137,-0.0748247505763
ACH-000138,-0.11143581867999999
ACH-000142,-0.22847110277199997
ACH-000143,-0.007960820391439999
ACH-000146,-0.23840147737
ACH-000148,0.014584091807999999
ACH-000150,-0.101892948989
ACH-000152,-0.247106199519
ACH-000153,0.0314057534278
ACH-000159,-0.167892493325
ACH-000160,-0.304054293679
ACH-000163,-0.0628742229607
ACH-000167,-0.047631984918099994
ACH-000168,-0.274280336004
ACH-000169,-0.16883536228
ACH-000178,-0.165720766134
ACH-000182,-0.0876266719101
ACH-000183,-0.108757160379
ACH-000188,-0.369568944164
ACH-000189,0.133824841582
ACH-000190,-0.30397626141
ACH-000198,-0.16342298992499998
ACH-000204,-0.0112321851759
ACH-000206,-0.268729344674
ACH-000207,-0.0362114822752
ACH-000211,-0.0568641114601
ACH-000215,-0.152616594558
ACH-000221,-0.0366372083604
ACH-000222,0.012924324010100002
ACH-000223,-0.26106140626999996
ACH-000226,-0.0840928942127
ACH-000227,-0.30360453113200003
ACH-000228,-0.200541654663
ACH-000231,-0.24407736180999998
ACH-000232,-0.159921103699
ACH-000233,-0.12181014451300001
ACH-000234,-0.258991521923
ACH-000235,-0.209637383752
ACH-000237,-0.0553592999734
ACH-000238,-0.329577415491
ACH-000243,-0.173097410398
ACH-000244,-0.204709638699
ACH-000246,0.014625187950600001
ACH-000248,0.0775891213462
ACH-000250,-0.164264296044
ACH-000251,-0.380769451702
ACH-000253,0.0027707835090799997
ACH-000255,-0.262231870734
ACH-000256,-0.113138918388
ACH-000257,-0.0149347953487
ACH-000258,0.16467957138699998
ACH-000259,-0.155981369056
ACH-000260,-0.16110492937
ACH-000261,-0.101519936755
ACH-000262,-0.0019315835529500002
ACH-000263,-0.562487798471
ACH-000264,-0.250159339962
ACH-000265,-0.22190415881499997
ACH-000266,-0.0956560526958
ACH-000272,-0.227827137119
ACH-000273,-0.13172363022199998
ACH-000274,-0.301134256039
ACH-000277,-0.0987687531539
ACH-000278,0.0224825425238
ACH-000279,-0.0601909404858
ACH-000280,-0.168511658107
ACH-000281,0.012085367102299998
ACH-000288,-0.011936514564
ACH-000291,-0.15244294084899998
ACH-000293,-0.43308131942
ACH-000294,-0.0409686361033
ACH-000295,-0.162652627742
ACH-000296,-0.16724287454700001
ACH-000302,-0.343161329624
ACH-000304,-0.019783275051799998
ACH-000307,-0.126379420016
ACH-000308,-0.20940726610500002
ACH-000310,-0.455069166699
ACH-000311,-0.20155399000500002
ACH-000312,-0.05621227217040001
ACH-000315,-0.033304796939699996
ACH-000316,-0.0964945449766
ACH-000317,-0.305227921753
ACH-000318,-0.265564742189
ACH-000319,0.0241766438552
ACH-000320,-0.0589308314106
ACH-000322,-0.0899555267293
ACH-000323,-0.124049069445
ACH-000324,-0.248488923084
ACH-000329,-0.08729734659590001
ACH-000330,-0.30855503387
ACH-000331,-0.22373063245299998
ACH-000332,-0.255720471148
ACH-000334,-0.331201384602
ACH-000335,-0.14124367602399998
ACH-000336,-0.15455760553200001
ACH-000337,-0.24951920178800002
ACH-000339,-0.151554551415
ACH-000341,-0.257848342585
ACH-000348,-0.19950235713
ACH-000350,-0.014495771860100001
ACH-000352,-0.0794352415756
ACH-000356,-0.513640079183
ACH-000361,-0.17844773766600003
ACH-000362,-0.42170262340099995
ACH-000363,-0.07045936724139999
ACH-000364,-0.276707752138
ACH-000365,-0.206796825313
ACH-000366,-0.0702027633785
ACH-000368,-0.345877377596
ACH-000374,-0.24687242434999998
ACH-000375,0.00474630226815
ACH-000376,-0.09030065745680001
ACH-000381,-0.006514650971199999
ACH-000383,-0.240796350675
ACH-000387,-0.110951667031
ACH-000389,0.0336917645682
ACH-000390,-0.305520680532
ACH-000393,-0.25239925618299996
