,NR1D1 (9572)
ACH-000004,-0.0713193322189
ACH-000007,0.222773032265
ACH-000009,-0.327674537106
ACH-000011,-0.15303282534499998
ACH-000012,-0.183156010236
ACH-000013,-0.125486735301
ACH-000014,-0.122149440829
ACH-000015,0.022394638634
ACH-000017,-0.282625299038
ACH-000018,-0.145001970147
ACH-000019,0.08412835665210001
ACH-000021,-0.104722926193
ACH-000022,0.10621489965099999
ACH-000025,0.0968844250038
ACH-000028,-0.101974388949
ACH-000030,-0.0547028333947
ACH-000035,-0.241099242756
ACH-000036,-0.0889727162326
ACH-000037,0.132160707849
ACH-000039,-0.169959286426
ACH-000040,-0.0267442703813
ACH-000041,0.0349579155985
ACH-000042,0.227937441848
ACH-000045,-0.00245596521094
ACH-000047,0.0297218579484
ACH-000052,-0.158006643106
ACH-000053,0.00137927158742
ACH-000054,0.053288581777699996
ACH-000055,-0.17911843356899998
ACH-000060,-0.07391562968030001
ACH-000067,-0.232855274193
ACH-000070,0.122304839246
ACH-000075,-0.22506830606999997
ACH-000078,-0.00936548448264
ACH-000082,-0.160787742344
ACH-000085,0.324855156859
ACH-000086,0.0205132299298
ACH-000087,0.0415292541196
ACH-000092,0.16449853688
ACH-000095,-0.161846012948
ACH-000097,-0.188348129332
ACH-000098,-0.0705639013666
ACH-000099,0.023397144239
ACH-000108,0.03450909319480001
ACH-000113,0.0609925603819
ACH-000115,-0.323828078522
ACH-000116,-0.11876829455700001
ACH-000118,-0.186603626702
ACH-000120,0.05362290349780001
ACH-000123,0.0014883887935499998
ACH-000127,-0.06998668807450001
ACH-000128,0.036164662312500005
ACH-000132,-0.08539906633489999
ACH-000133,-0.10641598023900001
ACH-000137,-0.147475660103
ACH-000138,-0.153385102358
ACH-000142,-0.159588124524
ACH-000143,-0.149243373076
ACH-000146,-0.0414479334567
ACH-000148,-0.11914790265900001
ACH-000150,0.000969935525124
ACH-000152,-0.306081989588
ACH-000153,-0.023518871139799998
ACH-000159,0.00152032780197
ACH-000160,0.055966931624999994
ACH-000163,-0.0659705021326
ACH-000167,0.20424673766100002
ACH-000168,-0.212805566377
ACH-000169,0.046478806233699994
ACH-000178,0.185338931421
ACH-000182,0.0330561643218
ACH-000183,-0.0778702641887
ACH-000188,-0.142096183878
ACH-000189,0.0392098716956
ACH-000190,0.00765642409824
ACH-000198,-0.0085392035462
ACH-000204,-0.41511637643
ACH-000206,-0.000287409668413
ACH-000207,0.0166105376905
ACH-000211,-0.199903493524
ACH-000215,0.036183947283099996
ACH-000221,0.0256662466273
ACH-000222,0.142553002378
ACH-000223,-0.07438011285460001
ACH-000226,-0.07893370921500001
ACH-000227,-0.289720083681
ACH-000228,-0.0820265944333
ACH-000231,-0.05482231202790001
ACH-000232,0.25364381965
ACH-000233,0.0880843366233
ACH-000234,-0.015084827769999998
ACH-000235,-0.064964787932
ACH-000237,-0.10618439097200001
ACH-000238,-0.149022181038
ACH-000243,-0.21892395437800002
ACH-000244,-0.1183163649
ACH-000246,-0.148790322454
ACH-000248,-0.42324598983999995
ACH-000250,-0.0930669722672
ACH-000251,-0.0339117103759
ACH-000253,0.0181357762004
ACH-000255,-0.0293284445438
ACH-000256,0.0102914293905
ACH-000257,-0.260057377832
ACH-000258,-0.39978379098000005
ACH-000259,-0.0792360119621
ACH-000260,-0.06918798001450001
ACH-000261,-0.0415710143626
ACH-000262,-0.029819657931
ACH-000263,-0.19148454835700002
ACH-000264,0.00958201456811
ACH-000265,-0.15467936412799999
ACH-000266,-0.0493937565139
ACH-000272,-0.051876423296699996
ACH-000273,-0.0723695730805
ACH-000274,-0.121409697178
ACH-000277,0.070599360409
ACH-000278,-0.255277977767
ACH-000279,-0.0582735166153
ACH-000280,-0.0667153818638
ACH-000281,0.0317961321775
ACH-000288,-0.13284419634199998
ACH-000291,-0.098633195928
ACH-000293,-0.12116519318499999
ACH-000294,0.096265909214
ACH-000295,-0.425455863733
ACH-000296,-0.164333090339
ACH-000302,-0.130083904201
ACH-000304,-0.073818701818
ACH-000307,0.0187368519764
ACH-000308,-0.0060590285359199995
ACH-000310,0.00407423561396
ACH-000311,-0.176560215182
ACH-000312,-0.16381332561200002
ACH-000315,0.269859290593
ACH-000316,0.019595469946
ACH-000317,0.0275714667839
ACH-000318,0.10559283679400001
ACH-000319,0.022336543440999997
ACH-000320,-0.04080419263769999
ACH-000322,-0.115615365929
