,PACS1 (55690)
ACH-000004,-0.09696594263010001
ACH-000007,-0.309990542626
ACH-000009,-0.222374010995
ACH-000011,-0.164574239543
ACH-000012,-0.33543090002
ACH-000013,-0.301369333521
ACH-000014,-0.0193053547933
ACH-000015,-0.259483900853
ACH-000017,-0.447543650387
ACH-000018,-0.17334802385200002
ACH-000019,-0.573933337025
ACH-000021,-0.393241328765
ACH-000022,-0.314411508526
ACH-000025,-0.141207022154
ACH-000028,-0.38289761952699997
ACH-000030,-0.29746031334899997
ACH-000035,-0.18268139764199998
ACH-000036,-0.329723476551
ACH-000037,-0.354183595432
ACH-000039,-0.67079759729
ACH-000040,-0.327901034627
ACH-000041,-0.150329062668
ACH-000042,-0.496868677563
ACH-000045,-0.402041085766
ACH-000047,-0.048190118744999996
ACH-000052,0.16583039068299998
ACH-000053,-0.322939912918
ACH-000054,-0.295666913981
ACH-000055,-0.400021514833
ACH-000060,-0.265308583438
ACH-000067,-0.0806663435402
ACH-000070,-0.5281100216
ACH-000075,-0.29240701596
ACH-000078,-0.217357368457
ACH-000082,-0.327233755251
ACH-000085,-0.38963346376
ACH-000086,-0.657317140077
ACH-000087,-0.209634846988
ACH-000092,-0.39162335626500006
ACH-000095,-0.35145208008
ACH-000097,-0.39590570375600004
ACH-000098,-0.163033875577
ACH-000099,-0.203809145186
ACH-000108,-0.370592060185
ACH-000113,-0.33651641914700003
ACH-000115,-0.22018660667399997
ACH-000116,-0.34589186543399997
ACH-000118,-0.463301001527
ACH-000120,-0.332883187086
ACH-000123,-0.309550414483
ACH-000127,-0.137882289095
ACH-000128,-0.134785925756
ACH-000132,-0.296093601188
ACH-000133,-0.43275239586400005
ACH-000137,-0.191676487112
ACH-000138,-0.466431302575
ACH-000142,-0.346000810589
ACH-000143,-0.230033335366
ACH-000146,-0.342627092652
ACH-000148,-0.22828595861200002
ACH-000150,-0.15824870746300002
ACH-000152,-0.16815213254900002
ACH-000153,-0.49816469867299995
ACH-000159,-0.140658759509
ACH-000160,-0.457621657706
ACH-000163,-0.41275618995700003
ACH-000167,-0.6720292892569999
ACH-000168,-0.451043077171
ACH-000169,-0.316980384084
ACH-000178,-0.249180995833
ACH-000182,-0.22079816264000002
ACH-000183,-0.49874839784999997
ACH-000188,-0.446961184098
ACH-000189,-0.502038867296
ACH-000190,-0.12679835588
ACH-000198,-0.283209250936
ACH-000204,-0.36639555566299997
ACH-000206,-0.058577005761699996
ACH-000207,-0.877754287946
ACH-000211,-0.509133446174
ACH-000215,-0.278828749539
ACH-000221,-0.180181382742
ACH-000222,-0.684184176258
ACH-000223,-0.14505422986
ACH-000226,-0.262711497914
ACH-000227,-0.17585925051100001
ACH-000228,-0.620716773082
ACH-000231,-0.262990404531
ACH-000232,-0.22172513771299998
ACH-000233,-0.154154956136
ACH-000234,-0.313005360294
ACH-000235,-0.260210064106
ACH-000237,-0.137553631994
ACH-000238,-0.212867086924
ACH-000243,-0.273616737784
ACH-000244,-0.125060431864
ACH-000246,-0.0517960154151
ACH-000248,-0.021806090976900002
ACH-000250,-0.174197574381
ACH-000251,-0.23059103406300002
ACH-000253,-0.17206804008999999
ACH-000255,-0.507957249204
ACH-000256,-0.27612059618900003
ACH-000257,-0.116346240402
ACH-000258,-0.162587863358
ACH-000259,-0.366752324814
ACH-000260,-0.376263804033
ACH-000261,-0.39858021733300003
ACH-000262,-0.39320410918000004
ACH-000263,-0.184189591144
ACH-000264,-0.255716033026
ACH-000265,-0.37232610207500005
ACH-000266,-0.5036314431009999
ACH-000272,-0.274876401559
ACH-000273,-0.25068230128400004
ACH-000274,-0.188826719102
ACH-000277,-0.323696745415
ACH-000278,-0.26588362102400004
ACH-000279,-0.19013524122
ACH-000280,-0.117730276051
ACH-000281,-0.425927618851
ACH-000288,-0.24059408124200002
ACH-000291,-0.0256098538553
ACH-000293,-0.303201105657
ACH-000294,-0.43151713308
ACH-000295,-0.596639739638
ACH-000296,-0.260370455755
ACH-000302,-0.253554829012
ACH-000304,-0.361093336814
ACH-000307,-0.181275850281
ACH-000308,-0.410077085208
ACH-000310,-0.29942626897700003
ACH-000311,-0.342112592209
ACH-000312,-0.479134615644
ACH-000315,-0.464448652619
ACH-000316,-0.465716692622
ACH-000317,-0.718348423618
ACH-000318,-0.585234805392
ACH-000319,-0.176800466562
ACH-000320,-0.5194274985980001
ACH-000322,-0.24396914269
ACH-000323,-0.09036581449419999
ACH-000324,-0.368556606392
ACH-000329,-0.09566823434239999
ACH-000330,-0.644776561471
ACH-000331,-0.282931742661
ACH-000332,-0.37599233207599997
ACH-000334,-0.48868830422
ACH-000335,-0.276277591069
ACH-000336,-0.145107384709
ACH-000337,-0.595912459068
ACH-000339,-0.287189615205
ACH-000341,-0.341118979458
ACH-000348,-0.0428139105973
ACH-000350,-0.14484015580499998
ACH-000352,-0.42121838259000005
ACH-000356,-0.46381813160400004
ACH-000361,-0.237065336547
ACH-000362,-0.30878449732200003
ACH-000363,-0.251117886774
ACH-000364,-0.147204179917
ACH-000365,-0.330595788063
ACH-000366,-0.485290179928
ACH-000368,-0.17161725120000001
ACH-000374,-0.788418892528
ACH-000375,-0.28652221770999997
ACH-000376,-0.21872885456
ACH-000381,-0.406446528165
ACH-000383,-0.317578413989
ACH-000387,-0.28279682537399997
ACH-000389,-0.305015875887
ACH-000390,-0.284324634923
ACH-000393,-0.351037504277
ACH-000395,-0.211776239703
ACH-000397,-0.362630544608
ACH-000401,-0.134310987317
ACH-000402,-0.657028601348
ACH-000403,-0.30866482096000003
ACH-000404,-0.160001217034
ACH-000406,-0.27721611022799997
ACH-000407,-0.336969973722
ACH-000408,-0.409336991963
ACH-000410,-0.217927879924
ACH-000411,-0.273158974393
ACH-000414,-0.43816110617
ACH-000415,-0.570589251499
ACH-000416,-0.276946523244
ACH-000420,-0.404579352385
ACH-000421,-0.210252074507
ACH-000424,-0.261081468607
ACH-000425,-0.26650513571999995
ACH-000426,-0.0930925346886
ACH-000427,-0.272078867688
ACH-000433,-0.385645660275
ACH-000436,-0.03643062691230001
ACH-000444,-0.124541020277
ACH-000445,-0.328377614202
ACH-000448,-0.14648303838500001
ACH-000450,-0.279958332969
ACH-000452,-0.279772354357
ACH-000454,-0.37641453292800003
ACH-000458,-0.332835861394
ACH-000459,0.150940654994
ACH-000460,-0.152548127032
ACH-000461,-0.503919630277
ACH-000463,-0.135774099885
ACH-000464,-0.0989810192888
ACH-000466,-0.5427970399009999
ACH-000467,-0.201968423915
ACH-000468,-0.268511903363
ACH-000469,-0.39800393769000003
ACH-000470,-0.406652943643
ACH-000471,-0.254533251887
ACH-000472,-0.317385514732
ACH-000473,-0.153879243105
ACH-000475,-0.290469201213
ACH-000476,-0.107733715717
ACH-000477,-0.396095340803
ACH-000480,-0.128305532068
ACH-000481,-0.288424877236
ACH-000483,-0.245238977315
ACH-000484,-0.21729510391399998
ACH-000485,-0.350330915085
ACH-000486,-0.576454624715
ACH-000487,-0.47826501890199996
ACH-000488,-0.316854777467
ACH-000490,-0.375798463314
ACH-000491,-0.266827987293
ACH-000495,-0.17090211605
ACH-000496,-0.44570480310599997
ACH-000499,0.164379355549
ACH-000500,-0.44396826822400004
ACH-000502,-0.28077370255399997
ACH-000503,-0.318844871032
ACH-000505,-0.408620026678
ACH-000507,-0.22871956033000004
ACH-000510,-0.19614133146899998
ACH-000511,-0.164992316026
ACH-000512,-0.210556321899
ACH-000516,-0.202688494285
ACH-000517,-0.41573687998899994
ACH-000518,-0.272038892001
ACH-000520,-0.126107501986
ACH-000521,-0.19133241923500002
ACH-000522,-0.130747684742
ACH-000524,-0.28276191644299997
ACH-000527,-0.182553817574
ACH-000528,-0.242947658103
ACH-000537,-0.49809303110299996
ACH-000541,-0.483887096747
ACH-000542,-0.328117173857
ACH-000544,-0.507899059102
ACH-000545,-0.506344094128
ACH-000547,-0.07321118118150001
ACH-000548,-0.391049717906
ACH-000549,-0.28991884527600004
ACH-000550,-0.07772142173260001
ACH-000552,-0.22088799395599998
ACH-000556,-0.232577604825
ACH-000557,-0.202273611426
ACH-000570,-0.19637257469
ACH-000571,-0.18593386485399999
ACH-000573,-0.147197550319
ACH-000576,0.00889972794983
ACH-000580,-0.346284136166
ACH-000584,-0.22793463296
ACH-000585,-0.497832526924
ACH-000588,-0.296263960423
ACH-000589,-0.366993471646
ACH-000591,-0.11178593720999999
ACH-000593,-0.211927946611
ACH-000600,-0.499460045386
