,OTOP3 (347741)
ACH-000657,0.145624864373
ACH-000658,0.143089526053
ACH-000661,0.211321646882
ACH-000662,0.259450142157
ACH-000663,0.11157975867900001
ACH-000665,0.223202033214
ACH-000671,0.17577841548300002
ACH-000673,0.102599319726
ACH-000676,0.219738182703
ACH-000677,0.226393162468
ACH-000681,0.0765808418228
ACH-000682,0.136902571947
ACH-000683,0.25029985838
ACH-000684,0.163862882126
ACH-000688,0.185419060233
ACH-000693,0.18497236947999998
ACH-000694,0.24047578898400002
ACH-000695,0.0256189370983
ACH-000696,0.24749443839699997
ACH-000697,0.23382763399
ACH-000699,0.18472946481400002
ACH-000701,0.333995057895
ACH-000706,0.09887061692139999
ACH-000711,0.240903677798
ACH-000713,0.302100873062
ACH-000714,0.198701113664
ACH-000718,0.27163270898499997
ACH-000720,0.0547516947932
ACH-000721,0.227157588063
ACH-000724,0.165545588499
ACH-000725,0.264265167478
ACH-000732,-0.0618659726121
ACH-000734,0.206083007876
ACH-000735,0.161738845161
ACH-000736,0.328019994076
ACH-000738,0.10870137148499999
ACH-000746,0.165136264521
ACH-000747,0.202387006973
ACH-000748,0.061550601466800005
ACH-000753,0.06933666692269999
ACH-000756,0.22026804779599998
ACH-000757,0.422077702587
ACH-000758,0.0405847656033
ACH-000760,0.107534283116
ACH-000763,0.126079007475
ACH-000764,0.120838138643
ACH-000765,0.156791682653
ACH-000766,0.0028983838563899997
ACH-000767,0.154432748854
ACH-000768,0.353134165016
ACH-000769,0.28139324977499997
ACH-000770,0.148347109807
ACH-000771,0.347959945808
ACH-000773,0.0313399904527
ACH-000776,0.29878605282299997
ACH-000777,0.22267027755600002
ACH-000778,0.0026340938605799997
ACH-000781,0.161909238022
ACH-000782,0.0986374127221
ACH-000783,0.029710317368799997
ACH-000784,0.110451638678
ACH-000785,0.23050629681999996
ACH-000787,0.263265581365
ACH-000788,0.11478280994899999
ACH-000791,0.114508738007
ACH-000792,0.0624309166977
ACH-000794,0.21195429757599998
ACH-000796,0.32510239979
ACH-000799,0.28801604387400004
ACH-000800,0.331467201361
ACH-000802,0.10447643406099999
ACH-000804,0.366989947228
ACH-000805,0.170911286035
ACH-000809,0.194693710207
ACH-000810,0.282010908928
ACH-000811,0.213400015891
ACH-000817,0.277326270997
ACH-000819,0.290868833022
ACH-000820,0.0115051582129
ACH-000821,0.138423470214
ACH-000822,0.164377992382
ACH-000823,0.15454331357599999
ACH-000824,0.17553279581700001
ACH-000827,0.190655059302
ACH-000829,0.080025498892
ACH-000831,0.18328029683
ACH-000832,0.20667306127
ACH-000833,0.19090920267099998
ACH-000834,0.27182192035700004
ACH-000835,0.203090482869
ACH-000836,0.22145675885000002
ACH-000837,0.222416411855
ACH-000838,0.163962427142
ACH-000839,0.0390846982741
ACH-000840,-0.0307246883517
ACH-000841,0.111713773947
ACH-000843,0.0365900646869
ACH-000846,0.0972212756809
ACH-000847,-0.0375763151208
ACH-000848,0.187236181402
ACH-000849,0.0919190484267
ACH-000851,0.22311576289
ACH-000855,0.229299371949
ACH-000856,0.271919783571
ACH-000858,0.116118396651
ACH-000859,0.198742255196
ACH-000861,0.193209501347
ACH-000862,0.145894265287
ACH-000865,0.218515079716
ACH-000866,0.26375689357099996
ACH-000867,0.104897577121
ACH-000869,0.12988421723
ACH-000872,0.301637676418
ACH-000873,0.337459334131
ACH-000876,0.232946430414
ACH-000878,0.310971503293
ACH-000880,0.128568735756
ACH-000881,0.101079832342
ACH-000882,0.279233841151
ACH-000884,0.105092703729
ACH-000885,0.219690563196
ACH-000887,0.172710524861
ACH-000888,0.155300058111
ACH-000889,0.151634602979
ACH-000890,0.35132327209799996
ACH-000896,0.178151497044
ACH-000898,0.178570601499
ACH-000900,0.288528647232
ACH-000901,0.18030365853500002
ACH-000905,0.237185335521
ACH-000906,0.252856680638
ACH-000907,0.07398123398189999
ACH-000910,0.253790512034
ACH-000911,0.0278406599374
ACH-000912,0.0015161299731600002
ACH-000913,0.17574896427900003
ACH-000915,0.30822423018
ACH-000916,-0.09725238779090001
ACH-000917,0.254709555119
ACH-000921,0.22650885364
ACH-000924,0.138141497332
ACH-000926,0.191846467768
ACH-000928,0.178017030523
ACH-000929,0.018664569909400002
ACH-000932,0.17106142462499999
ACH-000935,0.12623043856399999
ACH-000936,0.18839233253499998
ACH-000937,0.057047063185599996
ACH-000938,0.041047494163
ACH-000939,0.21882039464400002
ACH-000941,0.19491749045200002
ACH-000943,0.22883781856600002
ACH-000946,0.266063459766
ACH-000947,0.254253773333
ACH-000948,0.209397859554
ACH-000950,0.177733805345
ACH-000953,0.100576650022
ACH-000957,0.187306491486
ACH-000958,0.235168055411
ACH-000960,0.047258506922500006
ACH-000963,0.225113543548
ACH-000968,0.181617130937
ACH-000969,0.284627123142
ACH-000973,0.241745941623
ACH-000974,0.23083724551600002
ACH-000975,0.235829499221
ACH-000976,0.229990506395
ACH-000978,0.6149503700010001
ACH-000980,0.155487880232
ACH-000984,0.222325295916
ACH-000986,0.166171862276
ACH-000988,0.158799277824
ACH-000993,0.00777273976089
ACH-000994,0.208148269876
ACH-000996,0.15190965824799998
ACH-001001,0.14449904131400002
ACH-001020,0.192013826825
ACH-001028,0.21214407783199998
ACH-001031,0.140192913208
ACH-001038,0.0855511654835
ACH-001048,0.21601438890799998
