,UCHL3 (7347)
ACH-000004,-0.354172308203
ACH-000007,-0.548105220001
ACH-000009,-0.09770413543619999
ACH-000011,-0.624083295959
ACH-000012,-0.142055658002
ACH-000013,-0.050900524338800004
ACH-000014,-0.23594038171599999
ACH-000015,-0.154327222873
ACH-000017,-0.119342373751
ACH-000018,-0.41429905493
ACH-000019,-0.0883104957661
ACH-000021,-0.0777333148857
ACH-000022,-0.09357606476250001
ACH-000025,-0.17273383733800002
ACH-000028,-0.36109404323600003
ACH-000030,-0.124095098181
ACH-000035,-0.0826899351524
ACH-000036,-0.28086620867600004
ACH-000037,-0.455551290895
ACH-000039,0.021039638988
ACH-000040,-0.500689452911
ACH-000041,-0.0783675285239
ACH-000042,-0.112315100004
ACH-000045,-0.246887103741
ACH-000047,-0.115012203609
ACH-000052,-0.30499756348900003
ACH-000053,-0.101654630285
ACH-000054,-0.309879560546
ACH-000055,-0.0342863111344
ACH-000060,-0.0929775231015
ACH-000067,-0.153431676799
ACH-000070,0.109313186703
ACH-000075,-0.10302735585100001
ACH-000078,-0.475920549533
ACH-000082,-0.121201008631
ACH-000085,-0.252521825058
ACH-000086,-0.126722756034
ACH-000087,0.0907994466063
ACH-000092,-0.274545161666
ACH-000095,-0.190482507258
ACH-000097,-0.15030808170399998
ACH-000098,-0.138839867078
ACH-000099,-0.253271210319
ACH-000108,-0.183549453585
ACH-000113,-0.13314620081599998
ACH-000115,-0.00273312510023
ACH-000116,-0.216923052049
ACH-000118,-0.014544155119100002
ACH-000120,-0.186384244252
ACH-000123,0.0225401454371
ACH-000127,-0.19221834671399998
ACH-000128,-0.10487637956399999
ACH-000132,-0.483757072382
ACH-000133,-0.0785143278962
ACH-000137,0.0405312504564
ACH-000138,-0.09124445035389998
ACH-000142,-0.429294149213
ACH-000143,-0.187224414783
ACH-000146,0.0168990246042
ACH-000148,-0.0587130397927
ACH-000150,0.036603125058699996
ACH-000152,-0.19994604119399997
ACH-000153,0.249686616449
ACH-000159,-0.49896553313299996
ACH-000160,-0.0461795274239
ACH-000163,-0.33672427727
ACH-000167,-0.308897956368
ACH-000168,-0.203871596679
ACH-000169,-0.0135342895921
ACH-000178,-0.27299467831
ACH-000182,-0.05894691490330001
ACH-000183,-0.0137395654562
ACH-000188,0.015055333922200001
ACH-000189,-0.31867300286899997
ACH-000190,-0.0677203645136
ACH-000198,-0.32838973802099997
ACH-000204,-0.338040779424
ACH-000206,-0.175249907443
ACH-000207,0.473906672778
ACH-000211,0.0036552564852399996
ACH-000215,-0.17106737482099998
ACH-000221,0.025312276282599997
ACH-000222,-0.470011219327
ACH-000223,-0.135703722045
ACH-000226,-0.31539868305
